Hireling	SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Share	Dmg-Min	Dmg-Max	Dmg/Lvl	Resist	Resist/Lvl	WType1	WType2	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	Head	Torso	Weapon	Shield
Rogue Scout	Ice - Hell	0	5	271	1	3	85	150	merc01	merc41	14000	65	1790	42	1680	24	152	12	218	18	1490	36	300000	70	74	10	147	5	bow	xbow	carw	10	Inner Sight	4	10	0	25	10	Magic Arrow	4	35	0	25	10	Slow Missiles	4	5	0	16	6	Freezing Arrow	4	90	0	21	8	Ice Arrow	4	50	0	25	10	Legendary Arrow	4	50	0	21	8	2	1	2	0
Offensive Rogue	Offensive - Normal	100	0	271	1	1	10	150	merc01	merc41	350	65	110	16	150	4	40	16	65	32	50	36	300000	3	6	5	30	0	bow	xbow	farw	80	Multiple ShotMerc	4	65	0	3	10	Blessed AimMerc	1	100	0	4	0	NeedlingMerc	4	10	0	1	10	DodgeMerc	1	0	0	1	0	EvisceratingMerc	4	5	0	1	8							2	1	2	0
Offensive Rogue	Offensive - Normal	100	0	271	1	1	40	150	merc01	merc41	350	65	590	16	320	4	100	16	145	32	410	36	300000	25	35	5	80	0	bow	xbow	farw	80	Multiple ShotMerc	4	65	0	10	10	Blessed AimMerc	1	100	0	10	0	NeedlingMerc	4	10	0	7	10	DodgeMerc	1	0	0	1	0	EvisceratingMerc	4	5	0	1	8							2	1	2	0
Offensive Rogue	Offensive - Normal	100	0	271	1	1	85	150	merc01	merc41	350	65	1310	16	550	4	190	16	205	32	1490	36	300000	70	90	5	140	0	bow	xbow	farw	80	Multiple ShotMerc	4	65	0	17	10	Blessed AimMerc	1	100	0	18	0	NeedlingMerc	4	10	0	14	10	DodgeMerc	1	0	0	1	0	EvisceratingMerc	4	5	0	10	8							2	1	2	0
Defensive Rogue	Defensive - Normal	100	1	271	1	1	10	150	merc01	merc41	350	65	110	16	150	4	40	16	65	32	50	24	300000	9	12	5	30	0	bow	xbow	carw	80	Freezing ArrowMerc	4	65	0	3	10	Ice SHockMerc	1	100	0	4	0	Merc BallMissiles	4	10	0	1	10	DodgeMerc	1	0	0	1	0	Shatters of LoathingMerc	4	10	0	1	8							2	1	2	0
Defensive Rogue	Defensive - Normal	100	1	271	1	1	40	150	merc01	merc41	350	65	590	16	320	4	100	16	145	32	410	24	300000	32	45	5	80	0	bow	xbow	carw	80	Freezing ArrowMerc	4	65	0	10	10	Ice SHockMerc	1	100	0	10	0	Merc BallMissiles	4	10	0	5	10	DodgeMerc	1	0	0	1	0	Shatters of LoathingMerc	4	10	0	1	8							2	1	2	0
Defensive Rogue	Defensive - Normal	100	1	271	1	1	85	150	merc01	merc41	350	65	1310	16	550	4	190	16	205	32	1490	24	300000	80	100	5	140	0	bow	xbow	carw	80	Freezing ArrowMerc	4	65	0	17	10	Ice SHockMerc	1	100	0	18	0	Merc BallMissiles	4	10	0	10	10	DodgeMerc	1	0	0	1	0	Shatters of LoathingMerc	4	10	0	10	8							2	1	2	0
Offensive Rogue	Offensive - Nightmare	100	2	271	1	2	40	150	merc01	merc41	6000	65	590	16	320	4	100	16	145	32	410	36	300000	32	45	5	80	0	bow	xbow	farw	80	Multiple ShotMerc	4	65	0	10	10	Blessed AimMerc	1	100	0	10	0	NeedlingMerc	4	10	0	5	10	DodgeMerc	1	0	0	1	0	EvisceratingMerc	4	5	0	1	8							2	1	2	0
Offensive Rogue	Offensive - Nightmare	100	2	271	1	2	85	150	merc01	merc41	6000	65	1310	16	550	4	190	16	205	32	1490	36	300000	80	100	5	140	0	bow	xbow	farw	80	Multiple ShotMerc	4	65	0	17	10	Blessed AimMerc	1	100	0	18	0	NeedlingMerc	4	10	0	10	10	DodgeMerc	1	0	0	1	0	EvisceratingMerc	4	5	0	10	8							2	1	2	0
Defensive Rogue	Defensive - Nightmare	100	3	271	1	2	40	150	merc01	merc41	7500	65	590	16	320	4	100	16	145	32	410	24	300000	32	45	5	80	0	bow	xbow	carw	80	Freezing ArrowMerc	4	65	0	10	10	Ice SHockMerc	1	100	0	10	0	Merc BallMissiles	4	10	0	5	10	DodgeMerc	1	0	0	1	0	Shatters of LoathingMerc	4	10	0	1	8							2	1	2	0
Defensive Rogue	Defensive - Nightmare	100	3	271	1	2	85	150	merc01	merc41	7500	65	1310	16	550	4	190	16	205	32	1490	24	300000	80	100	5	140	0	bow	xbow	carw	80	Freezing ArrowMerc	4	65	0	17	10	Ice SHockMerc	1	100	0	18	0	Merc BallMissiles	4	10	0	10	10	DodgeMerc	1	0	0	1	0	Shatters of LoathingMerc	4	10	0	10	8							2	1	2	0
Offensive Rogue	Offensive - Hell	100	4	271	1	3	85	150	merc01	merc41	14000	65	1310	16	550	4	190	16	205	32	1490	36	300000	80	100	5	140	0	bow	xbow	farw	80	Multiple ShotMerc	4	65	0	17	10	Blessed AimMerc	1	100	0	18	0	NeedlingMerc	4	10	0	10	10	DodgeMerc	1	0	0	1	0	EvisceratingMerc	4	5	0	10	8							2	1	2	0
Defensive Rogue	Defensive - Hell	100	5	271	1	3	85	150	merc01	merc41	14000	65	1310	16	550	4	190	16	205	32	1490	24	300000	80	100	5	140	0	bow	xbow	carw	80	Freezing ArrowMerc	4	65	0	17	10	Ice SHockMerc	1	100	0	18	0	Merc BallMissiles	4	10	0	10	10	DodgeMerc	1	0	0	1	0	Shatters of LoathingMerc	4	10	0	10	8							2	1	2	0
Desert Mercenary	Comb-Normal	0	6	338	2	1	20	198	merca201	merca221	350	65	170	16	270	24	65	16	45	14	180	12	300000	8	14	7	40	8	pole	spea	comb	85	Jab	14	50	0	8	10	Defiance	1	20	0	8	10	Lightning Strike	4	25	0	3	6	Vengeance	4	25	0	5	10													2	2	2	0
Desert Mercenary	Comb-Normal	0	6	338	2	1	50	198	merca201	merca221	350	65	650	32	990	26	125	16	97	14	540	24	300000	34	40	9	100	6	pole	spea	comb	50	Jab	14	40	0	17	10	Defiance	1	20	0	17	10	Lightning Strike	4	50	0	8	6	Vengeance	4	50	0	14	10													2	2	2	0
Desert Mercenary	Comb-Normal	0	6	338	2	1	85	198	merca201	merca221	350	65	1770	48	1900	28	195	16	158	14	1380	36	300000	73	79	11	152	5	pole	spea	comb	10	Jab	14	30	0	27	10	Defiance	1	20	0	27	10	Lightning Strike	4	75	0	14	6	Vengeance	4	75	0	24	10													2	2	2	0
Desert Mercenary	Def-Normal	0	7	338	2	1	20	198	merca201	merca221	350	65	170	16	270	24	65	16	45	14	180	12	300000	8	14	7	40	8	pole	spea	def	85	Jab	14	50	0	8	10	Prayer	1	20	0	8	10	Lightning Strike	4	25	0	3	6	Vengeance	4	25	0	5	10													2	2	2	0
Desert Mercenary	Def-Normal	0	7	338	2	1	50	198	merca201	merca221	350	65	650	32	990	26	125	16	97	14	540	24	300000	34	40	9	100	6	pole	spea	def	50	Jab	14	40	0	17	10	Prayer	1	20	0	17	10	Lightning Strike	4	50	0	8	6	Vengeance	4	50	0	14	10													2	2	2	0
Desert Mercenary	Def-Normal	0	7	338	2	1	85	198	merca201	merca221	350	65	1770	48	1900	28	195	16	158	14	1380	36	300000	73	79	11	152	5	pole	spea	def	10	Jab	14	30	0	27	10	Prayer	1	20	0	27	10	Lightning Strike	4	75	0	14	6	Vengeance	4	75	0	24	10													2	2	2	0
Desert Mercenary	Off-Normal	0	8	338	2	1	20	198	merca201	merca221	350	65	170	16	270	24	65	16	45	14	180	12	300000	8	14	7	40	8	pole	spea	off	85	Jab	14	50	0	8	10	Holy Fire	1	20	0	8	10	Lightning Strike	4	25	0	3	6	Vengeance	4	25	0	5	10													2	2	2	0
Desert Mercenary	Off-Normal	0	8	338	2	1	50	198	merca201	merca221	350	65	650	32	990	26	125	16	97	14	540	24	300000	34	40	9	100	6	pole	spea	off	50	Jab	14	40	0	17	10	Holy Fire	1	20	0	17	10	Lightning Strike	4	50	0	8	6	Vengeance	4	50	0	14	10													2	2	2	0
Desert Mercenary	Off-Normal	0	8	338	2	1	85	198	merca201	merca221	350	65	1770	48	1900	28	195	16	158	14	1380	36	300000	73	79	11	152	5	pole	spea	off	10	Jab	14	30	0	27	10	Holy Fire	1	20	0	27	10	Lightning Strike	4	75	0	14	6	Vengeance	4	75	0	24	10													2	2	2	0
Desert Mercenary	Comb-Nightmare	0	9	338	2	2	50	198	merca201	merca221	7900	65	650	32	990	26	125	16	97	14	540	24	300000	34	40	9	100	6	pole	spea	comb	50	Jab	14	40	0	17	10	Might	1	20	0	4	6	Lightning Strike	4	50	0	8	6	Vengeance	4	50	0	14	10													2	2	2	0
Desert Mercenary	Comb-Nightmare	0	9	338	2	2	85	198	merca201	merca221	7900	65	1770	48	1900	28	195	16	158	14	1380	36	300000	73	79	11	152	5	pole	spea	comb	10	Jab	14	30	0	27	10	Might	1	20	0	10	6	Lightning Strike	4	75	0	14	6	Vengeance	4	75	0	24	10													2	2	2	0
Desert Mercenary	Def-Nightmare	0	10	338	2	2	50	198	merca201	merca221	7900	65	650	32	990	26	125	16	97	14	540	24	300000	34	40	9	100	6	pole	spea	def	50	Jab	14	40	0	17	10	Meditation	1	20	0	17	10	Lightning Strike	4	50	0	8	6	Vengeance	4	50	0	14	10													2	2	2	0
Desert Mercenary	Def-Nightmare	0	10	338	2	2	85	198	merca201	merca221	7900	65	1770	48	1900	28	195	16	158	14	1380	36	300000	73	79	11	152	5	pole	spea	def	10	Jab	14	30	0	27	10	Meditation	1	20	0	27	10	Lightning Strike	4	75	0	14	6	Vengeance	4	75	0	24	10													2	2	2	0
Desert Mercenary	Off-Nightmare	0	11	338	2	2	50	198	merca201	merca221	7900	65	650	32	990	26	125	16	98	14	540	24	300000	34	40	9	100	6	pole	spea	off	50	Jab	14	40	0	27	10	Thorns	1	20	0	17	10	Lightning Strike	4	50	0	8	6	Vengeance	4	50	0	14	10													2	2	2	0
Desert Mercenary	Off-Nightmare	0	11	338	2	2	85	198	merca201	merca221	7900	65	1770	48	1900	28	195	16	97	14	1380	36	300000	73	79	11	152	5	pole	spea	off	10	Jab	14	30	0	27	10	Thorns	1	20	0	27	10	Lightning Strike	4	75	0	14	6	Vengeance	4	75	0	24	10													2	2	2	0
Desert Mercenary	Comb-Hell	0	12	338	2	3	85	198	merca201	merca221	15000	65	1770	48	1900	28	195	16	158	14	1380	36	300000	73	79	11	152	5	pole	spea	comb	10	Jab	14	30	0	27	10	Conviction	1	20	0	3	6	Lightning Strike	4	75	0	14	6	Vengeance	4	75	0	24	10													2	2	2	0
Desert Mercenary	Def-Hell	0	13	338	2	3	85	198	merca201	merca221	15000	65	1770	48	1900	28	195	16	158	14	1380	36	300000	73	79	11	152	5	pole	spea	def	10	Jab	14	30	0	27	10	Concentration	1	20	0	7	6	Lightning Strike	4	75	0	14	6	Vengeance	4	75	0	24	10													2	2	2	0
Desert Mercenary	Off-Hell	0	14	338	2	3	85	198	merca201	merca221	15000	65	1770	48	1900	28	195	16	158	14	1380	36	300000	73	79	11	152	5	pole	spea	off	10	Jab	14	30	0	27	10	Fanaticism	1	20	0	4	6	Lightning Strike	4	75	0	14	6	Vengeance	4	75	0	24	10													2	2	2	0
Combat Elemental	Comb-Normal	100	6	338	2	1	20	198	merca201	merca221	1200	65	225	16	200	32	90	16	60	16	250	24	300000	7	11	3	30	0	pole	spea	comb	80	Lightning StrikeMerc	4	65	0	4	10	ConvictionMerc	1	100	0	5	0	IncinerateMerc	4	10	0	4	10	ReflexesMerc	1	0	0	1	0	Rainbow HydraMerc	4	5	0	1	8							2	2	2	0
Combat Elemental	Comb-Normal	100	6	338	2	1	50	198	merca201	merca221	1200	65	885	16	800	32	150	16	95	16	900	24	300000	32	49	3	80	0	pole	spea	comb	80	Lightning StrikeMerc	4	65	0	10	10	ConvictionMerc	1	100	0	13	0	IncinerateMerc	4	10	0	10	10	ReflexesMerc	1	0	0	7	0	Rainbow HydraMerc	4	5	0	1	8							2	2	2	0
Combat Elemental	Comb-Normal	100	6	338	2	1	85	198	merca201	merca221	1200	65	1575	16	2500	32	230	16	130	16	1400	24	300000	98	140	3	140	0	pole	spea	comb	80	Lightning StrikeMerc	4	65	0	17	10	ConvictionMerc	1	100	0	18	0	IncinerateMerc	4	10	0	16	10	ReflexesMerc	1	0	0	18	0	Rainbow HydraMerc	4	5	0	10	8							2	2	2	0
Defensive Melee	DefMelee-Normal	100	7	338	2	1	20	198	merca201	merca221	1200	65	300	16	300	32	90	16	60	16	250	18	300000	7	11	3	30	0	pole	spea	def	80	Wall BreakerMerc	4	65	0	4	10	PrayerMerc	1	100	0	5	0	Spectral ShieldMerc	4	10	0	4	10	ReflexesMerc	1	0	0	1	0	AstonishmentMerc	4	5	0	1	8							2	2	2	0
Defensive Melee	DefMelee-Normal	100	7	338	2	1	50	198	merca201	merca221	1200	65	1050	16	1100	32	150	16	95	16	900	18	300000	32	49	3	80	0	pole	spea	def	80	Wall BreakerMerc	4	65	0	10	10	PrayerMerc	1	100	0	13	0	Spectral ShieldMerc	4	10	0	10	10	ReflexesMerc	1	0	0	7	0	AstonishmentMerc	4	5	0	1	8							2	2	2	0
Defensive Melee	DefMelee-Normal	100	7	338	2	1	85	198	merca201	merca221	1200	65	1928	16	2900	32	230	16	130	16	1400	18	300000	98	140	3	140	0	pole	spea	def	80	Wall BreakerMerc	4	65	0	17	10	PrayerMerc	1	100	0	18	0	Spectral ShieldMerc	4	10	0	16	10	ReflexesMerc	1	0	0	18	0	AstonishmentMerc	4	5	0	10	8							2	2	2	0
Offensive Melee	OffMelee-Normal	100	8	338	2	1	20	198	merca201	merca221	1200	65	225	16	200	32	90	16	60	16	250	28	300000	7	11	3	30	0	pole	spea	off	80	FendMerc	4	65	0	4	10	MightMerc	1	100	0	5	0	EarthquakeMerc	4	10	0	4	10	ReflexesMerc	1	0	0	1	0	SpikestormMerc	4	5	0	1	8							2	2	2	0
Offensive Melee	OffMelee-Normal	100	8	338	2	1	50	198	merca201	merca221	1200	65	885	16	800	32	150	16	95	16	900	28	300000	32	49	3	80	0	pole	spea	off	80	FendMerc	4	65	0	10	10	MightMerc	1	100	0	13	0	EarthquakeMerc	4	10	0	10	10	ReflexesMerc	1	0	0	7	0	SpikestormMerc	4	5	0	1	8							2	2	2	0
Offensive Melee	OffMelee-Normal	100	8	338	2	1	85	198	merca201	merca221	1200	65	1575	16	2500	32	230	16	130	16	1400	28	300000	98	140	3	140	0	pole	spea	off	80	FendMerc	4	65	0	17	10	MightMerc	1	100	0	18	0	EarthquakeMerc	4	10	0	16	10	ReflexesMerc	1	0	0	18	0	SpikestormMerc	4	5	0	10	8							2	2	2	0
Combat Elemental	Comb-Nightmare	100	9	338	2	2	50	198	merca201	merca221	7900	65	885	16	800	32	150	16	95	16	900	24	300000	32	49	3	80	0	pole	spea	comb	80	Lightning StrikeMerc	4	65	0	10	10	ConvictionMerc	1	100	0	13	0	IncinerateMerc	4	10	0	10	10	ReflexesMerc	1	0	0	7	0	Rainbow HydraMerc	4	5	0	1	8							2	2	2	0
Combat Elemental	Comb-Nightmare	100	9	338	2	2	85	198	merca201	merca221	7900	65	1575	16	2500	32	230	16	130	16	1400	24	300000	98	140	3	140	0	pole	spea	comb	80	Lightning StrikeMerc	4	65	0	17	10	ConvictionMerc	1	100	0	18	0	IncinerateMerc	4	10	0	16	10	ReflexesMerc	1	0	0	18	0	Rainbow HydraMerc	4	5	0	10	8							2	2	2	0
Defensive Melee	DefMelee-Nightmare	100	10	338	2	2	50	198	merca201	merca221	7900	65	1050	16	1100	32	150	16	95	16	900	18	300000	32	49	3	80	0	pole	spea	def	80	Wall BreakerMerc	4	65	0	10	10	PrayerMerc	1	100	0	13	0	Spectral ShieldMerc	4	10	0	10	10	ReflexesMerc	1	0	0	7	0	AstonishmentMerc	4	5	0	1	8							2	2	2	0
Defensive Melee	DefMelee-Nightmare	100	10	338	2	2	85	198	merca201	merca221	7900	65	1928	16	2900	32	230	16	130	16	1400	18	300000	98	140	3	140	0	pole	spea	def	80	Wall BreakerMerc	4	65	0	17	10	PrayerMerc	1	100	0	18	0	Spectral ShieldMerc	4	10	0	16	10	ReflexesMerc	1	0	0	18	0	AstonishmentMerc	4	5	0	10	8							2	2	2	0
Offensive Melee	OffMelee-Nightmare	100	11	338	2	2	50	198	merca201	merca221	7900	65	885	16	800	32	150	16	95	16	900	28	300000	32	49	3	80	0	pole	spea	off	80	FendMerc	4	65	0	10	10	MightMerc	1	100	0	13	0	EarthquakeMerc	4	10	0	10	10	ReflexesMerc	1	0	0	7	0	SpikestormMerc	4	5	0	1	8							2	2	2	0
Offensive Melee	OffMelee-Nightmare	100	11	338	2	2	85	198	merca201	merca221	7900	65	1575	16	2500	32	230	16	130	16	1400	28	300000	98	140	3	140	0	pole	spea	off	80	FendMerc	4	65	0	17	10	MightMerc	1	100	0	18	0	EarthquakeMerc	4	10	0	16	10	ReflexesMerc	1	0	0	18	0	SpikestormMerc	4	5	0	10	8							2	2	2	0
Combat Elemental	Comb-Hell	100	12	338	2	3	85	198	merca201	merca221	14000	65	1575	16	2500	32	230	16	130	16	1400	24	300000	98	140	3	140	0	pole	spea	comb	80	Lightning StrikeMerc	4	65	0	17	10	ConvictionMerc	1	100	0	18	0	IncinerateMerc	4	10	0	16	10	ReflexesMerc	1	0	0	18	0	Rainbow HydraMerc	4	5	0	10	8							2	2	2	0
Defensive Melee	DefMelee-Hell	100	13	338	2	3	85	198	merca201	merca221	14000	65	1928	16	2900	32	230	16	130	16	1400	18	300000	98	140	3	140	0	pole	spea	def	80	Wall BreakerMerc	4	65	0	17	10	PrayerMerc	1	100	0	18	0	Spectral ShieldMerc	4	10	0	16	10	ReflexesMerc	1	0	0	18	0	AstonishmentMerc	4	5	0	10	8							2	2	2	0
Offensive Melee	OffMelee-Hell	100	14	338	2	3	85	198	merca201	merca221	14000	65	1575	16	2500	32	230	16	130	16	1400	28	300000	98	140	3	140	0	pole	spea	off	80	FendMerc	4	65	0	17	10	MightMerc	1	100	0	18	0	EarthquakeMerc	4	10	0	16	10	ReflexesMerc	1	0	0	18	0	SpikestormMerc	4	5	0	10	8							2	2	2	0
Eastern Sorceror	Fire-Normal	0	15	359	3	1	25	252	merca222	merca241	1000	65	230	14	180	18	50	14	40	16	120	12	300000	6	11	6	45	8	swor	shie	fire	10	Resist Fire	1	10	0	4	6	Shock Wave	7	70	0	6	12	Fire Ball	7	120	0	10	12	SEruption	7	40	0	6	12													2	2	2	1
Eastern Sorceror	Fire-Normal	0	15	359	3	1	55	252	merca222	merca241	1000	65	650	28	720	20	102	14	100	16	480	24	300000	28	33	8	105	6	swor	shie	fire	10	Resist Fire	1	10	0	9	6	Shock Wave	7	30	0	17	12	Fire Ball	7	80	0	21	12	SEruption	7	40	0	17	12	Nova	7	40	0	19	14	Twister	7	40	0	19	14	2	2	2	1
Eastern Sorceror	Fire-Normal	0	15	359	3	1	85	252	merca222	merca241	1000	65	1490	42	1320	22	154	14	160	16	1200	36	300000	60	66	10	150	5	swor	shie	fire	10	Resist Fire	1	10	0	14	6	Shock Wave	7	30	0	28	12	Fire Ball	7	50	0	32	12	SEruption	7	50	0	28	12	Nova	7	50	0	32	14	Twister	7	50	0	32	14	2	2	2	1
Eastern Sorceror	Cold-Normal	0	16	359	3	1	25	252	merca222	merca241	1500	65	230	14	180	18	50	14	40	16	120	12	300000	6	11	6	45	8	swor	shie	cold	10	Resist Cold	1	10	0	4	6	Tornado	7	100	0	14	14	Glacial Spike	7	100	0	10	8	Frost Nova	7	30	0	2	12													2	2	2	1
Eastern Sorceror	Cold-Normal	0	16	359	3	1	55	252	merca222	merca241	1500	65	650	28	720	20	102	14	100	16	480	24	300000	28	33	8	105	6	swor	shie	cold	10	Resist Cold	1	10	0	9	6	Tornado	7	75	0	27	14	Glacial Spike	7	75	0	17	8	Frost Nova	7	35	0	13	12	Hurricane	7	10	0	6	6	Frozen Orb	7	35	0	11	10	2	2	2	1
Eastern Sorceror	Cold-Normal	0	16	359	3	1	85	252	merca222	merca241	1500	65	1490	42	1320	22	154	14	160	16	1200	36	300000	60	66	10	150	5	swor	shie	cold	10	Resist Cold	1	10	0	14	6	Tornado	7	50	0	40	14	Glacial Spike	7	50	0	24	8	Frost Nova	7	60	0	24	12	Hurricane	7	10	0	11	6	Frozen Orb	7	60	0	20	10	2	2	2	1
Eastern Sorceror	Ltng-Normal	0	17	359	3	1	25	252	merca222	merca241	1000	65	230	14	180	18	50	14	40	16	120	12	300000	6	11	6	45	8	swor	shie	ltng	10	Resist Lightning	1	10	0	4	6	Static Field	7	30	0	6	8	Lightning	7	200	0	13	14	Hydra	7	30	0	6	14													2	2	2	1
Eastern Sorceror	Ltng-Normal	0	17	359	3	1	55	252	merca222	merca241	1000	65	650	28	720	20	102	14	100	16	480	24	300000	28	33	8	105	6	swor	shie	ltng	10	Resist Lightning	1	10	0	9	6	Static Field	7	40	0	13	8	Chain Lightning	7	90	0	21	12	Hydra	7	30	0	19	14	Bone Spirit	7	40	0	23	14	Time Stop	7	30	0	10	8	2	2	2	1
Eastern Sorceror	Ltng-Normal	0	17	359	3	1	85	252	merca222	merca241	1000	65	1490	42	1320	22	154	14	160	16	1200	36	300000	60	66	10	150	5	swor	shie	ltng	10	Resist Lightning	1	10	0	14	6	Static Field	7	50	0	20	8	Chain Lightning	7	60	0	32	12	Hydra	7	30	0	32	14	Bone Spirit	7	50	0	36	14	Time Stop	7	40	0	17	8	2	2	2	1
Eastern Sorceror	Fire-Nightmare	0	18	359	3	2	55	252	merca222	merca241	9500	65	650	28	720	20	102	14	100	16	480	24	300000	28	33	8	105	6	swor	shie	fire	10	Resist Fire	1	10	0	9	6	Shock Wave	7	30	0	17	12	Fire Ball	7	80	0	21	12	SEruption	7	40	0	17	12	Nova	7	40	0	19	14	Twister	7	40	0	19	14	2	2	2	1
