name	*name	szFlavorText	compactsave	version	level	levelreq	rarity	spawnable	speed	nodurability	cost	gamble cost	code	alternategfx	namestr	auto prefix	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	special	Transmogrify	TMogType	TMogMin	TMogMax	useable	throwable	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	lightradius	belt	autobelt	stackable	minstack	maxstack	spawnstack	quest	questdiffcheck	missiletype	spellicon	pSpell	state	cstate1	cstate2	len	stat1	calc1	stat2	calc2	stat3	calc3	spelldesc	spelldescstr	spelldesccalc	durwarning	qntwarning	gemoffset	BetterGem	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HraltiMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	PermStoreItem	multibuy	Nameable	*eol
deciphered Bark Scroll	deciphered Bark Scroll		1	0	0	0	0	0	0	1	12000		bkd	bkd	bkd		16	2	2	0	0	0	flpscr	invscb			0	xxx			0	0	ques		item_scroll	10	item_scroll	1	0	5	0	0	0	0	0	0	0	5	1	0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx				0
Arrows	Arrows		0	0	0	0	1	0	0	1	256		aqv	aqv	aqv		16	1	3	0	0	0	flpqvr	invqvr			0	xxx			0	0	bowq		item_quiver	12	item_quiver	0	0	5	0	0	0	1	500	500	500			0	-1															0	1	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx	1			0
Torch	Torch		1	0	0	0	0	0	0	1	50		tch	bsh	tch		7	1	2	0	0	0	flptrch	invtrch			0	xxx			0	0	torc		item_staff	12	item_staff	0	1	3	6	0	0	0	2	10	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx				0
Bolts	Bolts		0	0	0	0	1	0	0	1	256		cqv	cqv	cqv		16	1	3	0	0	0	flpqvr	invcqv			0	xxx			0	0	xboq		item_quiver	12	item_quiver	0	0	5	0	0	0	1	500	500	500			0	-1															0	1	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx	1			0
Town Portal Scroll	Town Portal Scroll		1	0	0	0	2	1	0	1	100		tsc	bsc	tsc		16	1	1	0	0	0	flpbsc	invbsc			0	xxx			1	0	scro		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	-1	2														0	0	0	non	0					255					255	11	17			255					255					255	11	17	11	17	255					255					255	11	17	11	17	255					255					255					255					255	5	7			255					255					255	5	7			255			0	0	0	xxx	xxx	1	1		0
Identify Scroll	Identify Scroll		1	0	0	0	2	1	0	1	80		isc	rsc	isc		16	1	1	0	0	0	flprsc	invrsc			0	xxx			1	0	scro		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	-1	1														0	0	0	non	0					255					255	11	17			255					255					255	11	17	11	17	255					255					255	11	17	11	17	255					255					255					255					255	5	7			255					255					255	5	7			255			0	0	0	xxx	xxx	1	1		0
Heart	Heart		0	0	0	0	1	0	0	1	60		hrt	hrt	hrt		16	1	1	0	0	0	flphrt	invhrt			1	brz	1	1	0	0	body		item_monsterguts	14	item_monsterguts	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx				0
Brain	Brain		0	0	0	0	1	0	0	1	60		brz	brz	brz		16	1	1	0	0	0	flpbrnz	invbrnz			1	jaw	1	1	0	0	body		item_monsterguts	14	item_monsterguts	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx				0
Jawbone	Jawbone		0	0	0	0	1	0	0	1	75		jaw	jaw	jaw		16	1	1	0	0	0	flpjaw	invjaw			1	eyz	1	1	0	0	body		item_monsterbone	12	item_monsterbone	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx				0
Eye	Eye		0	0	0	0	1	0	0	1	45		eyz	eyz	eyz		16	1	1	0	0	0	flpeye	inveye			1	hrn	1	1	0	0	body		item_monsterguts	14	item_monsterguts	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx				0
Horn	Horn		0	0	0	0	1	0	0	1	48		hrn	hrn	hrn		16	1	1	0	0	0	flphorn	invhorn			1	tal	1	1	0	0	body		item_monsterbone	12	item_monsterbone	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx				0
Tail	Tail		0	0	0	0	1	0	0	1	63		tal	tal	tal		16	1	1	0	0	0	flptail	invtail			1	flg	1	1	0	0	body		item_monsterguts	14	item_monsterguts	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx				0
Flag	Flag		0	0	0	0	1	0	0	1	98		flg	flg	flg		16	1	1	0	0	0	flpflag	invflag			1	fng	1	1	0	0	body		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx				0
Fang	Fang		0	0	0	0	1	0	0	1	80		fng	fng	fng		16	1	1	0	0	0	flpfang	invfang			1	qll	1	1	0	0	body		item_monsterbone	12	item_monsterbone	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx				0
Quill	Quill		0	0	0	0	1	0	0	1	32		qll	qll	qll		16	1	1	0	0	0	flpquil	invquil			1	sol	1	1	0	0	body		item_monsterbone	12	item_monsterbone	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx				0
Soul	Soul		0	0	0	0	1	0	0	1	100		sol	sol	sol		16	1	1	0	0	0	flpsple	invsol			1	scz	1	1	0	0	body		item_gem	12	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx				0
Scalp	Scalp		0	0	0	0	1	0	0	1	40		scz	scz	scz		16	1	1	0	0	0	flpbonr1	invbonr1			1	spe	1	1	0	0	body		item_monsterguts	14	item_monsterguts	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx				0
Spleen	Spleen		0	0	0	0	1	0	0	1	85		spe	spe	spe		16	1	1	0	0	0	flpsple	invsple			1	hrt	1	1	0	0	body		item_monsterguts	14	item_monsterguts	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx				0
Skeleton Key	Skeleton Key		0	0	0	0	1	1	0	1	45		key	key	key		16	1	1	0	0	0	flpkey	invkey			0	xxx			0	0	key		item_key	12	item_key	0	0	5	0	0	0	1	1	50	6			0	-1															0	0	0	non	0	5	9	5	9	255	5	9	5	9	255	5	9	5	9	255	5	9	5	9	255	6	9	6	9	255	5	9	5	9	255	5	9	5	9	255	5	9	5	9	255	5	9	5	9	255	5	9	5	9	255	5	9	5	9	255					255	5	9	5	9	255	5	9	5	9	255	5	9	5	9	255	5	9	5	9	255	5	9	5	9	255			0	0	0	xxx	xxx	1	1		0
Mephisto Key	Mephisto Key		0	0	0	0	1	0	0	1	99999		luv	key	luv		16	1	2	0	0	0	flpmph	invmph			0	xxx			0	0	key		item_key	12	item_key	0	0	5	0	0	0	0	0	0	0	20	1	0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx				0
scroll of self resurrect	scroll of self resurrect		0	0	0	0	999	0	0	1	10000		xyz	scr	xyz		16	1	1	0	0	0	flpwps	invxyz			0	xxx			1	0	ques		item_potion	14	item_potion_drink	0	0	5	0	0	0	0	0	0	0	19	1	0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx				0
jade figurine	jade figurine		1	0	0	0	0	0	0	1	100		j34	bks	j34		16	1	2	0	0	0	flpjbi	invjbi			0	xxx			0	0	ques		item_rare	12		1	0	3	0	0	0	0	0	0	0	19	1	0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx				0
gold bird	gold bird		1	0	0	0	0	0	0	1	100		g34	bks	g34		16	1	2	0	0	0	flpgbi	invgbi			0	xxx			0	0	ques		item_rare	12		1	0	4	0	0	0	0	0	0	0	19	1	0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx				0
lam esen's tome	lam esen's tome		1	0	0	0	0	0	0	1	100		bbb	bbb	bbb		16	2	2	0	0	0	flpbbb	invbbb			0	xxx			0	0	ques		item_book	12	item_book	1	0	5	0	0	0	0	0	0	0	16	1	0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx				0
Horadric Cube	Horadric Cube		0	0	0	0	0	0	0	1	0		box	rbk	box		16	2	2	0	0	0	flpbox	invbox			0	xxx			1	0	ques		item_rare	12		0	0	5	0	0	0	0	0	0	0	10		0	-1	7														0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx				0
Scroll of Horadric Quest Info	Scroll of Horadric Quest Info		1	0	0	0	999	0	0	1	0		tr1	grg	tr1		16	2	2	0	0	0	flphscr	invhscr			0	xxx			0	0	ques		item_book	12	item_book	1	0	5	0	0	0	0	0	0	0	10	1	0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx				0
Mephisto SoulStone	Mephisto SoulStone		1	0	0	0	999	0	0	1	0		mss	scr	mss		16	1	1	0	0	0	flpmss	invmss			0	xxx			0	0	ques		item_gem	12	item_gem	1	0	5	0	0	0	0	0	0	0	23	1	0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx				0
Book of Skill	Book of Skill		1	0	0	0	999	0	0	1	0		ass	tbk	ass		16	2	2	0	0	0	flpbbk	invsbk			0	xxx			1	0	ques		item_book	12	item_book	1	0	5	0	0	0	0	0	0	0	15	1	0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx				0
KhalimEye	KhalimEye		1	0	0	0	1	0	0	1	45		qey	eyz	qey		16	1	1	0	0	0	flpeye	inveye			0	xxx			0	0	ques		item_monsterguts	14	item_monsterguts	0	0	5	0	0	0	0	0	0	0	17	1	0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx				0
KhalimHeart	KhalimHeart		1	0	0	0	1	0	0	1	60		qhr	hrt	qhr		16	1	1	0	0	0	flphrt	invhrt			0	xxx			0	0	ques		item_monsterguts	14	item_monsterguts	0	0	5	0	0	0	0	0	0	0	17	1	0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx				0
KhalimBrain	KhalimBrain		1	0	0	0	1	0	0	1	60		qbr	brz	qbr		16	1	1	0	0	0	flpbrnz	invbrnz			0	xxx			0	0	ques		item_monsterguts	14	item_monsterguts	0	0	5	0	0	0	0	0	0	0	17	1	0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx				0
Player Ear	Player Ear		1	0	0	0	1	0	0	1	0		ear	ear	ear		16	1	1	0	0	0	flpear	invear			0	xxx			0	0	play		item_monsterguts	14	item_monsterguts	0	0	5	0	0	0	0	0	0	0			0	-1															0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx				0
Minor Healing Potion	Minor Healing Potion		1	0	0	0	1	1	0	1	30		hp1	hp1	hp1		16	1	1	0	0	0	flprps	invhp1			0	xxx			1	0	hpot		item_potion	14	item_potion_drink	0	0	5	0	1	1	0	0	0	0			0	-1	3	healthpot			256	hpregen	"max(stat('maxhp'.accr)/25600*10,40)"					2	ItemStats1q	40	0	0	0	non	0					255					255	8	12			255					255	4	6			255	2	4			255					255					255	2	4			255					255					255					255					255	2	4			255					255					255	2	4			255			0	0	0	hp4	hp5	1	1		0
Light Healing Potion	Light Healing Potion		1	0	0	0	1	1	0	1	75		hp2	hp2	hp2		16	1	1	0	0	0	flprps	invhp2			0	xxx			1	0	hpot		item_potion	14	item_potion_drink	0	0	5	0	1	1	0	0	0	0			0	-1	3	healthpot			256	hpregen	"max(stat('maxhp'.accr)/25600*15,80)"					2	ItemStats1q	80	0	0	0	non	0					255					255					255					255	6	8			255	4	8			255					255					255	4	6			255					255					255					255					255	2	4			255					255					255	2	4			255			0	0	0	hp4	hp5	1	1		0
Healing Potion	Healing Potion		1	0	0	0	1	1	0	1	125		hp3	hp3	hp3		16	1	1	0	0	0	flprps	invhp3			0	xxx			1	0	hpot		item_potion	14	item_potion_drink	0	0	5	0	1	1	0	0	0	0			0	-1	3	healthpot			256	hpregen	"max(stat('maxhp'.accr)/25600*20,160)"					2	ItemStats1q	160	0	0	0	non	0					255					255					255					255					255					255					255					255	6	8			255					255					255					255					255	4	6			255					255					255	4	6			255			0	0	0	hp4	hp5	1	1		0
Greater Healing Potion	Greater Healing Potion		1	0	0	0	1	1	0	1	250		hp4	hp4	hp4		16	1	1	0	0	0	flprpl	invhp4			0	xxx			1	0	hpot		item_potion	14	item_potion_drink	0	0	5	0	1	1	0	0	0	0			0	-1	3	healthpot			256	hpregen	"max(stat('maxhp'.accr)/25600*25,320)"					2	ItemStats1q	320	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255	6	8			255					255					255	6	8			255			0	0	0	xxx	hp5	1	1		0
Supeer Healing Potion	Supeer Healing Potion		1	0	0	0	1	1	0	1	500		hp5	hp5	hp5		16	1	1	0	0	0	flprpl	invhp5			0	xxx			1	0	hpot		item_potion	14	item_potion_drink	0	0	5	0	1	1	0	0	0	0			0	-1	3	healthpot			256	hpregen	"max(stat('maxhp'.accr)/25600*30,640)"					2	ItemStats1q	640	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx	1	1		0
Minor Mana Potion	Minor Mana Potion		1	0	0	0	1	1	0	1	30		mp1	mp1	mp1		16	1	1	0	0	0	flpbps	invmp1			0	xxx			1	0	mpot		item_potion	14	item_potion_drink	0	0	5	0	1	1	0	0	0	0			0	-1	3	manapot			128	manarecovery	"max(stat('maxmana'.accr)/25600*5,20)"					2	ItemStats1q	20	0	0	0	non	0					255					255	13	16			255					255	8	10			255	8	12			255					255					255	8	10			255					255					255					255					255	8	10			255					255					255	8	10			255			0	0	0	mp4	mp5	1	1		0
Light Mana Potion	Light Mana Potion		1	0	0	0	1	1	0	1	75		mp2	mp2	mp2		16	1	1	0	0	0	flpbps	invmp2			0	xxx			1	0	mpot		item_potion	14	item_potion_drink	0	0	5	0	1	1	0	0	0	0			0	-1	3	manapot			128	manarecovery	"max(stat('maxmana'.accr)/25600*10,40)"					2	ItemStats1q	40	0	0	0	non	0					255					255					255					255	10	12			255	12	16			255					255					255	10	12			255					255					255					255					255	8	10			255					255					255	8	10			255			0	0	0	mp4	mp5	1	1		0
Mana Potion	Mana Potion		1	0	0	0	1	1	0	1	125		mp3	mp3	mp3		16	1	1	0	0	0	flpbps	invmp3			0	xxx			1	0	mpot		item_potion	14	item_potion_drink	0	0	5	0	1	1	0	0	0	0			0	-1	3	manapot			128	manarecovery	"max(stat('maxmana'.accr)/25600*15,80)"					2	ItemStats1q	80	0	0	0	non	0					255					255					255					255					255					255					255					255	12	16			255					255					255					255					255	10	12			255					255					255	10	12			255			0	0	0	mp4	mp5	1	1		0
Greater Mana Potion	Greater Mana Potion		1	0	0	0	1	1	0	1	250		mp4	mp4	mp4		16	1	1	0	0	0	flpbpl	invmp4			0	xxx			1	0	mpot		item_potion	14	item_potion_drink	0	0	5	0	1	1	0	0	0	0			0	-1	3	manapot			128	manarecovery	"max(stat('maxmana'.accr)/25600*20,160)"					2	ItemStats1q	160	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255	12	16			255					255					255	12	16			255			0	0	0	xxx	mp5	1	1		0
