class	invLeft	invRight	invTop	invBottom	gridX	gridY	gridLeft	gridRight	gridTop	gridBottom	gridBoxWidth	gridBoxHeight	rArmLeft	rArmRight	rArmTop	rArmBottom	rArmWidth	rArmHeight	torsoLeft	torsoRight	torsoTop	torsoBottom	torsoWidth	torsoHeight	lArmLeft	lArmRight	lArmTop	lArmBottom	lArmWidth	lArmHeight	headLeft	headRight	headTop	headBottom	headWidth	headHeight	neckLeft	neckRight	neckTop	neckBottom	neckWidth	neckHeight	rHandLeft	rHandRight	rHandTop	rHandBottom	rHandWidth	rHandHeight	lHandLeft	lHandRight	lHandTop	lHandBottom	lHandWidth	lHandHeight	beltLeft	beltRight	beltTop	beltBottom	beltWidth	beltHeight	feetLeft	feetRight	feetTop	feetBottom	feetWidth	feetHeight	glovesLeft	glovesRight	glovesTop	glovesBottom	glovesWidth	glovesHeight
Trade Page 1-2	80	401	60	279	10	5	100	385	91	227	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 2-2	80	401	280	502	10	5	100	385	305	447	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Bank Page2	80	401	280	502	6	4	154	324	333	446	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Transmogrify Box2	80	401	280	502	10	8	96	386	75	301	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Guild Vault Page2	80	401	280	502	10	4	96	383	259	373	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trophy Case Page2	80	401	280	502	10	4	96	383	259	373	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Big Bank Page2	80	401	280	502	10	10	96	382	142	431	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hireling2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	29	29	100	155	64	176	55	112	216	271	124	207	55	83	331	387	64	176	56	112	216	271	63	119	55	56	288	313	92	118	25	26	173	198	181	207	25	26	288	313	182	208	25	26	216	271	214	238	55	24	331	386	182	238	55	56	100	155	181	238	55	57
Druid2	400	720	60	501	11	9	401	717	183	441	29	29	591	646	65	177	55	112	527	583	65	147	56	82	657	712	65	177	55	112	405	459	65	116	54	51	547	570	155	179	23	24	404	427	125	149	23	24	435	458	125	149	23	24	405	457	156	181	52	25	469	523	129	181	54	52	469	523	65	118	54	53
Assassin2	400	720	60	501	11	9	401	717	183	441	29	29	591	646	65	177	55	112	527	583	65	147	56	82	657	712	65	177	55	112	405	459	65	116	54	51	547	570	155	179	23	24	404	427	125	149	23	24	435	458	125	149	23	24	405	457	156	181	52	25	469	523	129	181	54	52	469	523	65	118	54	53
