skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	ListPool	IconCel	str name	str short	str long	str alt	str mana	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	eol
ice arrow	1	6	2	1	0	30	skillname21	skillsd21	skillld21	skillan21	StrSkill3	5												1				1					10					9					3	StrSkill72	StrSkill27	clc1		8																														40	Sksyn	skillname21	2		63	skillname27	Ltngdplev	par8		63	skillname16	Ltngdplev	par8																						0
guided arrow	1	4	1	1	0	32	skillname22	skillsd22	skillld22	skillan22	StrSkill3	7	clc1															1					2	StrSkill4	StrSkill23	clc1																																										40	Sksyn	skillname22	2		63	skillname6	Damplev	par8		63	skillname12	Damplev	par8		63	Skillname363	Damplev	par8		63	skillname26	Damplev	par8												0
penetrate	2	4	3	2	0	34	skillname23	skillsd23	skillld23	skillan23	StrSkill3																	2	StrSkill10	StrSkill23	pst1																																																																																		0
charged strike	3	6	2	3	0	36	skillname24	skillsd24	skillld24	skillan24	StrSkill3	17																1					10					9					3	StrSkill72	StrSkill222	clc1																																40	Sksyn	skillname24	2		63	skillname10	Magdplev	par8		63	skillname14	Magdplev	par8		63	skillname30	Magdplev	par8		63	skillname19	Magdplev	par8		63	skillname34	Magdplev	par8							0
plague javelin	3	5	2	3	0	38	skillname25	skillsd25	skillld25	skillan25	StrSkill3	22												1				1					14					8																																								40	Sksyn	skillname25	2		63	skillname10	Poisdplev	par8		63	skillname15	Poisdplev	par8		63	skillname20	Poisdplev	par8		63	skillname35	Poisdplev	par8		63	skillname19	Poisdplev	par8							0
strafe	1	6	1	1	0	40	skillname26	skillsd26	skillld26	skillan26	StrSkill3	7	clc2											1				2	StrSkill4	StrSkill23	clc2		3	StrSkill86	StrSkill87	clc1																						1					73	WeapDamsk		1	2											40	Sksyn	skillname26	2		63	skillname6	Damplev	par8		63	skillname12	Damplev	par8		63	skillname22	Damplev	par8		63	Skillname363	Damplev	par8												0
immolation arrow	1	4	2	1	0	42	skillname27	skillsd27	skillld27	skillan27	StrSkill3	6												1	immolationfire			1					22					23	StrSkill82				24	StrSkill83				8					5	ESkillMiss		1+blvl/15																						40	Sksyn	skillname27	2		63	skillname6	Firedplev	par8		63	skillname16	Firedplev	par8		63	skillname21	Firedplev	par8																	0
dopplezon	2	4	1	2	0	44	skillname28	skillsd28	skillld28	skillan28	StrSkill3																	1					12	StrSkill20		clc2		2	StrSkill54	StrSkill23	ast1		3	StrSkill42	StrSkill155	clc3*(100+clc1)/100																																40	Sksyn	skillname28	2		63	skillname32	Hpplev	par8																											0
evade	2	3	1	2	0	70	skillname29	skillsd29	skillld29	skillan29	StrSkill3																	3	Cgslow	StrSkill23	-ast1																											18	petdurplvl				12	StrSkill20		len		18	StrSkill227				19	StrSkill18		rng		40	Sksyn	skillname29	2		25	skillname8	012secplev			63	Skillname523	Slowfrwplev	par8																						0
fend	3	2	1	3	0	48	skillname30	skillsd30	skillld30	skillan30	StrSkill3	7	clc2											1				2	StrSkill4	StrSkill23	clc2		8																									1																				40	Sksyn	skillname30	2		63	skillname10	Damplev	par8		63	skillname14	Damplev	par8		63	skillname19	Damplev	par8		63	skillname34	Damplev	par8		63	skillname24	Damplev	par8							0
freezing arrow	1	5	3	1	0	50	skillname31	skillsd31	skillld31	skillan31	StrSkill3	6												1				1					12	StrSkill62		edln		10					8					19	StrSkill18		5		5	ESkillMiss		1+blvl/15																						40	Sksyn	skillname31	2		63	skillname6	Colddplev	par8		63	skillname11	Colddplev	par8		63	skillname7	Colddplev	par8		63	Skillname366	Colddplev	par8		63	skillname11	FrezLenplev	par7		63	Skillname366	FrezLenplev	par7		0
valkyrie	2	6	1	2	0	52	skillname32	skillsd32	skillld32	skillan32	StrSkill3																	1					2	StrSkill54	StrSkill23	ast3		4	StrSkill208		toht		2	StrSkill4	StrSkill23	ast1		2	StrSkill31	StrSkill23	pst1		13			clc1		5	StrSkill156		"min(ln56-par6,99)"		18	StrSkill157				5	ESkillValk		pets							40	Sksyn	skillname32	2		25	skillname28	Valkplev			67	skillname23	AttRateplev	40		25	skillname9				25	skillname18				25	skillname13									0
pierce	2	6	3	2	0	54	skillname33	skillsd33	skillld33	skillan33	StrSkill3																	7	StrSkill24		pst1																																																																																		0
lightning strike	3	3	3	3	0	56	skillname34	skillsd34	skillld34	skillan34	StrSkill3	17																10					7	StrSkill11		clc2																						1																				40	Sksyn	skillname34	2		63	skillname10	Ltngdplev	par8		63	skillname15	Ltngdplev	par8		63	skillname30	Ltngdplev	par8		63	skillname20	Ltngdplev	par8		63	skillname14	Ltngdplev	par8		63	skillname35	Ltngdplev	par8		0
lightning fury	3	6	3	3	0	58	skillname35	skillsd35	skillld35	skillan35	StrSkill3	22																1					10					3	StrSkill72	StrSkill27	clc1																																					40	Sksyn	skillname35	2		63	skillname20	Ltngdplev	par8		63	skillname34	Ltngdplev	par8																						0
fire bolt	1	1	3	1	0	0	skillname36	skillsd36	skillld36	skillan36	StrSkill3	5																1					11					10					8															7	StrSkill205		clc1		18	StrSkill286				18	StrSkill266									40	Sksyn	skillname36	2		63	skillname47	Firedplev	par8		63	skillname56	Firedplev	par8		63	skillname48	Firedplev	par8																	0
warmth	3	1	1	3	0	2	skillname37	skillsd37	skillld37	skillan37	StrSkill3																	7	StrSkill23		pst1																																																																																		0
charged bolt	2	1	2	2	0	4	skillname38	skillsd38	skillld38	skillan38	StrSkill3	5																1					10					7	StrSkill27		clc1																																					40	Sksyn	skillname38	2		63	skillname49	Ltngdplev	par8		63	skillname41	Ltngdplev	par8		63	skillname62	Ltngdplev	par8		63	skillname53	Ltngdplev	par8												0
ice bolt	3	1	2	3	0	6	skillname39	skillsd39	skillld39	skillan39	StrSkill3	5																1					11					10					9															7	StrSkill205		clc1		18	StrSkill286				18	StrSkill266									40	Sksyn	skillname39	2		63	skillname45	Colddplev	par8		63	skillname55	Colddplev	par8		63	skillname59	Colddplev	par8		63	skillname44	Colddplev	par8		63	skillname64	Colddplev	par8		63	StrEach	CoLenplev	par7		0
frozen armor	2	1	3	2	0	8	skillname40	skillsd40	skillld40	skillan40	StrSkill3																	1					12	StrSkill20		len		12	StrSkill62		clc1		3	StrSkill31	StrSkill23	ast1												18	StrSkill284				2	StrSkill190	StrSkill23	ast3		2	StrSkill224	StrSkill23	-ast2		18	StrSkill232				40	Sksyn	skillname40	2		67	skillname50	Secplev2	par7/25		67	skillname60	Secplev2	par7/25		63	skillname50	Defplev	par8		63	skillname60	Defplev	par8		25	Skillname369	StrSkill258								0
inferno	2	3	3	2	0	10	skillname41	skillsd41	skillld41	skillan41	StrSkill3	8																3	StrSkill3	StrSkill34	mps		19	StrSkill56		rng+2		18	StrSkill238				11					26										5	StrSkill115		par3																	40	Sksyn	skillname41	2		63	skillname38	Ltngdplev	par8		63	skillname49	Ltngdplev	par8		63	skillname62	Ltngdplev	par8		63	skillname53	Ltngdplev	par8												0
static field	2	4	1	2	0	12	skillname42	skillsd42	skillxld42	skillan42	StrSkill3																	19	StrSkill18		rng																											1					3	StrSkill33	StrSkill23	clc1																																															0
telekinesis	2	3	1	2	0	14	skillname43	skillsd43	skillld43	skillan43	StrSkill3	5																1					10																																													40	Sksyn	skillname43	2		63	Skillname371	Ltngdplev	par8		63	skillname42	Ltngdplev	par8		63	skillname58	Ltngdplev	par8																	0
frost nova	3	5	2	3	0	16	skillname44	skillsd44	skillld44	skillan44	StrSkill3	5																1					11					10																																								40	Sksyn	skillname44	2		63	skillname39	Colddplev	par8		63	skillname45	Colddplev	par8		63	skillname55	Colddplev	par8		63	skillname59	Colddplev	par8		63	skillname64	Colddplev	par8		63	StrEach	CoLenplev	par7		0
ice blast	3	4	3	3	0	18	skillname45	skillsd45	skillld45	skillan45	StrSkill3	5																1					12	StrSkill62		edln		10																																								40	Sksyn	skillname45	2		63	skillname39	Colddplev	par8		63	skillname55	Colddplev	par8		63	skillname59	Colddplev	par8		63	skillname44	Colddplev	par8		63	skillname64	Colddplev	par8		63	StrEach	FrezLenplev	par7		0
blaze	1	1	1	1	0	20	skillname46	skillsd46	skillld46	skillan46	StrSkill3	9													blaze			1					27					23	StrSkill82																																							40	Sksyn	skillname46	2		63	Skillname370	Firedplev	par8		63	skillname51	Firedplev	par8		63	skillname48	Firedplev	par8																	0
fire ball	1	3	3	1	0	22	skillname47	skillsd47	skillld47	skillan47	StrSkill3	5													fireball			1					11					10					9					8										28																				40	Sksyn	skillname47	2		63	skillname36	Firedplev	par8		63	skillname56	Firedplev	par8		63	skillname48	Firedplev	par8																	0
nova	1	5	1	1	0	24	skillname48	skillsd48	skillld48	skillan48	StrSkill3	5																1					10																																													40	Sksyn	skillname48	2		63	skillname46	Firedplev	par8		63	Skillname370	Firedplev	par8		63	skillname51	Firedplev	par8		63	skillname36	Firedplev	par8		63	skillname47	Firedplev	par8		63	skillname56	Firedplev	par8		0
lightning	2	2	3	2	0	26	skillname49	skillsd49	skillld49	skillan49	StrSkill3	5																1					11					10					9					8																														40	Sksyn	skillname49	2		63	skillname38	Ltngdplev	par8		63	skillname41	Ltngdplev	par8		63	skillname62	Ltngdplev	par8		63	skillname53	Ltngdplev	par8												0
shiver armor	1	1	2	1	0	28	skillname50	skillsd50	skillld50	skillan50	StrSkill3	5																1					12	StrSkill20		len		10					3	StrSkill31	StrSkill23	ast1												18	StrSkill284				2	StrSkill188	StrSkill23	ast3		2	StrSkill220	StrSkill23	-ast2		18	StrSkill232				40	Sksyn	skillname50	2		67	skillname40	Secplev2	par7/25		67	skillname60	Secplev2	par7/25		63	skillname40	Defplev	par8		63	skillname60	Defplev	par8		25	Skillname369	StrSkill257								0
fire wall	1	4	1	1	0	30	skillname51	skillsd51	skillld51	skillan51	StrSkill3	5													fire wave maker			1					10																																													40	Sksyn	skillname51	2		63	skillname46	Firedplev	par8		63	Skillname370	Firedplev	par8		63	skillname48	Firedplev	par8																	0
enchant	1	2	2	1	0	32	skillname52	skillsd52	skillld52	skillan52	StrSkill3																	1					2	StrSkill10	StrSkill23	toht		10					12	StrSkill20		len																																40	Sksyn	skillname52	2		63	skillname57	Firedplev	par8		63	Skillname368	Firedplev	par8																						0
chain lightning	2	6	3	2	0	34	skillname53	skillsd53	skillld53	skillan53	StrSkill3	5																1					10					7	StrSkill11		clc1																																					40	Sksyn	skillname53	2		63	skillname38	Ltngdplev	par8		63	skillname49	Ltngdplev	par8		63	skillname41	Ltngdplev	par8		63	skillname62	Ltngdplev	par8												0
teleport	2	1	1	2	0	36	skillname54	skillsd54	skillld54	skillan54	StrSkill3																	1																																																																																					0
glacial spike	3	3	2	3	0	38	skillname55	skillsd55	skillld55	skillan55	StrSkill3	5																1					12	StrSkill62		len		10																				19	StrSkill18		rng																	40	Sksyn	skillname55	2		63	skillname39	Colddplev	par8		63	skillname45	Colddplev	par8		63	skillname59	Colddplev	par8		63	skillname44	Colddplev	par8		63	skillname64	Colddplev	par8		63	skillname59	FrezLenplev	par7		0
meteor	1	4	3	1	0	40	skillname56	skillsd56	skillld56	skillan56	StrSkill3	5													meteorfire			1					22					9					10															19	StrSkill18		clc1																	40	Sksyn	skillname56	2		63	skillname36	Firedplev	par8		63	skillname47	Firedplev	par8		63	skillname48	Firedplev	par8		63	skillname36	AFDImm	5		63	skillname47	AFDImm	5		63	skillname48	AFDImm	5		0
thunder storm	1	6	3	1	0	42	skillname57	skillsd57	skillld57	skillan57	StrSkill3	5																1					9					10					12	StrSkill20		len																																40	Sksyn	skillname57	2		63	skillname52	Firedplev	par8		63	Skillname368	Firedplev	par8																						0
energy shield	2	4	2	2	0	44	skillname58	skillsd58	skillld58	skillan58	StrSkill3																	3	StrSkill40	StrSkill23	clc1		12	StrSkill20		len		3	StrSkill163	StrSkill23	"max(75,par5-blvl*par7-(skill('Telekinesis'.blvl)+skill('STwister'.blvl)+skill('Static Field'.blvl))*par8)"																	1					18	StrSkill252														40	Sksyn	skillname58	2		63	Skillname371	Dmmnplev	par8		63	skillname43	Dmmnplev	par8		63	skillname42	Dmmnplev	par8																	0
blizzard	3	4	1	3	0	46	skillname59	skillsd59	skillld59	skillan59	StrSkill3	5													blizzardcenter			1					11					10																				23	StrSkill20																			40	Sksyn	skillname59	2		63	skillname39	Colddplev	par8		63	skillname45	Colddplev	par8		63	skillname55	Colddplev	par8		63	skillname44	Colddplev	par8		63	skillname64	Colddplev	par8		63	StrEach	CoLenplev	par7		0
chilling armor	3	1	3	3	0	48	skillname60	skillsd60	skillld60	skillan60	StrSkill3	5																1					12	StrSkill20		len		11					10					3	StrSkill31	StrSkill23	ast1							18	StrSkill284				2	StrSkill189	StrSkill23	ast3		2	StrSkill223	StrSkill23	-ast2		18	StrSkill232				40	Sksyn	skillname60	2		67	skillname40	Secplev2	par7/25		67	skillname50	Secplev2	par7/25		63	skillname40	Defplev	par8		63	skillname50	Defplev	par8		25	Skillname369	StrSkill259								0
fire mastery	1	6	2	1	0	50	skillsname61	skillsd61	skillld61	skillan61	StrSkill3																	2	StrSkill5	StrSkill23	pst1																											18	StrSkill265																																																						0
hydra	2	5	3	2	0	52	skillname62	skillsd62	skillld62	skillan62	StrSkill3	5																1					12	StrSkill20		ln12		24	StrSkill182																																							40	Sksyn	skillname62	2		63	skillname38	Ltngdplev	par8		63	skillname49	Ltngdplev	par8		63	skillname41	Ltngdplev	par8		63	skillname53	Ltngdplev	par8												0
lightning mastery	2	6	2	2	0	54	skillname63	skillxsd63	skillld63	skillan63	StrSkill3																	2	StrSkill7	StrSkill23	pst1																											18	StrSkill265																																																						0
frozen orb	3	6	1	3	0	56	skillname64	skillsd64	skillld64	skillan64	StrSkill3	5																1					11					10					9					8																														40	Sksyn	skillname64	2		63	skillname39	Colddplev	par8		63	skillname45	Colddplev	par8		63	skillname55	Colddplev	par8		63	skillname59	Colddplev	par8		63	skillname44	Colddplev	par8		63	StrEach	CoLenplev	par7		0
cold mastery	3	6	2	3	0	58	skillname65	skillsd65	skillld65	skillan65	StrSkill3																	2	StrSkill6	StrSkill23	pst1																											18	StrSkill265																																																						0
amplify damage	1	2	1	1	0	0	skillname66	skillsd66	skillld66	skillan66	StrSkill3																	1					12	StrSkill20		len		3	StrSkill18	StrSkill26	rng		2	StrSkill151	StrSkill23	ast1												18	StrSkillAmplifyDmg																																																						0
teeth	2	1	1	2	0	2	skillname67	skillsd67	skillld67	skillan67	StrSkill3	5																1					10					7	StrSkill205		clc1																																					40	Sksyn	skillname67	2		63	skillname68	Magdplev	par8		63	skillname84	Magdplev	par8		63	skillname93	Magdplev	par8		63	Skillname374	Magdplev	par8												0
bone armor	2	1	3	2	0	4	skillname68	skillsd68	skillld68	skillan68	StrSkill3																	1					5	StrSkill21		ast1/256		3	StrSkill40	StrSkill41	edmn*(100+clc4)/100																	2	StrSkill162	StrSkill23	ast4		18	StrSkill282				18	StrSkill284									40	Sksyn	skillname68	2		63	Skillname507	Damabsplev	par7		63	Skillname373	Damabsplev	par7		63	Skillname374	Damabsplev	par8		63	skillname84	Damabsplev	par8		63	skillname93	Damabsplev	par8		63	skillname67	Damabsplev	par8		0
skeleton mastery	3	1	1	3	0	6	skillname69	skillsd69	skillld69	skillan69	StrSkill3																	32	StrSkill97	StrSkill4	lvl*par4		32	StrSkill97	StrSkill42	lvl*par3		67	StrSkillSkelReviveAR	StrSkill23	lvl*10		67	StrSkillSkelDmgPercent	StrSkill23	blvl*par2		67	StrSkillSkelMageArmor	StrSkill23	lvl*par5		67	StrSkill201	StrSkill23	blvl*par1		70	StrSkill200	StrSkill228	lvl-1																																																				0
raise skeleton	3	1	3	3	0	8	skillname70	skillsd70	skillld70	skillan70	StrSkill3																	1					36	StrSkill94	StrSkill44	pets		5	StrSkill208		((2000+ast6)*(100+pst5))/100		35	StrSkill4		((1+pst4)*(100+pst2))/100	((2+pst4)*(100+pst2))/100	5	StrSkill21		((1+ast5)*(100+pst1))/100		5	StrSkill42		((1+(pst3/256))*(100+clc1))/100		3	StrMinionResElem	StrSkill23	ast1																	40	Sksyn	skillname70	2		18	skillname69																													0
dim vision	1	2	2	1	0	10	skillname71	skillsd71	skillld71	skillan71	StrSkill3																	31	StrSkill20		len		3	StrSkill18	StrSkill26	rng																						1																																																							0
weaken	1	1	1	1	0	12	skillname72	skillsd72	skillld72	skillan72	StrSkill3																	12	StrSkill20		len		3	StrSkill18	StrSkill26	rng																						1					3	StrSkill38	StrSkill23	ast1		2	StrSkill151	StrSkill23	ast2							40	Sksyn	skillname72	2		63	skillname71	Damplev	-par7		63	skillname87	Damplev	-par7		63	skillname91	Damplev	-par7																	0
poison dagger	0	0	0	2	0	14	skillname73	skillsd73	skillld73	skillan73	StrSkill3	5												1				1					8					14																				18	StrSkill270																			40	Sksyn	skillname73	2		63	skillname68	Poisdplev	par8		63	skillname83	Poisdplev	par8		63	Skillname373	Poisdplev	par8		63	skillname92	Poisdplev	par8												0
corpse explosion	2	4	2	2	0	16	skillname74	skillsd74	skillld74	skillan74	StrSkill3																	1					37	StrSkill18		rng		38	StrSkill4	StrSkill46	clc1	clc2																																																																							0
clay golem	3	2	2	3	0	18	skillname75	skillsd75	skillld75	skillan75	StrSkill3																	1					3	SynergyClayGolem	StrSkill23	ast1		5	StrSkill208		800*(100+pst2)/100		35	StrSkill4		((1+pst5)*(100+pst4))/100	((2+pst5)*(100+pst4))/100	5	StrSkill21		((1+ast6)*(100+pst1))/100		5	StrSkill42		((1+(pst3/256))*(100+clc1))/100																						40	Sksyn	skillname75	2		18	skillname79																													0
iron maiden	1	3	1	1	0	20	skillname76	skillsd76	skillld76	skillan76	StrSkill3																	12	StrSkill20		len		7	StrSkill55		clc1																						1					3	StrSkill18	StrSkill26	par1		2	StrSkill151	StrSkill23	ast1							40	Sksyn	skillname76	2		63	skillname66	Damplev	par7		63	skillname87	Damplev	par7		63	skillname82	Damplev	par7																	0
terror	1	1	3	1	0	22	skillname77	skillsd77	skillld77	skillan77	StrSkill3																	12	StrSkill20		len																											1					3	StrSkill18	StrSkill26	rng																																															0
bone wall	2	2	3	2	0	24	skillname78	skillsd78	skillld78	skillan78	StrSkill3																	13			clc1																											1					12	StrSkill20		par2												40	Sksyn	skillname78	2		63	skillname68	Hpplev	par8		63	skillname88	Hpplev	par8		63	skillname93	Hpplev	par8		63	Skillname500	Hpplev	par8												0
golem mastery	3	3	1	3	0	26	skillname79	skillsd79	skillld79	skillan79	StrSkill3																	2	StrSkill42	StrSkill23	lvl*par1		2	StrSkill10	StrSkill23	lvl*par3		2	StrSkill4	StrSkill23	lvl*par3		3	StrSkill21	StrSkill23	lvl*par2																																																																			0
raise skeletal mage	3	3	3	3	0	28	skillname80	skillsd80	skillld80	skillan80	StrSkill3	5													necromage4			1					36	StrSkill43a	StrSkill44a	pets												5	StrSkill21		((1+ast5)*(100+pst1))/100		5	StrSkill42		((1+(pst3/256))*(100+clc1))/100		5	StrSkill202		skill('Skeleton Mastery'.lvl)+lvl+stat('item_summskills'.accr)		3	StrMinionResElem	StrSkill23	ast1												40	Sksyn	skillname80	2		18	skillname69																													0
confuse	1	2	3	1	0	30	skillname81	skillsd81	skillld81	skillan81	StrSkill3																	31	StrSkill20		len		3	StrSkill18	StrSkill26	rng																						1																																																							0
