index	name	version	level	PCode2a	PParam2a	PMin2a	PMax2a	PCode2b	PParam2b	PMin2b	PMax2b	PCode3a	PParam3a	PMin3a	PMax3a	PCode3b	PParam3b	PMin3b	PMax3b	PCode4a	PParam4a	PMin4a	PMax4a	PCode4b	PParam4b	PMin4b	PMax4b	PCode5a	PParam5a	PMin5a	PMax5a	PCode5b	PParam5b	PMin5b	PMax5b	FCode1	FParam1	FMin1	FMax1	FCode2	FParam2	FMin2	FMax2	FCode3	FParam3	FMin3	FMax3	FCode4	FParam4	FMin4	FMax4	FCode5	FParam5	FMin5	FMax5	FCode6	FParam6	FMin6	FMax6	FCode7	FParam7	FMin7	FMax7	FCode8	FParam8	FMin8	FMax8	*eol
Tyrael's Sanctuary	Tyrael's Sanctuary	0	21	res-all-max		10	10	crush		15	15																									pal		4	4	mag%		50	50	res-all		30	30	state	tyraelset	1	1	regen		10	10	regen-mana		30	30	all-stats		10	10	swing2		25	25	0
Anduin's Honor	Anduin's Honor	0	35	hp%		15	15	mana%		15	15																									pal		3	3	block		20	20	res-all		40	40	regen		15	15	lifesteal		9	9	manasteal		9	9	all-stats		15	15	mag%		75	75	0
Malek's Charge	Malek's Charge	0	45	hp%		20	20	mana%		20	20	lifesteal		10	10	manasteal		10	10																	pal		6	6	dmg%		100	100	res-all		50	50	addxp		5	5	all-stats		25	25	red-dmg		20	20	red-mag		20	20	mag%		150	150	0
Lancelot's Courage	Lancelot's Courage	0	55	swing1		30	30	dmg-max		120	120																									pal		4	4	hit-skill	ctcFrozen Orb	5	18	res-all		40	40	skilltab	9	1	1	skilltab	10	1	1	dmg%		75	75	all-stats		20	20	mag%		100	100	0
Griffith's Cunning	Griffith's Cunning	0	60	skill	Conversion	5	5	skill	Conviction	5	5	dmg%		50	50	skilltab	11	2	2																	pal		5	5	ac		750	750	res-all		50	50	crush		30	30	move3		30	30	all-stats		30	30	mag%		100	100					0
Darien's Glory	Darien's Glory	0	70	hp%		25	25	mana%		25	25																									pal		4	4	mag%		150	150	res-all		50	50	swing3		50	50	lifesteal		14	14	manasteal		14	14	all-stats		25	25	addxp		7	7	0
Sorceress Sets																																																																				0
Arcanna's Tricks-Sor	Arcanna's Tricks-Sor	0	5	hp%		10	10	mana%		10	10																									sor		2	2	regen-mana		50	50	res-all		20	20	dmg-to-mana		30	30	hp		40	40	cast1		30	30	all-stats		10	10	addxp		7	7	0
Tara's Calling	Tara's Calling	0	21	hp%		10	10	mana%		10	10	abs-fire%		20	20	res-fire-max		10	10																	sor		4	4	skilltab	3	1	1	res-all		30	30	cast2		20	20	mana/lvl	12			gethit-skill	Nova	10	10	all-stats		10	10	mag%		75	75	0
Naj's Mastery	Naj's Mastery	0	35	ac		500	500	ac		1000	1000																									sor		5	5	mana%		50	50	res-all		40	40	addxp		10	10	red-dmg%		15	15	dmg-to-mana		50	50	all-stats		15	15	mag%		100	100	0
Divada's Trickery	Divada's Trickery	0	45	cast3		20	20	move3		20	20	kill-skill	Frost Nova	10	30	hp%		25	25																	sor		5	5	cast3		40	40	res-all		50	50	manasteal		20	20	all-stats		20	20	mag%		100	100									0
Raistlin's Salvation	Raistlin's Salvation	0	55	cast3		60	60	dmg-max		150	150	regen		20	20	regen-mana		60	60																	sor		5	5	oskill	Dodge	4	4	res-all		60	60	mana%		20	20	red-dmg		25	25	red-mag		25	25	all-stats		20	20	mag%		150	150	0
Jade Accoutrement	Jade Accoutrement	0	60	mana%		20	20	oskill	Poison Explosion	20	20	mana%		20	20	oskill	Poison Nova	20	20																	sor		5	5	extra-pois		50	50	res-all		50	50	swing3		120	120	regen-mana		50	50	all-stats		20	20	mag%		200	200					0
Arion's Augury	Arion's Augury	0	70	hp%		25	25	mana%		25	25																									sor		4	4	cast3		30	30	res-all		50	50	skilltab	4	2	2	gethit-skill	Chain Lightning	10	36	all-stats		25	25	mag%		125	125					0
Druid Sets																																																																				0
Hsarus' Defense-Dru	Hsarus' Defense-Dru	100	5	hp%		10	10	mana%		10	10																									dru		2	2	dmg-undead		100	100	res-all		28	28	lifesteal		10	10	manasteal		10	10	hp/lvl	12			all-stats		10	10	addxp		7	7	0
Blackwing's Impudence	Blackwing's Impudence	100	21	hp%		10	10	mana%		10	10	abs-cold%		20	20	nofreeze		1	1																	dru		4	4	res-cold-max		10	10	res-all		40	40	ac		200	200	red-dmg		15	15	extra-cold		35	35	all-stats		15	15	mag%		75	75	0
Danarak's Divinity	Danarak's Divinity	100	35	hp%		15	15	mana%		15	15																									dru		3	3	res-all		40	40	manasteal		15	15	regen		30	30	move3		30	30	all-stats		15	15	mag%		100	100					0
Merlin's Legacy	Merlin's Legacy	100	45	hp%		20	20	mana%		20	20	cast3		20	20	regen-mana		50	50																	dru		4	4	att%/lvl	7			res-all		50	50	mana%		30	30	skilltab	17	1	1	addxp		7	7	all-stats		15	15	mag%		100	100	0
Nature's Passage	Nature's Passage	100	55	balance3		30	30	move3		30	30	cast3		30	30	swing3		30	30																	dru		4	4	skilltab	15	1	1	res-all		50	50	manasteal		12	12	lifesteal		12	12	red-dmg		30	30	all-stats		20	20	mag%		125	125	0
Jaheira's Tenacity	Jaheira's Tenacity	100	60	hp%		20	20	mana%		20	20	cast3		25	25	swing3		25	25																	dru		4	4	res-all		50	50	lifesteal		12	12	dmg-min		45	45	addxp		7	7	all-stats		20	20	mag%		150	150					0
Nature's Rule	Nature's Rule	100	70	hp%		25	25	mana%		25	25																									dru		3	3	res-all		50	50	red-mag		25	25	skilltab	15	2	2	swing3		50	50	all-stats		25	25	mag%		150	150					0
Mercenary Sets																																																																				0
Kashya's Survival Kit-N	Kashya's Survival Kit-N	0	9	hp		50	50	allskills		1	1																									allskills		1	1	hp%		30	30	res-all-max		5	5	red-dmg		10	10	thorns		200	200	all-stats		15	15									0
Greiz's Desert Pride-N	Greiz's Desert Pride-N	0	18	hp		50	50	allskills		1	1																									allskills		1	1	hp%		20	20	res-all-max		5	5	red-dmg		10	10	thorns		200	200	all-stats		15	15									0
Asheara's Iron Wolf Division-N	Asheara's Iron Wolf Division-N	0	27	hp		50	50	allskills		1	1																									allskills		1	1	hp%		25	25	res-all-max		5	5	red-dmg		10	10	oskill	Fire Mastery	1	1	oskill	Lightning Mastery	1	1	oskill	Cold Mastery	1	1					0
Qual-Kehk's Barbaric Gear-N	Qual-Kehk's Barbaric Gear-N	0	36	hp		50	50	allskills		1	1																									allskills		1	1	hp%		20	20	res-all-max		5	5	red-dmg		10	10	thorns		200	200	all-stats		15	15									0
Kashya's Survival Kit-NM	Kashya's Survival Kit-NM	0	12	hp		75	75	allskills		1	1																									allskills		2	2	hp%		30	30	res-all-max		7	7	red-dmg		15	15	thorns		400	400	all-stats		20	20									0
Greiz's Desert Pride-NM	Greiz's Desert Pride-NM	0	24	hp		75	75	allskills		1	1																									allskills		2	2	hp%		20	20	res-all-max		7	7	red-dmg		15	15	thorns		400	400	all-stats		20	20									0
Asheara's Iron Wolf Division-NM	Asheara's Iron Wolf Division-NM	0	36	hp		75	75	allskills		1	1																									allskills		2	2	hp%		25	25	res-all-max		7	7	red-dmg		15	15	oskill	Fire Mastery	2	2	oskill	Lightning Mastery	1	1	oskill	Cold Mastery	1	1					0
Qual-Kehk's Barbaric Gear-NM	Qual-Kehk's Barbaric Gear-NM	0	48	hp		75	75	allskills		1	1																									allskills		2	2	hp%		20	20	res-all-max		7	7	red-dmg		15	15	thorns		400	400	all-stats		20	20									0
Kashya's Survival Kit-H	Kashya's Survival Kit-H	0	15	hp		100	100	allskills		1	1																									allskills		3	3	hp%		30	30	res-all-max		10	10	red-dmg		20	20	thorns		600	600	all-stats		25	25									0
Greiz's Desert Pride-H	Greiz's Desert Pride-H	0	30	hp		100	100	allskills		1	1																									allskills		3	3	hp%		20	20	res-all-max		10	10	red-dmg		20	20	thorns		600	600	all-stats		25	25									0
Asheara's Iron Wolf Division-H	Asheara's Iron Wolf Division-H	0	45	hp		100	100	allskills		1	1																									allskills		3	3	hp%		25	25	res-all-max		10	10	red-dmg		20	20	oskill	Fire Mastery	3	3	oskill	Lightning Mastery	1	1	oskill	Cold Mastery	1	1					0
Qual-Kehk's Barbaric Gear-H	Qual-Kehk's Barbaric Gear-H	0	60	hp		100	100	allskills		1	1																									allskills		3	3	hp%		20	20	res-all-max		10	10	red-dmg		20	20	thorns		600	600	all-stats		25	25									0
