Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
44	396	705	949	396	705	949	500	953	1999	500	953	1999	759	2391	5391	759	2391	5391	28	37	52	28	37	52	1142	3306	6614	1142	3306	6614
45	405	720	966	405	720	966	506	962	2016	506	962	2016	786	2496	5460	786	2496	5460	28	37	52	28	37	52	1212	3538	7077	1212	3538	7077
46	414	733	984	414	733	984	518	980	2057	518	980	2057	813	2601	5526	813	2601	5526	29	39	54	29	39	54	1282	3788	7577	1282	3788	7577
47	423	746	1002	423	746	1002	530	1000	2097	530	1000	2097	843	2700	5595	843	2700	5595	29	39	54	29	39	54	1352	4051	8103	1352	4051	8103
48	432	759	1020	432	759	1020	542	1019	2138	542	1019	2138	870	2805	5661	870	2805	5661	30	40	56	30	40	56	1422	4337	8675	1422	4337	8675
49	441	773	1038	441	773	1038	547	1027	2155	547	1027	2155	897	2904	5730	897	2904	5730	31	41	57	31	41	57	1493	4639	9279	1493	4639	9279
50	450	787	1056	450	787	1056	558	1046	2194	558	1046	2194	930	3009	5796	930	3009	5796	31	41	57	31	41	57	1563	4963	9927	1563	4963	9927
51	459	801	1074	459	801	1074	571	1064	2235	571	1064	2235	963	3111	5865	963	3111	5865	32	43	59	32	43	59	1633	5310	10620	1633	5310	10620
52	468	814	1092	468	814	1092	582	1084	2274	582	1084	2274	993	3213	5931	993	3213	5931	32	43	59	32	43	59	1703	5629	11259	1703	5629	11259
53	477	827	1110	477	827	1110	587	1090	2289	587	1090	2289	1026	3315	6000	1026	3315	6000	33	44	61	33	44	61	1773	5967	11934	1773	5967	11934
54	486	841	1128	486	841	1128	598	1109	2329	598	1109	2329	1056	3417	6090	1056	3417	6090	34	45	63	34	45	63	1844	6326	12653	1844	6326	12653
55	495	855	1146	495	855	1146	610	1128	2368	610	1128	2368	1089	3519	6225	1089	3519	6225	34	45	63	34	45	63	1914	6706	13413	1914	6706	13413
56	504	868	1164	504	868	1164	622	1146	2408	622	1146	2408	1122	3624	6405	1122	3624	6405	35	47	65	35	47	65	1984	7107	14216	1984	7107	14216
57	513	882	1181	513	882	1181	626	1152	2419	626	1152	2419	1152	3723	6666	1152	3723	6666	35	47	65	35	47	65	2054	7533	15066	2054	7533	15066
58	522	895	1200	522	895	1200	637	1170	2458	637	1170	2458	1185	3828	6924	1185	3828	6924	36	48	67	36	48	67	2124	7985	15971	2124	7985	15971
59	531	908	1218	531	908	1218	648	1189	2498	648	1189	2498	1218	3927	7182	1218	3927	7182	37	49	68	37	49	68	2195	8464	16929	2195	8464	16929
60	540	923	1235	540	923	1235	659	1208	2537	659	1208	2537	1254	4032	7440	1254	4032	7440	37	49	68	37	49	68	2265	8973	17946	2265	8973	17946
61	549	936	1254	549	936	1254	664	1212	2546	664	1212	2546	1290	4137	7701	1290	4137	7701	38	51	70	38	51	70	2335	9510	19020	2335	9510	19020
62	558	950	1271	558	950	1271	675	1230	2585	675	1230	2585	1326	4236	7959	1326	4236	7959	38	51	70	38	51	70	2405	10081	20163	2405	10081	20163
63	567	963	1289	567	963	1289	686	1248	2624	686	1248	2624	1362	4341	8217	1362	4341	8217	39	52	72	39	52	72	2475	10686	21374	2475	10686	21374
64	576	976	1308	576	976	1308	697	1267	2663	697	1267	2663	1398	4440	8475	1398	4440	8475	39	52	72	39	52	72	2546	11328	22656	2546	11328	22656
65	585	991	1325	585	991	1325	691	1255	2637	691	1255	2637	1431	4545	8736	1431	4545	8736	40	53	74	40	53	74	2616	12007	24015	2616	12007	24015
66	594	1004	1343	594	1004	1343	703	1273	2676	703	1273	2676	1467	4647	8994	1467	4647	8994	41	55	76	41	55	76	2686	12687	25374	2686	12687	25374
67	603	1017	1361	603	1017	1361	713	1291	2713	713	1291	2713	1503	4749	9252	1503	4749	9252	41	55	76	41	55	76	2756	13366	26733	2756	13366	26733
68	612	1031	1379	612	1031	1379	724	1309	2751	724	1309	2751	1539	4851	9510	1539	4851	9510	42	56	78	42	56	78	2826	14046	28092	2826	14046	28092
69	621	1044	1398	621	1044	1398	726	1311	2756	726	1311	2756	1575	4953	9771	1575	4953	9771	43	57	80	43	57	80	2897	14725	29451	2897	14725	29451
70	630	1059	1415	630	1059	1415	737	1329	2793	737	1329	2793	1617	5055	10029	1617	5055	10029	43	57	80	43	57	80	2967	15405	30810	2967	15405	30810
71	639	1072	1433	639	1072	1433	748	1346	2830	748	1346	2830	1656	5160	10287	1656	5160	10287	44	59	81	44	59	81	3037	16084	32169	3037	16084	32169
72	648	1085	1451	648	1085	1451	759	1364	2867	759	1364	2867	1695	5259	10545	1695	5259	10545	44	59	81	44	59	81	3107	16764	33528	3107	16764	33528
73	657	1099	1469	657	1099	1469	760	1365	2870	760	1365	2870	1737	5364	10806	1737	5364	10806	45	60	83	45	60	83	3177	17443	34887	3177	17443	34887
74	666	1112	1487	666	1112	1487	771	1382	2907	771	1382	2907	1776	5463	11064	1776	5463	11064	46	61	85	46	61	85	3248	18123	36246	3248	18123	36246
75	675	1127	1505	675	1127	1505	781	1400	2943	781	1400	2943	1815	5568	11322	1815	5568	11322	46	61	85	46	61	85	3318	18802	37605	3318	18802	37605
76	684	1140	1523	684	1140	1523	793	1417	2980	793	1417	2980	1854	5673	11580	1854	5673	11580	47	63	87	47	63	87	3388	19482	38964	3388	19482	38964
77	693	1153	1541	693	1153	1541	793	1417	2980	793	1417	2980	1896	5772	11841	1896	5772	11841	47	63	87	47	63	87	3458	20161	40323	3458	20161	40323
78	702	1166	1559	702	1166	1559	804	1434	3017	804	1434	3017	1935	5877	12099	1935	5877	12099	48	64	89	48	64	89	3528	20841	41682	3528	20841	41682
79	711	1180	1577	711	1180	1577	814	1452	3053	814	1452	3053	1974	5976	12357	1974	5976	12357	49	65	91	49	65	91	3599	21520	43041	3599	21520	43041
80	720	1194	1595	720	1194	1595	825	1469	3089	825	1469	3089	2019	6081	12615	2019	6081	12615	49	65	91	49	65	91	3669	22200	44400	3669	22200	44400
81	729	1208	1613	729	1208	1613	825	1468	3087	825	1468	3087	2064	6183	12876	2064	6183	12876	50	67	93	50	67	93	4155	22879	45759	4155	22879	45759
82	738	1221	1630	738	1221	1630	836	1485	3123	836	1485	3123	2106	6285	13134	2106	6285	13134	50	67	93	50	67	93	4233	23559	47118	4233	23559	47118
83	747	1234	1649	747	1234	1649	846	1502	3159	846	1502	3159	2151	6387	13392	2151	6387	13392	51	68	94	51	68	94	4311	24238	48477	4311	24238	48477
84	756	1248	1667	756	1248	1667	856	1519	3195	856	1519	3195	2196	6489	13650	2196	6489	13650	51	68	94	51	68	94	4389	24918	49836	4389	24918	49836
85	765	1262	1684	765	1262	1684	855	1517	3190	855	1517	3190	2238	6591	13911	2238	6591	13911	52	69	96	52	69	96	4467	25597	51195	4467	25597	51195
86	774	1275	1703	774	1275	1703	866	1533	3226	866	1533	3226	2283	6696	14169	2283	6696	14169	53	70	98	53	70	98	4545	26277	52554	4545	26277	52554
87	783	1289	1720	783	1289	1720	876	1550	3261	876	1550	3261	2325	6795	14427	2325	6795	14427	53	70	98	53	70	98	4623	26956	53913	4623	26956	53913
88	792	1302	1738	792	1302	1738	887	1567	3297	887	1567	3297	2370	6900	14685	2370	6900	14685	54	72	100	54	72	100	4701	27636	55272	4701	27636	55272
89	801	1315	1757	801	1315	1757	885	1564	3290	885	1564	3290	2415	6999	14946	2415	6999	14946	55	73	102	55	73	102	4779	28315	56631	4779	28315	56631
90	810	1330	1774	810	1330	1774	895	1581	3325	895	1581	3325	2463	7104	15204	2463	7104	15204	55	73	102	55	73	102	4857	28995	57990	4857	28995	57990
91	819	1343	1792	819	1343	1792	906	1597	3360	906	1597	3360	2511	7209	15462	2511	7209	15462	56	74	104	56	74	104	4935	29674	59349	4935	29674	59349
92	828	1357	1810	828	1357	1810	904	1593	3351	904	1593	3351	2559	7308	15720	2559	7308	15720	56	74	104	56	74	104	5013	30354	60708	5013	30354	60708
93	837	1370	1828	837	1370	1828	914	1609	3386	914	1609	3386	2604	7413	15981	2604	7413	15981	57	76	105	57	76	105	5091	31033	62067	5091	31033	62067
94	846	1383	1847	846	1383	1847	924	1625	3421	924	1625	3421	2652	7512	16239	2652	7512	16239	58	77	107	58	77	107	5169	31713	63426	5169	31713	63426
95	855	1398	1864	855	1398	1864	934	1642	3455	934	1642	3455	2700	7617	16497	2700	7617	16497	58	77	107	58	77	107	5247	32392	64785	5247	32392	64785
96	864	1411	1882	864	1411	1882	932	1636	3444	932	1636	3444	2748	7719	16755	2748	7719	16755	59	78	109	59	78	109	5325	33072	66144	5325	33072	66144
97	873	1424	1900	873	1424	1900	942	1653	3478	942	1653	3478	2796	7821	17016	2796	7821	17016	59	78	109	59	78	109	5403	33751	67503	5403	33751	67503
98	882	1438	1918	882	1438	1918	952	1669	3512	952	1669	3512	2844	7923	17274	2844	7923	17274	60	80	111	60	80	111	5481	34431	68862	5481	34431	68862
99	891	1451	1936	891	1451	1936	961	1685	3547	961	1685	3547	2892	8025	17532	2892	8025	17532	60	80	111	60	80	111	5559	35110	70221	5559	35110	70221
100	900	1466	1954	900	1466	1954	971	1702	3580	971	1702	3580	2946	8127	17790	2946	8127	17790	61	81	113	61	81	113	5637	35790	71580	5637	35790	71580
101	909	1479	1972	909	1479	1972	982	1717	3615	982	1717	3615	2997	8232	18051	2997	8232	18051	62	82	115	62	82	115	5715	36469	72939	5715	36469	72939
102	918	1492	1990	918	1492	1990	991	1734	3649	991	1734	3649	3048	8331	18309	3048	8331	18309	62	82	115	62	82	115	5793	37149	74298	5793	37149	74298
103	927	1506	2008	927	1506	2008	1001	1750	3683	1001	1750	3683	3099	8436	18567	3099	8436	18567	63	84	117	63	84	117	5871	37828	75657	5871	37828	75657
104	936	1519	2026	936	1519	2026	1011	1766	3718	1011	1766	3718	3153	8535	18825	3153	8535	18825	63	84	117	63	84	117	5949	38508	77016	5949	38508	77016
105	945	1533	2044	945	1533	2044	1021	1783	3751	1021	1783	3751	3204	8640	19086	3204	8640	19086	64	85	118	64	85	118	6027	39187	78375	6027	39187	78375
106	954	1547	2062	954	1547	2062	1031	1798	3786	1031	1798	3786	3255	8745	19344	3255	8745	19344	65	86	120	65	86	120	6105	39867	79734	6105	39867	79734
107	963	1560	2078	963	1560	2078	1041	1815	3820	1041	1815	3820	3309	8844	19602	3309	8844	19602	65	86	120	65	86	120	6183	40546	81093	6183	40546	81093
108	972	1573	2098	972	1573	2098	1051	1831	3854	1051	1831	3854	3360	8949	19860	3360	8949	19860	66	88	122	66	88	122	6261	41226	82452	6261	41226	82452
109	981	1587	2116	981	1587	2116	1060	1847	3889	1060	1847	3889	3411	9048	20121	3411	9048	20121	67	89	124	67	89	124	6339	41905	83811	6339	41905	83811
110	2800	2800	2800	2800	2800	2800	5879	5879	5879	5879	5879	5879	10000	10000	10000	10000	10000	10000	130	130	130	130	130	130	160000	160000	160000	160000	160000	160000
