Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add
of Pacing	100	1	1	2	37	1				20	19	move1		10	10											boot	circ									0	0	0
of Haste	100	1	1	22		16				20	19	move2		20	20											boot	circ									0	0	0
of Speed	100	1	1	37		29				20	19	move3		30	30											boot	circ									0	0	0
of Acceleration	100	1		51		43				20	19	move3		40	40											boot										0	0	0
of Traveling	100	1		65		57				20	19	move3		30	30	stamdrain		80	90							boot										0	0	0
of Regeneration	100	1	1	25		7				20	20	regen		5	10											armo	scep	staf	wand	amul	ring					0	0	0
of Regrowth	100	1	1	36		12				20	20	regen		10	15											armo	scep	staf	wand	amul	ring					0	0	0
of Revivification	100	1	1	65		30				20	20	regen		15	20											armo	scep	staf	wand	amul						0	0	0
of Vileness	100	1	1	9		6				18	21	noheal		1	1											mele										0	0	0
of Greed	100	1	1	15	50	12				20	22	gold%		10	20											amul	circ	boot	glov	ring						0	0	0
of Greed	100	1	1	27		24				20	22	gold%		21	40											amul	circ	boot	glov	ring						0	0	0
of Greed	100	1	1	35		32				20	22	gold%		41	60											amul	circ	boot								0	0	0
of Fortune	100	1	1	15	50	12				20	23	mag%		7	15											amul	circ	boot	glov	ring						0	0	0
of Fortune	100	1	1	27		24				20	23	mag%		16	30											amul	circ	boot	glov	ring						0	0	0
of Fortune	100	1	1	35		32				20	23	mag%		31	45											amul	circ	boot								0	0	0
of Riches	100	1	1	50		48				20	23	mag%		16	30	gold%		21	40							amul	circ	boot								0	0	0
of Ease	100	1	1	15		11				18	24	ease		-20	-20											weap	helm	tors	shld							0	0	0
of Simplicity	100	1	1	25		18				18	24	ease		-30	-30											weap	helm	tors	shld							0	0	0
of Alleviation	100	1	1	35		25				18	24	ease		-40	-40											weap	helm	tors	shld							0	0	0
of the Bear	100	1	1	8	50	6				18	25	knock		1	1											mele							staf	wand		0	0	0
of Light	100	1	1	6	15	4				14	26	light		1	1	att/lvl	2									amul	ring	armo								0	0	0
of Radiance	100	1	1	15	17	11				14	26	light		3	3	att/lvl	6									amul	ring	helm	glov							0	0	0
of the Sun	100	1	1	17	25	12				14	26	light		5	5	att/lvl	10									amul	ring	helm								0	0	0
of the Jackal	100	1	1	1	7	1				24	27	hp		1	5											amul	ring	armo	staf	wand						0	0	0
of the Fox	100	1	1	7	15	5				24	27	hp		6	10											amul	ring	armo	staf	wand						0	0	0
of the Wolf	100	1	1	15	20	11				24	27	hp		11	20											amul	ring	armo	staf	wand						0	0	0
of the Tiger	100	1	1	20	25	15				24	27	hp		21	30											amul	ring	armo	staf	wand						0	0	0
of the Mammoth	100	1	1	25		18				24	27	hp		31	40											amul	ring	armo	staf	wand						0	0	0
of the Colossus	100	1	1	30		22				24	27	hp		41	60											amul	helm	tors	belt	shld						0	0	0
of the Squid	100	1	1	40		30				24	27	hp		61	80											amul	helm	tors	belt							0	0	0
of the Whale	100	1	1	50		37				24	27	hp		81	100											amul	helm	tors	belt							0	0	0
of the Leech	100	1	1	6		4				22	28	lifesteal		4	6											weap	amul	ring	circ	glov						0	0	0
of the Locust	100	1	1	20		15				22	28	lifesteal		7	9											weap	amul	ring	circ							0	0	0
of the Lamprey	100	1	1	55		43				22	28	lifesteal		10	12											mele										0	0	0
of the Bat	100	1	1	7		4				22	29	manasteal		4	6											weap	amul	ring	circ	glov						0	0	0
of the Wraith	100	1	1	21		16				22	29	manasteal		7	9											weap	amul	ring	circ							0	0	0
of the Vampire	100	1	1	56		48				22	29	manasteal		10	12											mele										0	0	0
of Strength	100	1	1	1	10	1				18	30	str		1	3											amul	ring	armo	mele							0	0	0
of Might	100	1	1	10	26	8				18	30	str		4	6											amul	ring	armo	mele							0	0	0
of the Ox	100	1	1	26	42	19				18	30	str		7	10											amul	ring	armo	mele							0	0	0
of the Giant	100	1	1	42	58	34				18	30	str		11	15											amul	ring	armo	mele							0	0	0
of the Titan	100	1	1	58		50				18	30	str		16	20											amul	helm	tors	belt	mele	ring					0	0	0
of Atlus	100	1	1	71		63				18	30	str		21	30											amul	helm	tors	belt	mele						0	0	0
of Atlus	100	1	1	71		63				18	30	str		31	40											tors										0	0	0
of Dexterity	100	1	1	1	10	1				18	31	dex		1	3											amul	miss	helm	tors	glov	ring	boot				0	0	0
of Skill	100	1	1	10	26	8				18	31	dex		4	6											amul	miss	helm	tors	glov	ring	boot				0	0	0
of Accuracy	100	1	1	26	42	19				18	31	dex		7	10											amul	miss	helm	tors	glov	ring	boot				0	0	0
of Precision	100	1	1	42	58	34				18	31	dex		11	15											amul	miss	helm	tors	glov	ring	boot				0	0	0
of Perfection	100	1	1	58		50				18	31	dex		16	20											amul	miss	helm	tors	glov	ring	boot				0	0	0
of Nirvana	100	1	1	71		63				18	31	dex		21	30											amul	miss	helm	tors	glov						0	0	0
of Nirvana	100	1	1	71		63				18	31	dex		31	40											tors										0	0	0
of Energy	100	1	1	1	10	1				12	32	enr		1	3											amul	helm	staf	tors	wand	ring					0	0	0
of the Mind	100	1	1	10	26	8				12	32	enr		4	6											amul	helm	staf	tors	wand	ring					0	0	0
of Brilliance	100	1	1	26	42	19				12	32	enr		7	10											amul	helm	staf	tors	wand	ring					0	0	0
of Sorcery	100	1	1	42	58	34				12	32	enr		11	15											amul	helm	staf	tors	wand	ring					0	0	0
of Wizardry	100	1	1	58		50				12	32	enr		16	20											amul	helm	staf	tors	wand	ring					0	0	0
of Enlightenment	100	1	1	71		63				12	32	enr		21	30											amul	circ	staf	tors	wand						0	0	0
of Enlightenment	100	1	1	71		63				12	32	enr		31	40											tors										0	0	0
of Shielding	100	1	1	30	50	20				12	33	res-all		5	10	res-all-max		1	2							helm	tors	shld	belt	staf	wand					0	0	0
of Shielding	100	1	1	50	70	35				12	33	res-all		10	15	res-all-max		2	3							helm	tors	shld	belt	staf	wand					0	0	0
of Shielding	100	1	1	70		50				12	33	res-all		15	20	res-all-max		3	4							helm	tors	shld	belt	staf	wand					0	0	0
of Shielding	100	1	1	90		65				12	33	res-all		20	25	res-all-max		4	5							helm	tors	shld		staf	wand					0	0	0
of Self-Repair	100	1	1	3		1				18	34	rep-dur	3													mele	armo						thro			0	0	0
of Fast Repair	100	1	1	20		12				18	34	rep-dur	5													mele	armo						thro			0	0	0
of Ages	100	0	1	50		42				14	34	indestruct														mele	armo									0	0	0
of the Kraken	100	1	1	37		1				14	35	hp/lvl	6													amul	circ	pelt	phlm	tors						0	0	0
of the Watcher	100	1	1	37		1				14	35	hp/lvl	8													amul	circ	pelt	phlm	tors						0	0	0
of Memory	100	1	1	37		1				14	36	mana/lvl	6													amul	circ									0	0	0
of the Elephant	100	1	1	37		1				14	37	hp/lvl	3			mana/lvl	3									amul	circ									0	0	0
of the Mumakil	100	1	1	37		1				14	37	hp/lvl	6			mana/lvl	6									amul	circ									0	0	0
of Power	100	1	1	37		1				14	38	str/lvl	4													amul	circ	pelt	phlm	tors						0	0	0
of Grace	100	1	1	37		1				14	39	dex/lvl	4													amul	circ									0	0	0
of Grace and Power	100	1	1	37		1				14	40	str/lvl	2			dex/lvl	2									amul	circ									0	0	0
of the Yeti	100	1	1	25		1				14	41	res-cold/lvl	4													amul	ring	helm	tors							0	0	0
of the Phoenix	100	1	1	25		1				14	42	res-fire/lvl	4													amul	ring	helm	tors							0	0	0
of the Efreeti	100	1	1	25		1				14	43	res-ltng/lvl	4													amul	ring	helm	tors							0	0	0
of the Cobra	100	1	1	25		1				14	44	res-pois/lvl	4													amul	ring	helm	tors							0	0	0
of the Elements	100	1	1	50		1				14	45	res-cold/lvl	2			res-fire/lvl	2			res-ltng/lvl	2					amul	ring	helm	tors							0	0	0
of the Saint	100	1	1	15	18	12				16	46	dmg-demon		125	125	dmg-undead		125	125							weap							staf	wand		0	0	0
of the Heavens	100	1	1	25	30	20				16	46	dmg-demon		150	150	dmg-undead		150	150							weap							staf	wand		0	0	0
of the Arctic	100	1	1	90		75				14	47	freeze		1	1	nofreeze		1	1							weap							staf	wand		0	0	0
of Fire Ball	100	1	1	12	36	10				2	48	hit-skill	Fire Ball	5	5											weap							staf	wand		0	0	0
of Fire Ball	100	1	1	24	48	20				2	48	hit-skill	Fire Ball	5	10											weap							staf	wand		0	0	0
of Fire Ball	100	1	1	36	60	30				2	48	hit-skill	Fire Ball	10	15											weap							staf	wand		0	0	0
of Fire Ball	100	1	1	48		40				2	48	hit-skill	Fire Ball	15	20											mele							staf	wand		0	0	0
of Fire Ball	100	1	1	60		50				2	48	hit-skill	Fire Ball	20	40											mele							staf	wand		0	0	0
of Fire Balls	100	1	1	12	36	10				2	48	hit-skill	Fireballs	5	10											weap							staf	wand		0	0	0
of Fire Balls	100	1	1	24	48	20				2	48	hit-skill	Fireballs	10	15											weap							staf	wand		0	0	0
of Fire Balls	100	1	1	36		30				2	48	hit-skill	Fireballs	15	20											weap							staf	wand		0	0	0
of Fire Bolts	100	1	1	12	36	10				2	48	hit-skill	Firebolts	5	10											weap							staf	wand		0	0	0
of Fire Bolts	100	1	1	24	48	20				2	48	hit-skill	Firebolts	10	15											mele							staf	wand		0	0	0
of Fire Bolts	100	1	1	36		30				2	48	hit-skill	Firebolts	15	20											mele							staf	wand		0	0	0
of Lightning	100	1	1	12	36	10				2	48	hit-skill	Lightning	5	5											weap							staf	wand		0	0	0
of Lightning	100	1	1	24	48	20				2	48	hit-skill	Lightning	5	10											weap							staf	wand		0	0	0
of Lightning	100	1	1	36	60	30				2	48	hit-skill	Lightning	10	15											weap							staf	wand		0	0	0
of Lightning	100	1	1	48		40				2	48	hit-skill	Lightning	15	20											mele							staf	wand		0	0	0
of Lightning	100	1	1	60		50				2	48	hit-skill	Lightning	20	40											mele							staf	wand		0	0	0
of Chain Lightning	100	1	1	12	36	10				2	48	hit-skill	Chain Lightning	5	5											weap							staf	wand		0	0	0
of Chain Lightning	100	1	1	24	48	20				2	48	hit-skill	Chain Lightning	5	10											weap							staf	wand		0	0	0
of Chain Lightning	100	1	1	36	60	30				2	48	hit-skill	Chain Lightning	10	15											weap							staf	wand		0	0	0
of Chain Lightning	100	1	1	48		40				2	48	hit-skill	Chain Lightning	15	20											mele							staf	wand		0	0	0
of Chain Lightning	100	1	1	60		50				2	48	hit-skill	Chain Lightning	20	40											mele							staf	wand		0	0	0
of Glacial Spike	100	1	1	12	36	10				2	48	hit-skill	Glacial Spike	5	5											weap							staf	wand		0	0	0
of Glacial Spike	100	1	1	24	48	20				2	48	hit-skill	Glacial Spike	5	10											weap							staf	wand		0	0	0
of Glacial Spike	100	1	1	36	60	30				2	48	hit-skill	Glacial Spike	10	15											weap							staf	wand		0	0	0
of Glacial Spike	100	1	1	48		40				2	48	hit-skill	Glacial Spike	15	20											mele							staf	wand		0	0	0
of Glacial Spike	100	1	1	60		50				2	48	hit-skill	Glacial Spike	20	40											mele							staf	wand		0	0	0
of Frozen Orb	100	1	1	12	36	10				2	48	hit-skill	ctcFrozen Orb	5	5											weap							staf	wand		0	0	0
of Frozen Orb	100	1	1	24	48	20				2	48	hit-skill	ctcFrozen Orb	5	10											weap							staf	wand		0	0	0
of Frozen Orb	100	1	1	36	60	30				2	48	hit-skill	ctcFrozen Orb	10	15											weap							staf	wand		0	0	0
of Frozen Orb	100	1	1	48		40				2	48	hit-skill	ctcFrozen Orb	15	20											mele							staf	wand		0	0	0
of Frozen Orb	100	1	1	60		50				2	48	hit-skill	ctcFrozen Orb	20	40											mele							staf	wand		0	0	0
of Icebolt	100	1	1	12	36	10				2	49	hit-skill	Ice Bolt	5	5											weap							staf	wand		0	0	0
of Icebolt	100	1	1	24	48	20				2	49	hit-skill	Ice Bolt	5	10											weap							staf	wand		0	0	0
of Icebolt	100	1	1	36	60	30				2	49	hit-skill	Ice Bolt	10	15											weap							staf	wand		0	0	0
of Icebolt	100	1	1	48		40				2	49	hit-skill	Ice Bolt	15	20											mele							staf	wand		0	0	0
of Icebolt	100	1	1	60		50				2	49	hit-skill	Ice Bolt	20	40											mele							staf	wand		0	0	0
of Immolation	100	1	1	12	36	10				2	49	hit-skill	Nova	5	5											weap							staf	wand		0	0	0
of Immolation	100	1	1	24	48	20				2	49	hit-skill	Nova	5	10											weap							staf	wand		0	0	0
of Immolation	100	1	1	36	60	30				2	49	hit-skill	Nova	10	15											weap							staf	wand		0	0	0
of Immolation	100	1	1	48		40				2	49	hit-skill	Nova	15	20											mele							staf	wand		0	0	0
of Immolation	100	1	1	60		50				2	49	hit-skill	Nova	20	40											mele							staf	wand		0	0	0
of Meteor	100	1	1	12	36	10				2	49	hit-skill	ctcMeteor	5	5											weap							staf	wand		0	0	0
of Meteor	100	1	1	24	48	20				2	49	hit-skill	ctcMeteor	5	10											weap							staf	wand		0	0	0
of Meteor	100	1	1	36	60	30				2	49	hit-skill	ctcMeteor	10	15											weap							staf	wand		0	0	0
of Meteor	100	1	1	48		40				2	49	hit-skill	ctcMeteor	15	20											mele							staf	wand		0	0	0
of Meteor	100	1	1	60		50				2	49	hit-skill	ctcMeteor	20	40											mele							staf	wand		0	0	0
of Blizzard	100	1	1	12	36	10				2	49	hit-skill	ctcBlizzard	5	5											weap							staf	wand		0	0	0
of Blizzard	100	1	1	24	48	20				2	49	hit-skill	ctcBlizzard	5	10											weap							staf	wand		0	0	0
of Blizzard	100	1	1	36	60	30				2	49	hit-skill	ctcBlizzard	10	15											weap							staf	wand		0	0	0
of Blizzard	100	1	1	48		40				2	49	hit-skill	ctcBlizzard	15	20											mele							staf	wand		0	0	0
of Blizzard	100	1	1	60		50				2	49	hit-skill	ctcBlizzard	20	40											mele							staf	wand		0	0	0
of Damage Amplification	100	1	1	12	36	10				2	60	hit-skill	Amplify Damage	5	4											weap	amul	ring	arrm	boqm			staf	wand		0	0	0
of Damage Amplification	100	1	1	24	48	20				2	60	hit-skill	Amplify Damage	6	5											weap	amul	ring	arrm	boqm			staf	wand		0	0	0
of Damage Amplification	100	1	1	36	60	30				2	60	hit-skill	Amplify Damage	7	6											weap	amul	ring	arrm	boqm			staf	wand		0	0	0
of Damage Amplification	100	1	1	48		40				2	60	hit-skill	Amplify Damage	8	7											mele	amul	ring	arrm	boqm			staf	wand		0	0	0
of Damage Amplification	100	1	1	60		50				2	60	hit-skill	Amplify Damage	9	8											mele	amul	ring	arrm	boqm			staf	wand		0	0	0
of Charged Shield	100	1	1	12	36	10				2	50	gethit-skill	Charged Bolt	6	8											armo	staf	wand								0	0	0
of Charged Shield	100	1	1	24	48	20				2	50	gethit-skill	Charged Bolt	7	15											armo	staf	wand								0	0	0
of Charged Shield	100	1	1	36	60	30				2	50	gethit-skill	Charged Bolt	9	20											armo	staf	wand								0	0	0
of Charged Shield	100	1	1	48		40				2	50	gethit-skill	Charged Bolt	10	25											armo	staf	wand								0	0	0
of Charged Shield	100	1	1	60		50				2	50	gethit-skill	Charged Bolt	12	30											armo	staf	wand								0	0	0
of Frozen Armor	100	1	1	12	36	10				2	50	gethit-skill	Frozen Armor	6	5											armo	staf	wand								0	0	0
of Frozen Armor	100	1	1	24	48	20				2	50	gethit-skill	Frozen Armor	7	10											armo	staf	wand								0	0	0
of Frozen Armor	100	1	1	36	60	30				2	50	gethit-skill	Frozen Armor	9	15											armo	staf	wand								0	0	0
of Frozen Armor	100	1	1	48		40				2	50	gethit-skill	Frozen Armor	10	20											armo	staf	wand								0	0	0
of Frozen Armor	100	1	1	60		50				2	50	gethit-skill	Frozen Armor	12	25											armo	staf	wand								0	0	0
of Static Field	100	1	1	12	36	10				2	50	gethit-skill	Static Field	6	5											armo	staf	wand								0	0	0
of Static Field	100	1	1	24	48	20				2	50	gethit-skill	Static Field	7	10											armo	staf	wand								0	0	0
of Static Field	100	1	1	36	60	30				2	50	gethit-skill	Static Field	9	15											armo	staf	wand								0	0	0
of Static Field	100	1	1	48		40				2	50	gethit-skill	Static Field	10	20											armo	staf	wand								0	0	0
of Static Field	100	1	1	60		50				2	50	gethit-skill	Static Field	12	25											armo	staf	wand								0	0	0
of Frost Shield	100	1	1	12	36	10				2	50	gethit-skill	Frost Nova	6	5											armo	staf	wand								0	0	0
of Frost Shield	100	1	1	24	48	20				2	50	gethit-skill	Frost Nova	7	10											armo	staf	wand								0	0	0
of Frost Shield	100	1	1	36	60	30				2	50	gethit-skill	Frost Nova	9	15											armo	staf	wand								0	0	0
of Frost Shield	100	1	1	48		40				2	50	gethit-skill	Frost Nova	10	20											armo	staf	wand								0	0	0
of Frost Shield	100	1	1	60		50				2	50	gethit-skill	Frost Nova	12	25											armo	staf	wand								0	0	0
of Nova	100	1	1	12	36	10				2	50	gethit-skill	Nova	6	5											armo	staf	wand								0	0	0
of Nova	100	1	1	24	48	20				2	50	gethit-skill	Nova	7	10											armo	staf	wand								0	0	0
of Nova	100	1	1	36	60	30				2	50	gethit-skill	Nova	9	15											armo	staf	wand								0	0	0
of Nova	100	1	1	48		40				2	50	gethit-skill	Nova	10	20											armo	staf	wand								0	0	0
of Nova	100	1	1	60		50				2	50	gethit-skill	Nova	12	25											armo	staf	wand								0	0	0
of Fire Armor	100	1	1	12	36	10				2	50	gethit-skill	Shiver Armor	6	5											armo	staf	wand								0	0	0
of Fire Armor	100	1	1	24	48	20				2	50	gethit-skill	Shiver Armor	7	10											armo	staf	wand								0	0	0
of Fire Armor	100	1	1	36	60	30				2	50	gethit-skill	Shiver Armor	9	15											armo	staf	wand								0	0	0
of Fire Armor	100	1	1	48		40				2	50	gethit-skill	Shiver Armor	10	20											armo	staf	wand								0	0	0
of Fire Armor	100	1	1	60		50				2	50	gethit-skill	Shiver Armor	12	25											armo	staf	wand								0	0	0
of Shiver Armor	100	1	1	12	36	10				2	50	gethit-skill	Chilling Armor	6	5											armo	staf	wand								0	0	0
of Shiver Armor	100	1	1	24	48	20				2	50	gethit-skill	Chilling Armor	7	10											armo	staf	wand								0	0	0
of Shiver Armor	100	1	1	36	60	30				2	50	gethit-skill	Chilling Armor	9	15											armo	staf	wand								0	0	0
of Shiver Armor	100	1	1	48		40				2	50	gethit-skill	Chilling Armor	10	20											armo	staf	wand								0	0	0
of Shiver Armor	100	1	1	60		50				2	50	gethit-skill	Chilling Armor	12	25											armo	staf	wand								0	0	0
of Hydra Shield	100	1	1	12	36	10				2	50	gethit-skill	ctcHydra	6	5											armo	staf	wand								0	0	0
of Hydra Shield	100	1	1	24	48	20				2	50	gethit-skill	ctcHydra	7	10											armo	staf	wand								0	0	0
of Hydra Shield	100	1	1	36	60	30				2	50	gethit-skill	ctcHydra	9	15											armo	staf	wand								0	0	0
of Hydra Shield	100	1	1	48		40				2	50	gethit-skill	ctcHydra	10	20											armo	staf	wand								0	0	0
of Hydra Shield	100	1	1	60		50				2	50	gethit-skill	ctcHydra	12	25											armo	staf	wand								0	0	0
of the Tank	100	1	1	60		48				16	52	red-dmg%		8	15	thorns/lvl	16	0	0	ac%		50	200			tors	shld									0	0	0
of Mastery	100	1	1	50		30				16	53	dmg-ac		-10	-10	swing2		10	10	dmg%		75	75			weap							staf	wand		0	0	0
of Grand Mastery	100	1	1	60		45				16	53	dmg-ac		-15	-15	swing2		20	20	dmg%		100	100			weap							staf	wand		0	0	0
of the Rainbow	100	1	1	30		25				12	54	cold-max		50	75	fire-max		50	75	ltng-max		50	75			weap	amul	ring	glov				staf	wand		0	0	0
of the Rainbow	100	1	1	40		30				12	54	cold-max		76	125	fire-max		76	125	ltng-max		76	125			weap							staf	wand		0	0	0
of the Rainbow	100	1	1	50		40				12	54	cold-max		126	175	fire-max		126	175	ltng-max		126	175			mele							staf	wand		0	0	0
of the Rainbow	100	1		60		50				12	54	cold-max		176	250	fire-max		176	250	ltng-max		176	250			mele							staf	wand		0	0	0
of Replenishment	100	1	1	75		40				14	55	regen		25	25	regen-stam		25	25							staf	wand									0	0	0
of Replenishment	100	1	1	85		40				14	55	regen		25	25	regen-stam		25	25							amul	ring	belt								0	0	0
of Targeting	100	1	1	35		28				18	56	deadly		15	15											weap	amul	ring					staf	wand		0	0	0
of Mauling	100	1	1	35		28				18	56	crush		10	10											weap	amul	ring					staf	wand		0	0	0
