Id	hcIdx	BaseId	NextInClass	TransLvl	NameStr	MonStatsEx	MonProp	MonType	AI	DescStr	Code	enabled	rangedtype	placespawn	spawn	spawnx	spawny	spawnmode	minion1	minion2	SetBoss	BossXfer	PartyMin	PartyMax	MinGrp	MaxGrp	sparsePopulate	Velocity	Run	Rarity	Level	Level(N)	Level(H)	MonSound	UMonSound	threat	aidel	aidel(N)	aidel(H)	aidist	aidist(N)	aidist(H)	aip1	aip1(N)	aip1(H)	aip2	aip2(N)	aip2(H)	aip3	aip3(N)	aip3(H)	aip4	aip4(N)	aip4(H)	aip5	aip5(N)	aip5(H)	aip6	aip6(N)	aip6(H)	aip7	aip7(N)	aip7(H)	aip8	aip8(N)	aip8(H)	MissA1	MissA2	MissS1	MissS2	MissS3	MissS4	MissC	MissSQ	Align	isSpawn	isMelee	npc	interact	inventory	inTown	lUndead	hUndead	demon	flying	opendoors	boss	primeevil	killable	switchai	noAura	nomultishot	neverCount	petIgnore	deathDmg	genericSpawn	zoo	SendSkills	Skill1	Sk1mode	Sk1lvl	Skill2	Sk2mode	Sk2lvl	Skill3	Sk3mode	Sk3lvl	Skill4	Sk4mode	Sk4lvl	Skill5	Sk5mode	Sk5lvl	Skill6	Sk6mode	Sk6lvl	Skill7	Sk7mode	Sk7lvl	Skill8	Sk8mode	Sk8lvl	Drain	Drain(N)	Drain(H)	coldeffect	coldeffect(N)	coldeffect(H)	ResDm	ResMa	ResFi	ResLi	ResCo	ResPo	ResDm(N)	ResMa(N)	ResFi(N)	ResLi(N)	ResCo(N)	ResPo(N)	ResDm(H)	ResMa(H)	ResFi(H)	ResLi(H)	ResCo(H)	ResPo(H)	DamageRegen	SkillDamage	noRatio	NoShldBlock	ToBlock	ToBlock(N)	ToBlock(H)	Crit	minHP	maxHP	AC	Exp	A1MinD	A1MaxD	A1TH	A2MinD	A2MaxD	A2TH	S1MinD	S1MaxD	S1TH	MinHP(N)	MaxHP(N)	AC(N)	Exp(N)	A1MinD(N)	A1MaxD(N)	A1TH(N)	A2MinD(N)	A2MaxD(N)	A2TH(N)	S1MinD(N)	S1MaxD(N)	S1TH(N)	MinHP(H)	MaxHP(H)	AC(H)	Exp(H)	A1MinD(H)	A1MaxD(H)	A1TH(H)	A2MinD(H)	A2MaxD(H)	A2TH(H)	S1MinD(H)	S1MaxD(H)	S1TH(H)	El1Mode	El1Type	El1Pct	El1MinD	El1MaxD	El1Dur	El1Pct(N)	El1MinD(N)	El1MaxD(N)	El1Dur(N)	El1Pct(H)	El1MinD(H)	El1MaxD(H)	El1Dur(H)	El2Mode	El2Type	El2Pct	El2MinD	El2MaxD	El2Dur	El2Pct(N)	El2MinD(N)	El2MaxD(N)	El2Dur(N)	El2Pct(H)	El2MinD(H)	El2MaxD(H)	El2Dur(H)	El3Mode	El3Type	El3Pct	El3MinD	El3MaxD	El3Dur	El3Pct(N)	El3MinD(N)	El3MaxD(N)	El3Dur(N)	El3Pct(H)	El3MinD(H)	El3MaxD(H)	El3Dur(H)	TreasureClass1	TreasureClass2	TreasureClass3	TreasureClass4	TreasureClass1(N)	TreasureClass2(N)	TreasureClass3(N)	TreasureClass4(N)	TreasureClass1(H)	TreasureClass2(H)	TreasureClass3(H)	TreasureClass4(H)	TCQuestId	TCQuestCP	SplEndDeath	SplGetModeChart	SplEndGeneric	SplClientEnd	*eol
bighead1	10	bighead1	bighead2	0	Afflicted	bighead1	epierce	bighead	Bighead		BH	1	1												2	3		6	6	1	13	45	76	bighead	bighead	10	15	14	13				88	75	75	40	30	30	0	20	30	60	70	80														bighead1								1								1		1			1	1																																	100	45	16	-50	-40	-30				70						85		75	35	20	20	110	20	20	2				11	11	11	10	100	192	63	162	76	113	77							146	270	135	280	75	150	165							196	360	180	500	100	200	220							A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																A1C Hrt	Act 1 Champ C	Act 1 Unique C		A1C Hrt (N)	Act 1 (N) Champ C	Act 1 (N) Unique C		A1C Hrt (H)	Act 1 (H) Champ C	Act 1 (H) Unique C								0
bighead2	11	bighead1	bighead3	1	Tainted	bighead2	epierce	bighead	Bighead		BH	1	1												2	4		6	6	1	18	50	81	bighead	bighead	10	15	14	13				86	100	100	40	40	40	0	30	40	60	70	80														bighead2								1								1		1			1	1																																	100	45	16	-50	-40	-30				60						80		75	35	20	20	115	20	20	2				10	10	10	10	102	196	63	162	63	101	74							146	270	135	280	75	150	165							196	360	180	500	100	200	220							A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																A2B Hrt	Act 2 Champ B	Act 2 Unique B		A2B Hrt (N)	Act 2 (N) Champ B	Act 2 (N) Unique B		A2B Hrt (H)	Act 2 (H) Champ B	Act 2 (H) Unique B								0
bighead3	12	bighead1	bighead4	2	Misshapen	bighead3	epierce	bighead	Bighead		BH	1	1												1	2		5	5	1	6	39	72	bighead	bighead	10	15	14	13				80	50	50	40	50	50	0	40	50	60	70	80														bighead3								1								1		1			1	1																																	100	45	16	-50	-40	-30				40						70			35	20	20	120	20	20	2				5	5	5	10	94	186	64	162	76	101	73							146	270	135	280	75	150	165							196	360	180	500	100	200	220							A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																A1B Hrt	Act 1 Champ B	Act 1 Unique B		A1B Hrt (N)	Act 1 (N) Champ B	Act 1 (N) Unique B		A1B Hrt (H)	Act 1 (H) Champ B	Act 1 (H) Unique B								0
bighead4	13	bighead1	bighead5	3	Disfigured	bighead4	epierce	bighead	Bighead		BH	1	1												1	3		5	5	1	9	42	73	bighead	bighead	10	15	14	13				83	0	0	40	40	40	0	50	65	60	70	80														bighead4								1								1		1			1	1																																	100	45	16	-50	-40	-30				50						75			35	20	20	125	20	20	2				8	8	8	10	102	192	63	162	67	101	77							146	270	135	280	75	150	165							196	360	180	500	100	200	220							A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																A1B Hrt	Act 1 Champ B	Act 1 Unique B		A1B Hrt (N)	Act 1 (N) Champ B	Act 1 (N) Unique B		A1B Hrt (H)	Act 1 (H) Champ B	Act 1 (H) Unique B								0
bighead5	14	bighead1	bighead6	4	Damned	bighead5	epierce	bighead	Bighead		BH	1	1												3	4		7	7	2	31	62	90	bighead	bighead	10	15	14	13				90	33	33	40	30	30	0	60	80	60	70	80														bighead5								1								1		1			1	1																																	100	45	16	-50	-40	-30				80						100			35	20	20	130	20	20	2				22	22	22	10	98	190	63	176	71	106	75							146	270	135	280	75	150	165							196	360	180	500	100	200	220							A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																A4A Hrt	Act 4 Champ A	Act 4 Unique A		A4A Hrt (N)	Act 4 (N) Champ A	Act 4 (N) Unique A		A4A Hrt (H)	Act 4 (H) Champ A	Act 4 (H) Unique A								0
foulcrow1	15	foulcrow1	foulcrow2	5	FoulCrow	foulcrow1		foulcrow	BloodHawk		BK	1													2	4		4	4	2	5	39	71	foulcrow	foulcrow	10	15	14	13				30	45	65	90	90	90	5	10	10	50	60	70	100	100	100																			1	1								1				1	1																																	100	55	20	-50	-40	-30													20	20	40	20	20	100	2				5	5	5	10	30	70	13	74	26	51	89							46	102	180	100	105	165	172							60	136	240	160	140	220	230							A1	pois					15	10	33	100	25	10	33	100																													A1A Tal	Act 1 Champ A	Act 1 Unique A		A1A Tal (N)	Act 1 (N) Champ A	Act 1 (N) Unique A		A1A Tal (H)	Act 1 (H) Champ A	Act 1 (H) Unique A								0
foulcrow2	16	foulcrow1	foulcrow3	1	BloodHawk	foulcrow2		foulcrow	BloodHawk		BK	1													3	4		4	4	2	7	40	72	foulcrow	foulcrow	10	15	14	13				30	50	65	90	90	90	5	10	10	50	60	75	100	100	100																			1	1								1				1	1																																	100	55	20	-50	-40	-30													20	20	40	20	20	105	2				7	7	7	10	32	62	14	74	41	61	93							46	102	180	100	105	165	172							60	136	240	160	140	220	230							A1	pois					15	10	33	100	25	10	33	100																													A1B Tal	Act 1 Champ B	Act 1 Unique B		A1B Tal (N)	Act 1 (N) Champ B	Act 1 (N) Unique B		A1B Tal (H)	Act 1 (H) Champ B	Act 1 (H) Unique B								0
foulcrow3	17	foulcrow1	foulcrow4	2	BlackRaptor	foulcrow3		foulcrow	BloodHawk		BK	1													3	5		5	5	2	17	47	79	foulcrow	foulcrow	10	15	14	13				30	55	65	90	90	90	5	10	10	50	60	75	100	100	100																			1	1								1				1	1																																	100	55	20	-50	-40	-30						60						80	20	20	40	20	20	110	2				17	17	17	10	32	68	13	74	37	64	94							46	102	180	100	105	165	172							60	136	240	160	140	220	230							A1	pois					15	10	33	100	25	10	33	100																													A2B Tal	Act 2 Champ B	Act 2 Unique B		A2B Tal (N)	Act 2 (N) Champ B	Act 2 (N) Unique B		A2B Tal (H)	Act 2 (H) Champ B	Act 2 (H) Unique B								0
foulcrow4	18	foulcrow1	foulcrow5	3	CloudStalker	foulcrow4		foulcrow	BloodHawk		BK	1													4	5		6	6	2	23	51	82	foulcrow	foulcrow	10	15	14	13				30	60	65	90	90	90	5	10	10	50	60	75	100	100	100																			1	1								1				1	1																																	100	55	20	-50	-40	-30	30		20	60			40		50	80			20	20	60	110	20	20	2				22	22	22	10	34	66	13	72	36	72	94							46	102	180	100	105	165	172							60	136	240	160	140	220	230							A1	pois					15	10	33	100	25	10	33	100																													A3A Tal	Act 3 Champ A	Act 3 Unique A		A3A Tal (N)	Act 3 (N) Champ A	Act 3 (N) Unique A		A3A Tal (H)	Act 3 (H) Champ A	Act 3 (H) Unique A								0
fallen1	19	fallen1	fallen2	0	Fallen	fallen1		fallen	Goatman		FA	1							fallen1		1	1	2	3	2	3		5	5	2	2	38	70	fallen	fallen	10	15	14	13				30	40	50	10	15	20	50	60	70	20	25	30																						1	1							1		1			1	1							1																										100	45	16	-50	-40	-30													25	20	100	20	46	20	2				9	9	9	10	32	92	84	122	51	101	101	51	101	101				56	124	105	160	67	135	135	75	150	127				76	166	140	260	90	180	180	100	200	170				A1	fire					10	20	30		20	20	30																														A1A Hrt	Act 1 Champ A	Act 1 Unique A		A1A Hrt (N)	Act 1 (N) Champ A	Act 1 (N) Unique A		A1A Hrt (H)	Act 1 (H) Champ A	Act 1 (H) Unique A								0
fallen2	20	fallen1	fallen3	1	Carver	fallen2		fallen	Goatman		FA	1							fallen2		1	1	2	4	2	4		5	5	2	6	40	71	fallen	fallen	10	15	14	13				45	50	55	15	18	24	60	70	80	25	30	35																						1	1							1		1			1	1							1																										100	45	16	-50	-40	-30													25	20	110	20	46	20	2				16	16	16	10	36	82	84	122	51	101	91	51	101	91				56	124	105	160	67	135	135	75	150	127				76	166	140	260	90	180	180	100	200	170				A1	cold					10	15	20	150	20	15	20	200																													A1B Hrt	Act 1 Champ B	Act 1 Unique B		A1B Hrt (N)	Act 1 (N) Champ B	Act 1 (N) Unique B		A1B Hrt (H)	Act 1 (H) Champ B	Act 1 (H) Unique B								0
fallen3	21	fallen1	fallen4	2	Devilkin	fallen3		fallen	Goatman		FA	1							fallen3		1	1	3	4	3	4		6	6	2	8	41	88	fallen	fallen	10	15	14	13				55	60	60	20	22	30	70	80	90	30	35	40																						1	1							1		1			1	1							1																										100	45	16	-50	-40	-30													25	20	120	20	46	20	2				25	25	25	10	28	80	84	118	41	101	94	41	101	94				56	124	105	160	67	135	135	75	150	127				76	166	140	260	90	180	180	100	200	170				A1	ltng					10	1	50		20	1	80																														A1B Hrt	Act 1 Champ B	Act 1 Unique B		A1B Hrt (N)	Act 1 (N) Champ B	Act 1 (N) Unique B		A1B Hrt (H)	Act 1 (H) Champ B	Act 1 (H) Unique B								0
fallen4	22	fallen1	fallen5	3	DarkOne	fallen4		fallen	Goatman		FA	1							fallen4		1	1	3	5	3	5		6	6	2	11	43	74	fallen	fallen	10	15	14	13				65	70	70	25	26	30	80	90	95	35	40	45																						1	1							1		1			1	1							1																										100	45	16	-50	-40	-30													25	20	125	20	46	20	2				36	36	36	10	36	84	84	120	43	101	91	43	101	91				56	124	105	160	67	135	135	75	150	127				76	166	140	260	90	180	180	100	200	170				A1	pois					10	10	15	50	20	10	15	75																													A2C Hrt	Act 2 Champ C	Act 2 Unique C		A2C Hrt (N)	Act 2 (N) Champ C	Act 2 (N) Unique C		A2C Hrt (H)	Act 2 (H) Champ C	Act 2 (H) Unique C								0
fallen5	23	fallen1	fallen6	4	WarpedFallen	fallen5		fallen	Goatman		FA	1							fallen5		1	1	1	1	1	1		8	8	2	41	57	86	fallen	fallen	10	15	14	13				75	80	80	30	30	30	90	95	99	40	45	50																						1	1							1		1			1	1							1																										100	45	16	-50	-40	-30	50	50	50	50	50	50	66	66	66	66	66	66	35	95	100	100	80	80	2				49	49	49	10	32	84	84	186	45	93	93	45	97	93				56	124	105	160	67	135	135	75	150	127				76	166	140	260	90	180	180	100	200	170				A1	cold					10	20	25	175	10	20	25	225																													A4A Hrt	Act 4 Champ A	Act 4 Unique A		A4A Hrt (N)	Act 4 (N) Champ A	Act 4 (N) Unique A		A4A Hrt (H)	Act 4 (H) Champ A	Act 4 (H) Unique A								0
brute2	24	brute2	brute3	0	Brute	brute2		brute	Brute		YE	1													1	2		4	4	1	6	40	72	brute	brute	10	15	14	13							0	0	0	80	80	85	85	85	75																						1	1									1			1	1							1																										100	55	20	-50	-40	-30													55	20	20	20	120	20	2				6	6	6	10	210	336	84	242	76	101	91	126	151	91				326	474	127	266	105	180	142	165	210	150				436	630	170	480	140	240	190	220	280	200																																														A1B Scz	Act 1 Champ B	Act 1 Unique B		A1B Scz (N)	Act 1 (N) Champ B	Act 1 (N) Unique B		A1B Scz (H)	Act 1 (H) Champ B	Act 1 (H) Unique B								0
brute3	25	brute2	brute4	1	Yeti	brute3		brute	Brute		YE	1													2	2		4	4	1	10	42	73	brute	brute	10	15	14	13							0	0	0	85	85	90	75	75	65																						1	1									1			1	1							1																										100	55	20	-50	-40	-30					20						60		55	20	20	20	110	20	2				10	10	10	10	220	354	84	242	58	101	95	115	129	95				326	474	127	266	105	180	142	165	210	150				436	630	170	480	140	240	190	220	280	200																																														A1C Scz	Act 1 Champ C	Act 1 Unique C		A1C Scz (N)	Act 1 (N) Champ C	Act 1 (N) Unique C		A1C Scz (H)	Act 1 (H) Champ C	Act 1 (H) Unique C								0
brute4	26	brute2	brute5	2	Crusher	brute4		brute	Brute		YE	1													2	3		5	5	2	18	48	80	brute	brute	10	15	14	13							0	0	0	90	90	95	60	60	50																						1	1									1			1	1							1																										100	55	20	-50	-40	-30		60											55	20	20	70	115	20	2				19	19	19	10	216	348	84	240	62	101	93	108	139	93				326	474	127	266	105	180	142	165	210	150				436	630	170	480	140	240	190	220	280	200																																														A2B Scz	Act 2 Champ B	Act 2 Unique B		A2B Scz (N)	Act 2 (N) Champ B	Act 2 (N) Unique B		A2B Scz (H)	Act 2 (H) Champ B	Act 2 (H) Unique B								0
brute5	27	brute2	brute1	3	WailingBeast	brute5		brute	Brute		YE	1													3	4		5	5	1	22	53	85	brute	brute	10	15	14	13							0	0	0	100	100	100	45	45	35																						1	1									1			1	1							1																										100	55	20	-50	-40	-30		60	20					80	50				55	105	80	20	20	20	2				23	23	23	10	214	346	85	242	61	107	92	114	141	92				326	474	127	266	105	180	142	165	210	150				436	630	170	480	140	240	190	220	280	200				A1	fire					15	15	35		15	30	50																														A2C Scz	Act 2 Champ C	Act 2 Unique C		A2C Scz (N)	Act 2 (N) Champ C	Act 2 (N) Unique C		A2C Scz (H)	Act 2 (H) Champ C	Act 2 (H) Unique C								0
brute1	28	brute2		4	GargantuanBeast	brute1		brute	Brute		YE	1													1	1		3	3	1	3	38	71	brute	brute	10	15	14	13							0	0	0	75	75	80	100	100	90																						1	1									1			1	1							1																										100	55	20	-50	-40	-30													55	20	20	20	100	20	2				4	4	4	10	194	324	84	242	67	101	101	101	134	101				326	474	127	266	105	180	142	165	210	150				436	630	170	480	140	240	190	220	280	200																																														A1A Scz	Act 1 Champ A	Act 1 Unique A		A1A Scz (N)	Act 1 (N) Champ A	Act 1 (N) Unique A		A1A Scz (H)	Act 1 (H) Champ A	Act 1 (H) Unique A								0
sandraider1	29	sandraider1	sandraider2	0	SandRaider	sandraider1		sandraider	SandRaider		SR	1													2	3		5	5	1	14	45	77	sandraider	sandraider	10	15	14	13				40	40	40	70	70	40	75	80	85	70	75	85	18	12	9				50	50	50													1	1									1			1	1							1		Fire Hit	seq_firehit	1																						100	40	13	-50	-45	-35													35	20	100	70	20	46	2				25	25	25	10	204	318	84	234	67	101	175	110	140	180	80	100	250	304	406	165	258	97	165	262	165	210	270	80	100	250	406	540	220	520	130	220	350	220	280	360	80	100	250	S1	fire	100	100	130		100	120	150		100	140	180																														A2A Coup	Act 2 Champ A	Act 2 Unique A		A2A Coup (N)	Act 2 (N) Champ A	Act 2 (N) Unique A		A2A Coup (H)	Act 2 (H) Champ A	Act 2 (H) Unique A								0
