name	type	type2	code	alternateGfx	namestr	version	compactsave	rarity	spawnable	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam		rangeadder	speed	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	levelreq	cost	gamble cost	magic lvl	auto prefix	OpenBetaGfx	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	special	useable	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem
Claymore	swor	2hsw	clm	clm	clm	0		4	1	5	12	1	1	13	30				3	10	100		47		65		17	0	1262	21227		320	clm	clm	9cm	0cm	1hs	2hs	5	2hss	1	4					flpclm	invclm			1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	2	1	2	20					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	9cm	0cm	1	0
Giant Sword	swor	2hsw	gis	gsd	gis	0		4	1	3	16	1	1	9	28				3		100		56	34	65		22	0	1459	26820		320	clm	gis	9gs	0gs	1hs	2hs	5	2hss	1	4					flpgis	invgis	invgisu	invgisu	1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	2	1	2	20					255					255			1	2	20					255					255					255					255					255					255					255					255					255					255			1	1	0	9gs	0gs	1	0
Bastard Sword	swor	2hsw	bsw	clm	bsw	0		4	1	7	19	1	1	20	28				3	10	100		62		60		25	0	1971	35902		320	clm	bsw	9b9	0b0	1hs	2hs	5	2hss	1	4					flpbsw	invbsw	invbswu	invbswu	1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255			1	2	20					255					255					255					255					255					255					255					255					255					255			1	1	0	9b9	0b0	1	0
Flamberge	swor	2hsw	flb	clm	flb	0		4	1	9	15	1	1	13	26				3	-10	100		70	49	65		29	0	2400	45400		320	clm	flb	9fb	0fb	1hs	2hs	5	2hss	2	4					flpflb	invflb			1	5	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255			1	2	20					255					255					255					255					255			1	2	20					255			2	3	20					255					255			1	1	0	9fb	0fb	1	0
Great Sword	swor	2hsw	gsd	gsd	gsd	0		4	1	12	20	1	1	25	42				3	10	100		100	60	65		33	0	3451	71442		320	clm	gsd	9gd	0gd	1hs	2hs	5	2hss	2	4					flpgsd	invgsd	invgsdu	invgsdu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255			1	2	20					255			2	3	20					255					255			1	1	0	9gd	0gd	1	0
Dagger	knif		dgr	dgr	dgr	0		2	1	1	9								1	-20	100	50			60		3	0	945	10394		320	dgr	dgr	9dg	0dg	1ht	1ht	5	1ht	1	2					flpdgr	invdgr			1	2	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			36	7	0	0	3	1	1	1	1	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8	0	9dg	0dg	1	0
Dirk	knif		dir	dir	dir	0		2	1	3	9								1	0	100	50		25	60		9	0	798	12394		320	dgr	dir	9di	0di	1ht	1ht	5	1ht	1	2					flpdir	invdir			1	2	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			36	7	0	0	3	1	1	1	1	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8	0	9di	0di	1	0
Kriss	knif		kri	dir	kri	0		2	1	2	11								1	-30	100	50		45	60		17	0	1227	20930		320	dgr	kri	9kr	0kr	1ht	1ht	5	1ht	1	3					flpkrs	invkrs	invkrsu	invkrsu	1	3	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			36	7	0	0	3					255					255					255	1	1	1	1	255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8	0	9kr	0kr	1	0
Blade	knif		bld	dgr	bld	0		3	1	4	15								1	-10	100	50	35	51	60		23	0	1764	32286		320	dgr	bld	9bl	0bl	1ht	1ht	5	1ht	1	3					flpbld	invbld			1	2	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			36	7	0	0	3					255					255					255					255					255					255					255					255			2	3	20					255					255					255					255					255					255					255					255			1	8	0	9bl	0bl	1	0
Throwing Knife	tkni		tkf	dgr	tkf	0		2	1	4	12					4	12		1		75	75		21	60		4	0	3	3512		311	dgr	tkf	9tk	0tk	1ht	1ht	5	1ht	1	2	1	420	1000	420	flptkn	invtkn			1	2	0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			36	7	4	0	3	1	1	1	2	1					255					255					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255					255					255			1	1	0	9tk	0tk	1	0
Throwing Axe	taxe		tax	hax	tax	0		2	1	6	16					6	16		1		75	75		40	60		10	0	5	6077		311	hax	tax	9ta	0ta	1hs	1hs	5	1hsl	1	2	1	420	1000	420	flptax	invtax			1	2	0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			35	7	5	0	3	1	1	1	2	10					255					255	1	1	1	1	20					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255					255					255			1	8	0	9ta	0ta	1	0
Balanced Knife	tkni		bkf	dgr	bkf	0		2	1	5	15					5	15		1	-20	75	75		51	60		17	0	7	9195		311	dgr	bkf	9bk	0bk	1ht	1ht	5	1ht	1	2	1	420	1000	420	flpbkf	invbkf			1	2	0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			36	7	4	0	3					255					255					255	1	1	1	1	20					255					255					255					255					255					255	1	1	1	1	20					255	1	1	1	1	20					255					255					255					255			1	1	0	9bk	0bk	1	0
Balanced Axe	taxe		bal	hax	bal	0		2	1	9	21					9	21		2	-15	75	75		57	60		21	0	17	10530		311	hax	bal	9b8	0b6	1hs	1hs	5	1hsl	2	2	1	420	1000	420	flpbal	invbal			1	2	0	primarily thrown	0	item_sword	12	item_sword	0	0	5	0	0	0			35	7	5	0	3					255					255					255	1	1	1	1	20					255					255					255					255					255					255	1	1	1	1	20					255	1	1	1	1	20					255					255					255					255			1	1	0	9b8	0b6	1	0
Javelin	jave		jav	jav	jav	0		4	1	3	11					3	11	15	2	-10	75	75			60		5	0	6	3012		311	jav	jav	9ja	0ja	1ht	1ht	5	1ht	1	3	1	360	1000	360	flpjav	invjav			1	2	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			1	7	2	0	3	1	1	1	2	1					255					255					255					255					255					255					255					255	1	1	1	1	20	1	1	1	1	20					255	1	1	1	1	20					255					255					255	1	1	1	1	20			5	8	0	9ja	0ja	1	0
Pilum	jave		pil	pil	pil	0		4	1	5	17					5	17	15	2		75	75		45	60		10	0	9	7680		311	jav	pil	9pi	0pi	1ht	1ht	5	1ht	1	3	1	360	1000	360	flppil	invpil			1	2	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			371	7	2	0	3	1	1	1	2	1					255					255	1	1	1	1	20					255					255					255					255					255	1	1	1	1	20	1	1	1	1	20					255	1	1	1	1	20					255					255					255	1	1	1	1	20			5	8	0	9pi	0pi	1	0
Short Spear	jave		ssp	jav	ssp	0		4	1	8	20					8	20	15	2	10	75	75	40	40	60		15	0	12	10180		311	jav	ssp	9s9	0s9	1ht	1ht	5	1ht	1	3	1	360	1000	360	flpssp	invssp			1	2	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			1	7	2	0	3	1	1	1	2	10					255					255	1	1	1	1	20					255					255					255					255					255					255	1	1	1	1	20					255	1	1	1	1	20					255					255					255	1	1	1	1	20			5	8	0	9s9	0s9	1	0
Glaive	jave		glv	glv	glv	0		4	1	16	22					16	22	15	2	20	75	75	52	35	60		23	0	18	12414		311	jav	glv	9gl	0gl	1ht	1ht	5	1ht	1	4	1	360	1000	360	flpglv	invglv			1	3	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			37	7	2	0	3					255					255					255	1	1	1	1	20					255					255					255					255					255					255	1	1	1	1	20					255	1	1	1	1	20					255					255					255	1	1	1	1	20			5	8	0	9gl	0gl	1	0
Throwing Spear	jave		tsp	pil	tsp	0		4	1	8	24					8	24	15	2	-10	75	75		65	60		29	0	24	14196		311	jav	tsp	9ts	0ts	1ht	1ht	5	1ht	1	4	1	360	1000	360	flptsp	invtsp			1	3	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			371	7	2	0	3					255					255					255					255					255					255					255					255					255					255					255					255	1	1	1	1	20					255					255					255	1	1	1	1	20			5	8	0	9ts	0ts	1	0
Spear	spea	2hsw	spr	spr	spr	0		4	1				1	3	15			15	4	-10	100			20	60		4	0	300	6500		320	spr	spr	9sr	0sr	2ht	2ht	5	2ht	2	4					flpspr	invspr			1	3	0	2 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3					255	1	1	1	1	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	9sr	0sr	1	0
