index	set	item	*item	rarity	lvl	lvl req	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	*eol
Stormshield	Diablo's End	tow	Tower Shield	7	30	25								6	5000	2	tinkerflag2		25	35	sock		1	1	str		20	20	red-dmg%		15	15	block1		20	20	ac/lvl	20															ac%		100	100	ac/lvl	20			balance2		20	20																													0
Tharn's Ward	Planet's Veneration	xhl	Basinet	7	40	35								6	5000	2	tinkerflag2		25	35	red-dmg		20	20	red-mag		20	20	ac%		100	100	abs-fire%		15	15																	abs-cold%		15	15					abs-ltng%		15	15					res-all		40	40																					0
Bard's Graceful Hand	Planet's Veneration	xvg	Sharkskin Gloves	7	40	35								6	5000	2	tinkerflag2		25	35	dex		50	50	swing1		20	20	ac%		80	80																					swing1		25	25					dex		30	30					swing2		25	25																					0
The Acolyte's Spirit	Planet's Veneration	rin	Ring	6	40	35			invrin5					6	5000	2	lifesteal		7	7	manasteal		7	7																													lifesteal		5	5	manasteal		5	5	vit		25	25					enr		25	25																					0
Root's Banded Restraint	Planet's Veneration	zlb	Demonhide Sash	7	40	35								6	5000	2	tinkerflag2		25	35	str		15	15	dmg%		100	100	ac/lvl	12																							str		30	30					str		30	30					dmg%		25	25																					0
Wanderer's Waltz	Planet's Veneration	dbt	Dimensional Boots	7	40	35								6	5000	2	tinkerflag2		25	35	move2		40	40	stam		150	150	crush		15	15																					dex		25	25					ac/lvl	16							aura	Vigor	1	1																					0
Band of War	Waves of Ascension	amu	Amulet	4	50	45			invamu4					7	7500	2	hit-skill	Amplify Damage	7	7	swing3		30	30	str		30	30	dmg%		25	25																					oskill	BloodGolem	4	4	att%		30	30	ac%		25	25					oskill	Skeleton Mastery	5	5																					0
Band of Death	Waves of Ascension	rin	Ring	4	50	45			invrin4					7	7500	2	hit-skill	Bone Spirit	10	15	enr		30	30	heal-kill		20	20	mana-kill		20	20																					oskill	BloodGolem	4	4	deadly		50	50	thorns		300	300					oskill	Raise Skeletal Mage	5	5																					0
Band of Famine	Waves of Ascension	zmb	Mesh Belt	7	50	45								7	7500	2	tinkerflag2		25	35	hit-skill	Decrepify	5	5	lifesteal		8	8	manasteal		8	8	gold%		100	100																	oskill	BloodGolem	4	4	dmg-pois	250	256	512	noheal		1	1					oskill	Skeleton Mastery	5	5																					0
Band of Pestilence	Waves of Ascension	rin	Ring	4	50	45			invrin6					7	7500	2	hit-skill	Twister	10	15	dmg-pois	250	256	512	openwounds		100	100	res-pois-len		100	100																					oskill	BloodGolem	4	4	crush		30	30	res-pois-max		20	20					oskill	Raise Skeletal Mage	5	5																					0
Crook of the Darkest Valley	Shepherd's Delight	1cs	Petrified Staff	7	65	60								8	10000	2	tinkerflag2		25	35	dmg%		300	300	swing1		50	50	ac%		100	100	reduce-ac		50	50																	oskill	Summon Fenris	6	6	oskill	Summon Grizzly	5	5	oskill	Oak Sage	4	4	hit-skill	Static Field	12	15																									0
Shepherd's Blessing	Shepherd's Delight	ytg	Gladiator Gauntlets	7	65	60								8	10000	2	tinkerflag2		25	35	ac%		100	100	cast1		25	25	balance1		25	25	dmg/lvl	8																			oskill	Summon Fenris	6	6	oskill	Summon Grizzly	5	5	oskill	Oak Sage	4	4	addxp		10	10																									0
Shepherd's Invocation	Shepherd's Delight	yrs	Chest Guard	7	65	60								8	10000	2	tinkerflag2		25	35	sock		2	2	ac%		200	200	str/lvl	8			regen		30	30																	oskill	Summon Fenris	6	6	oskill	Summon Grizzly	5	5	oskill	Oak Sage	4	4	aura	Salvation	10	10																									0
Tasselhoff's Jerkin	Tasselhoff's Traveling Gear	ylv	Sylvan Chain	7	80	70								8	12500	2	tinkerflag2		25	35	sock		3	3	vit		30	30	ac%		150	150	dmg%		150	150	att-skill	Lightning	50	30													mag%		75	75	gold%		75	75	ignore-ac		1	1																													0
Tasselhoff's Pouches	Tasselhoff's Traveling Gear	bmb	Merchant's Belt	7	80	70								8	12500	2	tinkerflag2		25	35	sock		2	2	mag%		100	100	gold%		100	100	charged	Confuse	20	6	charged	Fade	20	7													str		25	25	dex		25	25	crush		50	50																													0
Tasselhoff's Breaches	Tasselhoff's Traveling Gear	ytb	Gradiator Boots	7	80	70								8	12500	2	tinkerflag2		25	35	sock		2	2	move3		40	40	gold%		100	100	ac%		125	125	enr		30	30													red-dmg		20	20	red-mag		20	20	mag%		100	100																													0
Amazon Sets (ES)																																																																																													0
Arctic Horn-Ama	Arctic Gear-Ama	hbw	Hunter's Bow	7	5	1								5	2500	2	tinkerflag2		25	35	att%		20	20	dmg-norm		2	6	dmg-cold	100	10	15																					att/lvl	10			dmg/lvl	8			dmg-cold/lvl	12			dmg/lvl	8																											0
Arctic Mitts-Ama	Arctic Gear-Ama	vgl	Heavy Gloves	7	5	1								5	2500	2	tinkerflag2		25	35	hp		20	20	swing1		20	20	ac		10	10																					att		50	50	hp/lvl	8			dex/lvl	4																															0
Arctic Binding-Ama	Arctic Gear-Ama	vbl	Light Belt	7	5	1								5	2500	2	tinkerflag2		25	35	res-cold		40	40	ac/lvl	20			gethit-skill	Frost Nova	3	1																					mag%		40	40	allskills		1	1	abs-cold%		20	20																													0
Gabrielle's Pointed Staff	Gabrielle's Innocence	am3	Maiden Spear	7	21	16								6	5000	2	tinkerflag2		25	35	dmg%		100	100	swing2		30	30	vit		15	15	enr		15	15																	ac%		50	50	dmg%		50	50	dmg/lvl	12																															0
Gabrielle's Defense	Gabrielle's Innocence	scl	Scale Mail	7	21	16								6	5000	2	tinkerflag2		25	35	ac		72	72	red-dmg%		20	20	res-pois-len		60	60	res-all		10	10																	ac/lvl	32			res-all		10	10	red-mag		8	8																													0
Gabrielle's Revelation	Gabrielle's Innocence	eht	Spirit Crown	6	21	16								6	5000	2	tinkerflag2		25	35	move1		25	25	stam		35	35	str		10	10	dex		15	15																	dex		10	10	vit		10	10	ac/lvl	24																															0
Lixo's Flight	Lixo's Feathers	ci4	Faceguard	6	35	30								6	5000	2	tinkerflag2		25	35	dex		30	30	att%		15	15	att/lvl	4																							res-all		30	30	abs-ltng%		10	10	red-dmg		5	5	red-mag		5	5																									0
Lixo's Harp	Lixo's Feathers	8lw	Gothic Bow	7	35	30								6	5000	2	tinkerflag2		25	35	dmg%		100	100	dmg/lvl	16			swing2		25	25																					dmg%		100	100	red-dmg%		10	10	dmg-ltng		1	200	swing2		25	25																									0
Lixo's Coat	Lixo's Feathers	xla	Demonhide Armor	7	35	30								6	5000	2	tinkerflag2		25	35	ac		400	400	skill	Dodge	2	2	move1		15	15	sock		2	2																	ac		1000	1000	skill	Avoid	2	2	dmg%		50	50	skill	Evade	2	2																									0
Lixo's Jewel	Lixo's Feathers	rin	Ring	8	35	30			invrin4					6	5000	2	lifesteal		4	4	manasteal		4	4	res-pois-len		50	50																									hp%		15	15	mana%		15	15	balance1		20	20	move1		20	20																									0
Aanna's Touch	Aanna's Battle Dress	9p9	Lance	7	45	45								7	7500	2	tinkerflag2		25	35	rep-dur	100	100	100	dmg%		100	100	dmg/lvl	20																							swing3		40	40	dmg/lvl	20			swing3		40	40	aura	Defiance	5	5																									0
Aanna's Dress	Aanna's Battle Dress	xlt	Templar Coat	7	45	45								7	7500	2	tinkerflag2		25	35	ac%		200	200	skill	Evade	2	2	res-all		30	30																					hp%		10	10	ac/lvl	28			mana%		10	10	ac/lvl	28																											0
Aanna's Skill	Aanna's Battle Dress	xtg	Battle Gauntlets	7	45	45								7	7500	2	tinkerflag2		25	35	str		25	25	dex		25	25	freeze		3	3																					swing1		30	30	dmg/lvl	8			str		20	20	dex		20	20																									0
Aanna's March	Aanna's Battle Dress	xtb	Battle Boots	7	45	45								7	7500	2	tinkerflag2		25	35	move2		40	40	stam		150	150	ac%		100	100																					crush		15	15	dmg/lvl	8			red-dmg		10	10	red-mag		10	10																									0
Alaziel's Point	Alaziel's Abstraction	ama	Ceremonial Javelin	7	55	55								7	7500	2	tinkerflag2		25	35	dmg-fire		500	750	skill	Lightning Bolt	3	3	rep-quant	100			sock		3	3																	dex		30	30	skilltab	2	3	3	dmg%		175	175	dmg-fire/lvl	40																											0
Alaziel's Protector	Alaziel's Abstraction	xlv	Drow Adamantium Chain	7	55	55								7	7500	2	tinkerflag2		25	35	ac%		250	250	res-all		10	10	skill	Dodge	4	4																					skill	Avoid	4	4	ac/lvl	12			skill	Evade	4	4	abs-fire%		20	20																									0
Alaziel's Buckler	Alaziel's Abstraction	yml	Desert Shield	7	55	55								7	7500	2	tinkerflag2		25	35	ac		100	100	block3		40	40	block		15	15																					red-dmg		18	18	hp/lvl	4			red-mag		18	18	mana/lvl	4																											0
Alaziel's Grip	Alaziel's Abstraction	ymg	Sepulcher Gloves	7	55	55								7	7500	2	tinkerflag2		25	35	dmg%		20	20	att%		20	20	ac%		100	100																					swing2		20	20	dex		20	20	swing2		20	20	str		20	20																									0
Noir's Anticipation	Noir's Tranquility	yht	Enchanted Crown	7	60	60								8	10000	2	tinkerflag2		25	35	ac%		100	100	att%		45	45	light		5	5																					crush		15	15	balance3		30	30	swing3		30	30	cast3		30	30																									0
Noir's Focus	Noir's Tranquility	9pb	Tuigan Bow	7	60	60								8	10000	2	tinkerflag2		25	35	dmg%		100	100	skill	Pierce	2	2	ama		2	2	sock		2	2																	dmg%		200	200	skilltab	0	1	1	dmg%		200	200	dmg/lvl	8																											0
Noir's Tenacity	Noir's Tranquility	xig	Military Guards	7	60	60								8	10000	2	tinkerflag2		25	35	ac%		100	100	dmg%		25	25	ease		-40	-40	sock		1	1																	reduce-ac		25	25	dex		25	25	heal-kill		8	8	mana-kill		4	4																									0
Noir's Stride	Noir's Tranquility	xbt	Mystile Boots	7	60	60								8	10000	2	tinkerflag2		25	35	ac%		100	100	swing2		40	40	ease		-40	-40	sock		1	1																	move3		40	40	balance2		20	20	skill	Freezing Arrow	5	5	skill	Guided Arrow	5	5																									0
Milea's Crown	Milea's Majesty	ci3	Diadem	7	70	70								8	10000	2	tinkerflag2		25	35	manasteal		9	9	ac		30	30	res-all		15	15	sock		2	2																	mana		100	100	hp		100	100	aura	Concentration	5	5																													0
Milea's Maim	Milea's Majesty	amd	Matriarchal Spear	7	70	70								8	10000	2	tinkerflag2		25	35	dmg%		125	125	indestruct		1	1	crush		25	25	sock		5	5																	swing3		40	40	dmg%		125	125	swing3		40	40																													0
Milea's Mail	Milea's Majesty	yng	Heavy Mail	7	70	70								8	10000	2	tinkerflag2		25	35	ac%		200	200	ease		-60	-60	red-dmg%		15	15	sock		3	3																	regen		15	15	regen-mana		45	45	move3		30	30																													0
Assassin Sets (ES)																																																																																													0
Death's Touch-Ass	Death's Disguise-Ass	ktr	Katar	7	5	1								5	2500	2	tinkerflag2		25	35	lifesteal		5	5	dmg-norm		6	10	dmg-cold	200	7	16	rep-quant	100			pierce		10	10													dmg-cold/lvl	16			manasteal		5	5	crush		20	20	dmg/lvl	14																											0
Death's Hand-Ass	Death's Disguise-Ass	lgl	Leather Gloves	7	5	1								5	2500	2	tinkerflag2		25	35	swing1		15	15	res-pois		30	30	res-pois-len		50	50																					allskills		1	1	mana/lvl	4			stupidity		1	1																													0
Death's Guard-Ass	Death's Disguise-Ass	clk	Cloak	7	5	1								5	2500	2	tinkerflag2		25	35	red-dmg		4	4	nofreeze		1	1	ac		50	50																					regen		10	10	regen-mana		30	30	ac/lvl	16																															0
Vega's Beauty	Vega's Elegance	cix	Hachigane	7	21	16								6	5000	2	tinkerflag2		25	35	lifesteal		5	5	vit		20	20	ac		20	20																					gethit-skill	Charged Bolt	15	12	hit-skill	Charged Bolt	5	12	lifesteal		3	3	hp/lvl	12																											0
Grace	Vega's Elegance	clw	Claws	7	21	16								6	5000	2	tinkerflag2		25	35	openwounds		50	50	skill	Claw Mastery	2	2	dmg/lvl	12																							deadly		50	50	swing3		60	60	att/lvl	12			dmg%		200	200																									0
Power	Vega's Elegance	btl	Blade Talons	7	21	16								6	5000	2	tinkerflag2		25	35	crush		50	50	skill	Claw Mastery	1	1	dmg%		125	125																					dmg/lvl	16			att/lvl	16			swing3		30	30	att/lvl	16																											0
Vega's Sash	Vega's Elegance	tbl	Heavy Belt	6	21	16								6	5000	2	tinkerflag2		25	35	skill	Weapon Block	4	4	skill	Cloak of Shadows	2	2	move3		30	30																					balance2		20	20	skill	Quickness	3	3	move1		15	15	ac/lvl	8																											0
Motoko's Power	Motoko's Captivation	njt	Ninja To	7	35	30								6	5000	2	tinkerflag2		25	35	att-skill	Tornado	33	24	dmg-max		50	50	swing3		50	50	dmg/lvl	10																			dmg%		150	150	att%		150	150	dmg/lvl	20																															0
Motoko's Kimono	Motoko's Captivation	shl	Spiked Shoulder	6	35	30								6	5000	2	tinkerflag2		25	35	hp%		25	25	hp/lvl	8			move3		40	40	sock		2	2																	dex		35	35	att/lvl	20			regen		40	40																													0
Motoko's Charm	Motoko's Captivation	amu	Amulet	5	35	30			invamu2					6	5000	2	dmg-demon		150	150	att-demon		200	200	oskill	Frozen Armor	3	3	rip		1	1																					gold%		75	75	mag%		75	75	heal-kill		15	15																													0
Alora's Veil	Alora's Shadow	xap	War Hat	7	45	45								7	7500	2	tinkerflag2		25	35	res-cold		40	40	red-dmg		15	15	red-mag		15	15	sock		1	1																	aura	Holy Freeze H	3	3	abs-cold%		15	15	abs-fire%		15	15	abs-ltng%		15	15																									0
Alora's Silent Assault	Alora's Shadow	9cs	Hand Scythe	7	45	45								7	7500	2	tinkerflag2		25	35	dmg-pois	250	256	512	freeze		3	3	dmg%		200	200																					hit-skill	Bone Spirit	5	24	dmg-mag		50	100	dmg/lvl	16			ignore-ac		1	1																									0
Alora's Silhouette	Alora's Shadow	xlk	Shadow Cloak	7	45	45								7	7500	2	tinkerflag2		25	35	ac%		150	150	res-pois-len		100	100	skilltab	19	1	1																					gethit-skill	Poison Nova	10	16	ac/lvl	20			res-all		15	15	dmg-min		8	8																									0
Alora's Vestige	Alora's Shadow	xmb	Mesh Boots	7	45	45								7	7500	2	tinkerflag2		25	35	move2		40	40	skilltab	20	1	1	crush		20	20																					ac%		100	100	mag%		50	50	skill	Quickness	3	3	res-cold-max		10	10																									0
Sascha's Deadly Point	Sascha's Jaded Kiss	7wb	Wrist Sword	7	55	55								7	7500	2	tinkerflag2		25	35	dmg%		175	175	swing3		40	40	rip		1	1																					hit-skill	Fire Ball	25	15	dmg/lvl	16			dmg-fire		75	150	dmg-fire/lvl	40																											0
Sascha's Bosom	Sascha's Jaded Kiss	xhh	Thorned Armor	7	55	55								7	7500	2	tinkerflag2		25	35	ease		-35	-35	ac%		200	200	vit		25	25																					red-dmg		20	20	red-mag		20	20	skill	Blade Shield	3	3	deadly		30	30																									0
Sascha's Jagged Strike	Sascha's Jaded Kiss	9qr	Scissors Quhab	7	55	55								7	7500	2	tinkerflag2		25	35	dmg%		250	250	dmg-ac		-10	-10	openwounds		100	100																					hit-skill	Ice Blast	25	15	dmg/lvl	16			dmg-cold		50	100	dmg-cold/lvl	20																											0
Sascha's Black Slipper	Sascha's Jaded Kiss	ylb	Rogue Boots	7	55	55								7	7500	2	tinkerflag2		25	35	skill	Dragon Flight	4	4	move2		20	20	ac%		85	85																					all-stats		20	20	ac/lvl	4			skill	Shadow Master	3	3	crush		30	30																									0
Ihsan's Gaze	Ihsan's Shade	yap	Hood	7	60	60								8	10000	2	tinkerflag2		25	35	ac%		125	125	mana/lvl	16			reduce-ac		20	20	sock		2	2																	pierce-cold		17	17	pierce-pois		17	17	pierce-fire		17	17	pierce-ltng		17	17																									0
Ihsan's Spine	Ihsan's Shade	ylk	Shinobi Cloak	7	60	60								8	10000	2	tinkerflag2		25	35	ac%		125	125	red-dmg		25	25	red-mag		25	25																					regen		30	30	regen-mana		60	60	vit		20	20	res-all-max		5	5																									0
Ihsan's Clutch	Ihsan's Shade	xhg	War Gauntlets	7	60	60								8	10000	2	tinkerflag2		25	35	ac%		125	125	crush		15	15	hit-skill	Attract	10	1																					lifesteal		9	9	manasteal		9	9	slow		20	20	att-skill	Ice Bolt	100	20																									0
Ihsan's Coil	Ihsan's Shade	xms	Giant Wrap	7	60	60								8	10000	2	tinkerflag2		25	35	ac%		125	125	balance3		50	50	ass		1	1																					block		15	15	skill	Weapon Block	2	2	cast3		50	50	block3		50	50																									0
Borik's Nightblade	Borik's Deceit	0nn	Katana	7	70	70								8	10000	2	tinkerflag2		25	35	dmg%		225	225	crush		40	40	ignore-ac		1	1																					dmg%		75	75	crush		30	30	lifesteal		12	12																													0
Borik's Dark Binding	Borik's Deceit	yhh	Spiked Armor	7	70	70								8	10000	2	tinkerflag2		25	35	ac%		175	175	mana-kill		12	12	gethit-skill	Frost Nova	10	25	sock		3	3																	str		42	42	red-dmg%		15	15	manasteal		18	18																													0
Borik's Black Hand	Borik's Deceit	yvg	Viper Hands	7	70	70								8	10000	2	tinkerflag2		25	35	freeze		3	3	dmg-cold	250	25	30	noheal		1	1																					dmg-cold	50	10	200	hit-skill	Twister	10	25	aura	Vigor	3	3																													0
Necromancer Sets (ES)																																																																																													0
Infernal Cranium-Nec	Infernal Tools-Nec	cap	Cap	7	5	1								5	2500	2	tinkerflag2		25	35	ac/lvl	20			dmg-to-mana		25	25	res-all		8	8																					cast1		10	10	mana		15	15	mana/lvl	4																															0
Infernal Torch-Nec	Infernal Tools-Nec	wnd	Wand	7	5	1								5	2500	2	tinkerflag2		25	35	att-skill	Fire Ball	15	1	dmg-fire		5	10	swing1		15	15																					att/lvl	20			dmg-fire/lvl	20			gethit-skill	Fire Bolt	50	3																													0
Infernal Sign-Nec	Infernal Tools-Nec	mbl	Belt	7	5	1								5	2500	2	tinkerflag2		25	35	res-pois-len		50	50	half-freeze		1	1	hp		25	25																					allskills		1	1	mana		25	25	ac/lvl	8																															0
Rathol's Gaze	Rathol's Disease	msk	Mask	7	21	16								6	5000	2	tinkerflag2		25	35	noheal		1	1	dmg-pois	250	31	62	pierce-pois		15	15																					enr		15	15	vit		10	10	ignore-ac		1	1																													0
Rathol's Touch	Rathol's Disease	nsy	Wretched Scythe	7	21	16								6	5000	2	tinkerflag2		25	35	nec		2	2	res-all		20	20	dmg-pois	200	77	154																					swing3		60	60	att-skill	Poison Nova	10	6	dmg/lvl	16																															0
Rathol's Fear	Rathol's Disease	rng	Ring Mail	7	21	16								6	5000	2	tinkerflag2		25	35	ac/lvl	32			res-pois-len		100	100	dmg-pois	200	39	77	sock		2	2																	cast3		30	30	regen		15	15	regen-mana		45	45																													0
Wrathamon's Skull	Wrathamon's Omens	bhm	Bone Helm	7	35	30								6	5000	2	tinkerflag2		25	35	ac		25	25	mana-kill		6	6	heal-kill		6	6																					mana%		25	25	vit		15	15	lifesteal		9	9					manasteal		9	9																					0
Ebola	Wrathamon's Omens	amu	Amulet	5	35	30			invamu5					6	5000	2	nec		1	1	mana%		15	15	regen-mana		40	40																									mana%		30	30	cast1		30	30	nec		1	1					move2		20	20																					0
Wrathamon's Scythe of Doom	Wrathamon's Omens	syn	Dread Scythe	7	35	30								6	5000	2	tinkerflag2		25	35	dmg%		300	300	crush		45	45	swing2		40	40																					nec		2	2	ignore-ac		1	1	dmg%		300	300					skilltab	8	2	2																					0
Wrathamon's Cloak of Night	Wrathamon's Omens	xng	Linked Mail	7	35	30								6	5000	2	tinkerflag2		25	35	ac%		150	150	red-dmg%		10	10	res-all		25	25																					str		25	25	ac		900	900	red-dmg		12	12					red-mag		12	12																					0
The Hands of Wier	Wrathamon's Omens	xlg	Demonhide Gloves	6	35	30								6	5000	2	tinkerflag2		25	35	dmg-cold	200	25	50	freeze		2	2	swing1		15	15																					swing1		30	30	dmg-cold/lvl	40			abs-mag%		20	20					str		30	30																					0
The Lich's Pate	The Lich's Form	xsk	Death Mask	7	45	45								7	7500	2	tinkerflag2		25	35	nec		1	1	cast1		30	30	mana		50	50																					regen		15	15	regen-mana		60	60	skilltab	6	1	1					cast1		30	30																					0
The Lich's Curse	The Lich's Form	9yw	Petrified Wand	7	45	45								7	7500	2	tinkerflag2		25	35	nec		1	1	cast2		30	30	skilltab	6	2	2																					skilltab	7	1	1	skill	Poison Nova	3	3	pierce-pois		25	25					skill	Teeth	3	3																					0
The Lich's Cage	The Lich's Form	xrs	Cuirass	7	45	45								7	7500	2	tinkerflag2		25	35	ac		800	800	ease		-40	-40	balance3		30	30																					str		15	15	vit		15	15	red-mag		8	8					res-pois-len		125	125																					0
The Lich's Clutch	The Lich's Form	xmg	Heavy Bracers	7	45	45								7	7500	2	tinkerflag2		25	35	ac/lvl	20			ease		-30	-30	regen-mana		30	30																					block		15	15	res-mag		20	20	skill	Bone Spirit	3	3					extra-pois		15	15																					0
The Lich's Sole	The Lich's Form	zvb	Sharkskin Belt	7	45	45								7	7500	2	tinkerflag2		25	35	move2		40	40	regen-stam		50	50	ac/lvl	20																							mana-kill		10	10	heal-kill		10	10	hp/lvl	4							mana/lvl	4																							0
Nupraptor's Skull	Nupraptor's Keep	xh9	Grim Helm	7	55	55								7	7500	2	tinkerflag2		25	35	ac%		150	150	regen		25	25	cast1		20	20																					hp/lvl	16			regen-mana		100	100	mana/lvl	16																															0
Nupraptor's Eradicator	Nupraptor's Keep	9rd	Sacrificial Dagger	7	55	55								7	7500	2	tinkerflag2		25	35	dmg%		500	500	swing3		50	50	skill	Poison Dagger	15	15																					ignore-ac		1	1	skill	Bone Armor	15	15	pierce-pois		50	50																													0
Nupraptor's Servant	Nupraptor's Keep	nea	Heirophant Trophy	7	55	55								7	7500	2	tinkerflag2		25	35	ac%		65	65	skilltab	8	2	2	res-pois-len		100	100	sock		2	2																	gethit-skill	Bone Spirit	10	20	abs-mag%		40	40	addxp		7	7																													0
Lim-Dul's Hex	Lim-Dul's Legion	9gw	Grave Wand	7	60	60								8	10000	2	tinkerflag2		25	35	nec		2	2	skilltab	6	2	2	cast3		30	30																					skill	Lower Resist	2	2	skill	Iron Maiden	2	2	kill-skill	Corpse Explosion	25	10	kill-skill	Poison Explosion	25	10																									0
Lim-Dul's High Guardian	Lim-Dul's Legion	neb	Minion Skull	7	60	60								8	10000	2	tinkerflag2		25	35	cast3		30	30	block		50	50	res-all		20	20																					ac%		200	200	res-mag		20	20	red-mag		15	15	red-dmg%		15	15																									0
Lim-Dul's Vault	Lim-Dul's Legion	alb	Hemp Band	7	60	60								8	10000	2	tinkerflag2		25	35	dmg-to-mana		50	50	mana/lvl	24			regen-mana		50	50																					regen-mana		50	50	mana%		10	10	regen-mana		50	50	mana%		10	10																									0
Lim-Dul's Oath	Lim-Dul's Legion	ymb	Sepulcher Boots	7	60	60								8	10000	2	tinkerflag2		25	35	skilltab	8	1	1	skill	Skeleton Mastery	5	5	skill	Golem Mastery	5	5																					gold%		75	75	res-pois-len		50	50	addxp		5	5	ac/lvl	10																											0
Mask of the Angel of Death	Ordnance of the Dark Brotherhood	yh9	Demon Skull	7	70	70								8	10000	2	tinkerflag2		25	35	gethit-skill	Frost Nova	10	25	abs-cold%		15	15	ac%		600	600	abs-mag%		15	15																	pierce-cold		15	15	aura	Holy Freeze H	10	10	addxp		10	10																													0
Flesh of the Angel of Chaos	Ordnance of the Dark Brotherhood	yth	Royal Armor	7	70	70								8	10000	2	tinkerflag2		25	35	gethit-skill	ctcFist of the Heavens	10	20	abs-ltng%		15	15	ac%		400	400	ignore-ac		1	1																	pierce-ltng		15	15	red-dmg%		25	25	regen-mana		75	75																													0
Reaver of the Angel of A	Ordnance of the Dark Brotherhood	0sy	Soul Destroyer	7	70	70								8	10000	2	tinkerflag2		25	35	skill	Bone Armor	5	5	abs-fire%		15	15	swing3		50	50	dmg%		300	300																	pierce-fire		15	15	oskill	Meteor	30	30	oskill	Thunder Storm	30	30																													0
Barbarian Sets (ES)																																																																																													0
Berserker's Headgear-Bar	Berserker's Garb-Bar	cap	Cap	7	5	1								5	2500	2	tinkerflag2		25	35	ac		25	25	res-fire		15	15	hp		15	15																					str		10	10	att/lvl	8			ac/lvl	8																															0
Berserker's Hatchet-Bar	Berserker's Garb-Bar	hax	Hand Axe	7	5	1								5	2500	2	tinkerflag2		25	35	dmg%		100	100	manasteal		5	5	att%		30	30																					dmg/lvl	8			lifesteal		5	5	dmg/lvl	12																															0
