Name	Rune Name	complete	server	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	*runes	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	eol
Runeword35	Holy	1		tors										gpw	gpw	gpw	gpw	gpw	gpw	gethit-skill	ctcFist of the Heavens	16	10																									0
Runeword36	Holy	1		tors										gwb	gwb	gwb	gwb	gwb	gwb	gethit-skill	ctcFist of the Heavens	18	12																									0
Runeword37	Holy	1		weap	glov	misl								gcw						hit-skill	ctcFist of the Heavens	2	1																									0
Runeword38	Holy	1		weap	glov	misl								gfw						hit-skill	ctcFist of the Heavens	3	2																									0
Runeword39	Holy	1		weap	glov	misl								gsw						hit-skill	ctcFist of the Heavens	4	3																									0
Runeword40	Holy	1		weap	glov	misl								glw						hit-skill	ctcFist of the Heavens	5	4																									0
Runeword41	Holy	1		weap	glov	misl								gpw						hit-skill	ctcFist of the Heavens	6	5																									0
Runeword42	Holy	1		weap	glov	misl								gwb						hit-skill	ctcFist of the Heavens	8	7																									0
Runeword43	Holy	1		weap	glov									gcw	gcw					hit-skill	ctcFist of the Heavens	4	2																									0
Runeword44	Holy	1		weap	glov									gfw	gfw					hit-skill	ctcFist of the Heavens	5	3																									0
Runeword45	Holy	1		weap	glov									gsw	gsw					hit-skill	ctcFist of the Heavens	6	4																									0
Runeword46	Holy	1		weap	glov									glw	glw					hit-skill	ctcFist of the Heavens	7	5																									0
Runeword47	Holy	1		weap	glov									gpw	gpw					hit-skill	ctcFist of the Heavens	8	6																									0
Runeword48	Holy	1		weap	glov									gwb	gwb					hit-skill	ctcFist of the Heavens	10	8																									0
Runeword49	Holy	1		weap										gcw	gcw	gcw				hit-skill	ctcFist of the Heavens	6	3																									0
Runeword50	Holy	1		weap										gfw	gfw	gfw				hit-skill	ctcFist of the Heavens	7	4																									0
Runeword51	Holy	1		weap										gsw	gsw	gsw				hit-skill	ctcFist of the Heavens	8	5																									0
Runeword52	Holy	1		weap										glw	glw	glw				hit-skill	ctcFist of the Heavens	9	6																									0
Runeword53	Holy	1		weap										gpw	gpw	gpw				hit-skill	ctcFist of the Heavens	10	7																									0
Runeword54	Holy	1		weap										gwb	gwb	gwb				hit-skill	ctcFist of the Heavens	12	9																									0
Runeword55	Holy	1		weap										gcw	gcw	gcw	gcw			hit-skill	ctcFist of the Heavens	8	4																									0
Runeword56	Holy	1		weap										gfw	gfw	gfw	gfw			hit-skill	ctcFist of the Heavens	9	5																									0
Runeword57	Holy	1		weap										gsw	gsw	gsw	gsw			hit-skill	ctcFist of the Heavens	10	6																									0
Runeword58	Holy	1		weap										glw	glw	glw	glw			hit-skill	ctcFist of the Heavens	11	7																									0
Runeword59	Holy	1		weap										gpw	gpw	gpw	gpw			hit-skill	ctcFist of the Heavens	12	8																									0
Runeword60	Holy	1		weap										gwb	gwb	gwb	gwb			hit-skill	ctcFist of the Heavens	14	10																									0
Runeword61	Holy	1		weap										gcw	gcw	gcw	gcw	gcw		hit-skill	ctcFist of the Heavens	10	5																									0
Runeword62	Holy	1		weap										gfw	gfw	gfw	gfw	gfw		hit-skill	ctcFist of the Heavens	11	6																									0
Runeword63	Holy	1		weap										gsw	gsw	gsw	gsw	gsw		hit-skill	ctcFist of the Heavens	12	7																									0
Runeword64	Holy	1		weap										glw	glw	glw	glw	glw		hit-skill	ctcFist of the Heavens	13	8																									0
Runeword65	Holy	1		weap										gpw	gpw	gpw	gpw	gpw		hit-skill	ctcFist of the Heavens	14	9																									0
Runeword66	Holy	1		weap										gwb	gwb	gwb	gwb	gwb		hit-skill	ctcFist of the Heavens	16	11																									0
Runeword67	Holy	1		weap										gcw	gcw	gcw	gcw	gcw	gcw	hit-skill	ctcFist of the Heavens	12	6																									0
Runeword68	Holy	1		weap										gfw	gfw	gfw	gfw	gfw	gfw	hit-skill	ctcFist of the Heavens	13	7																									0
Runeword69	Holy	1		weap										gsw	gsw	gsw	gsw	gsw	gsw	hit-skill	ctcFist of the Heavens	14	8																									0
Runeword70	Holy	1		weap										glw	glw	glw	glw	glw	glw	hit-skill	ctcFist of the Heavens	15	9																									0
Runeword71	Holy	1		weap										gpw	gpw	gpw	gpw	gpw	gpw	hit-skill	ctcFist of the Heavens	16	10																									0
Runeword72	Holy	1		weap										gwb	gwb	gwb	gwb	gwb	gwb	hit-skill	ctcFist of the Heavens	18	12																									0
Runeword73	Mighty	1		tors	shld	helm	boot	belt						gcv						gethit-skill	Weaken	2	1																									0
Runeword74	Mighty	1		tors	shld	helm	boot	belt						gfv						gethit-skill	Weaken	3	2																									0
Runeword75	Mighty	1		tors	shld	helm	boot	belt						gsv						gethit-skill	Weaken	4	3																									0
Runeword76	Mighty	1		tors	shld	helm	boot	belt						gzv						gethit-skill	Weaken	5	4																									0
Runeword77	Mighty	1		tors	shld	helm	boot	belt						gpv						gethit-skill	Weaken	6	5																									0
Runeword78	Mighty	1		tors	shld	helm	boot	belt						gvb						gethit-skill	Weaken	8	7																									0
Runeword79	Mighty	1		tors	shld	helm	boot	belt						gcv	gcv					gethit-skill	Weaken	4	2																									0
Runeword80	Mighty	1		tors	shld	helm	boot	belt						gfv	gfv					gethit-skill	Weaken	5	3																									0
Runeword81	Mighty	1		tors	shld	helm	boot	belt						gsv	gsv					gethit-skill	Weaken	6	4																									0
Runeword82	Mighty	1		tors	shld	helm	boot	belt						gzv	gzv					gethit-skill	Weaken	7	5																									0
Runeword83	Mighty	1		tors	shld	helm	boot	belt						gpv	gpv					gethit-skill	Weaken	8	6																									0
Runeword84	Mighty	1		tors	shld	helm	boot	belt						gvb	gvb					gethit-skill	Weaken	10	8																									0
Runeword85	Mighty	1		tors	shld	helm								gcv	gcv	gcv				gethit-skill	Weaken	6	3																									0
Runeword86	Mighty	1		tors	shld	helm								gfv	gfv	gfv				gethit-skill	Weaken	7	4																									0
Runeword87	Mighty	1		tors	shld	helm								gsv	gsv	gsv				gethit-skill	Weaken	8	5																									0
Runeword88	Mighty	1		tors	shld	helm								gzv	gzv	gzv				gethit-skill	Weaken	9	6																									0
Runeword89	Mighty	1		tors	shld	helm								gpv	gpv	gpv				gethit-skill	Weaken	10	7																									0
Runeword90	Mighty	1		tors	shld	helm								gvb	gvb	gvb				gethit-skill	Weaken	12	9																									0
Runeword91	Mighty	1		tors	shld	helm								gcv	gcv	gcv	gcv			gethit-skill	Weaken	8	4																									0
Runeword92	Mighty	1		tors	shld	helm								gfv	gfv	gfv	gfv			gethit-skill	Weaken	9	5																									0
Runeword93	Mighty	1		tors	shld	helm								gsv	gsv	gsv	gsv			gethit-skill	Weaken	10	6																									0
Runeword94	Mighty	1		tors	shld	helm								gzv	gzv	gzv	gzv			gethit-skill	Weaken	11	7																									0
Runeword95	Mighty	1		tors	shld	helm								gpv	gpv	gpv	gpv			gethit-skill	Weaken	12	8																									0
Runeword96	Mighty	1		tors	shld	helm								gvb	gvb	gvb	gvb			gethit-skill	Weaken	14	10																									0
Runeword97	Mighty	1		tors										gcv	gcv	gcv	gcv	gcv		gethit-skill	Weaken	10	5																									0
Runeword98	Mighty	1		tors										gfv	gfv	gfv	gfv	gfv		gethit-skill	Weaken	11	6																									0
Runeword99	Mighty	1		tors										gsv	gsv	gsv	gsv	gsv		gethit-skill	Weaken	12	7																									0
Runeword100	Mighty	1		tors										gzv	gzv	gzv	gzv	gzv		gethit-skill	Weaken	13	8																									0
Runeword101	Mighty	1		tors										gpv	gpv	gpv	gpv	gpv		gethit-skill	Weaken	14	9																									0
Runeword102	Mighty	1		tors										gvb	gvb	gvb	gvb	gvb		gethit-skill	Weaken	16	11																									0
Runeword103	Mighty	1		tors										gcv	gcv	gcv	gcv	gcv	gcv	gethit-skill	Weaken	12	6																									0
Runeword104	Mighty	1		tors										gfv	gfv	gfv	gfv	gfv	gfv	gethit-skill	Weaken	13	7																									0
Runeword105	Mighty	1		tors										gsv	gsv	gsv	gsv	gsv	gsv	gethit-skill	Weaken	14	8																									0
Runeword106	Mighty	1		tors										gzv	gzv	gzv	gzv	gzv	gzv	gethit-skill	Weaken	15	9																									0
Runeword107	Mighty	1		tors										gpv	gpv	gpv	gpv	gpv	gpv	gethit-skill	Weaken	16	10																									0
Runeword108	Mighty	1		tors										gvb	gvb	gvb	gvb	gvb	gvb	gethit-skill	Weaken	18	12																									0
Runeword109	Mighty	1		weap	glov	misl								gcv						hit-skill	Amplify Damage	2	1																									0
Runeword110	Mighty	1		weap	glov	misl								gfv						hit-skill	Amplify Damage	3	2																									0
Runeword111	Mighty	1		weap	glov	misl								gsv						hit-skill	Amplify Damage	4	3																									0
Runeword112	Mighty	1		weap	glov	misl								gzv						hit-skill	Amplify Damage	5	4																									0
Runeword113	Mighty	1		weap	glov	misl								gpv						hit-skill	Amplify Damage	6	5																									0
Runeword114	Mighty	1		weap	glov	misl								gvb						hit-skill	Amplify Damage	8	7																									0
Runeword115	Mighty	1		weap	glov									gcv	gcv					hit-skill	Amplify Damage	4	2																									0
Runeword116	Mighty	1		weap	glov									gfv	gfv					hit-skill	Amplify Damage	5	3																									0
Runeword117	Mighty	1		weap	glov									gsv	gsv					hit-skill	Amplify Damage	6	4																									0
Runeword118	Mighty	1		weap	glov									gzv	gzv					hit-skill	Amplify Damage	7	5																									0
Runeword119	Mighty	1		weap	glov									gpv	gpv					hit-skill	Amplify Damage	8	6																									0
Runeword120	Mighty	1		weap	glov									gvb	gvb					hit-skill	Amplify Damage	10	8																									0
Runeword121	Mighty	1		weap										gcv	gcv	gcv				hit-skill	Amplify Damage	6	3																									0
Runeword122	Mighty	1		weap										gfv	gfv	gfv				hit-skill	Amplify Damage	7	4																									0
Runeword123	Mighty	1		weap										gsv	gsv	gsv				hit-skill	Amplify Damage	8	5																									0
Runeword124	Mighty	1		weap										gzv	gzv	gzv				hit-skill	Amplify Damage	9	6																									0
Runeword125	Mighty	1		weap										gpv	gpv	gpv				hit-skill	Amplify Damage	10	7																									0
Runeword126	Mighty	1		weap										gvb	gvb	gvb				hit-skill	Amplify Damage	12	9																									0
Runeword127	Mighty	1		weap										gcv	gcv	gcv	gcv			hit-skill	Amplify Damage	8	4																									0
Runeword128	Mighty	1		weap										gfv	gfv	gfv	gfv			hit-skill	Amplify Damage	9	5																									0
Runeword129	Mighty	1		weap										gsv	gsv	gsv	gsv			hit-skill	Amplify Damage	10	6																									0
Runeword130	Mighty	1		weap										gzv	gzv	gzv	gzv			hit-skill	Amplify Damage	11	7																									0
Runeword131	Mighty	1		weap										gpv	gpv	gpv	gpv			hit-skill	Amplify Damage	12	8																									0
Runeword132	Mighty	1		weap										gvb	gvb	gvb	gvb			hit-skill	Amplify Damage	14	10																									0
Runeword133	Mighty	1		weap										gcv	gcv	gcv	gcv	gcv		hit-skill	Amplify Damage	10	5																									0
Runeword134	Mighty	1		weap										gfv	gfv	gfv	gfv	gfv		hit-skill	Amplify Damage	11	6																									0
Runeword135	Mighty	1		weap										gsv	gsv	gsv	gsv	gsv		hit-skill	Amplify Damage	12	7																									0
Runeword136	Mighty	1		weap										gzv	gzv	gzv	gzv	gzv		hit-skill	Amplify Damage	13	8																									0
Runeword137	Mighty	1		weap										gpv	gpv	gpv	gpv	gpv		hit-skill	Amplify Damage	14	9																									0
Runeword138	Mighty	1		weap										gvb	gvb	gvb	gvb	gvb		hit-skill	Amplify Damage	16	11																									0
Runeword139	Mighty	1		weap										gcv	gcv	gcv	gcv	gcv	gcv	hit-skill	Amplify Damage	12	6																									0
Runeword140	Mighty	1		weap										gfv	gfv	gfv	gfv	gfv	gfv	hit-skill	Amplify Damage	13	7																									0
Runeword141	Mighty	1		weap										gsv	gsv	gsv	gsv	gsv	gsv	hit-skill	Amplify Damage	14	8																									0
Runeword142	Mighty	1		weap										gzv	gzv	gzv	gzv	gzv	gzv	hit-skill	Amplify Damage	15	9																									0
Runeword143	Mighty	1		weap										gpv	gpv	gpv	gpv	gpv	gpv	hit-skill	Amplify Damage	16	10																									0
Runeword144	Mighty	1		weap										gvb	gvb	gvb	gvb	gvb	gvb	hit-skill	Amplify Damage	18	12																									0
Runeword145	Poisonous	1		tors	shld	helm	boot	belt						gcg						gethit-skill	Poison Nova	2	1																									0
Runeword146	Poisonous	1		tors	shld	helm	boot	belt						gfg						gethit-skill	Poison Nova	3	2																									0
Runeword147	Poisonous	1		tors	shld	helm	boot	belt						gsg						gethit-skill	Poison Nova	4	3																									0
Runeword148	Poisonous	1		tors	shld	helm	boot	belt						glg						gethit-skill	Poison Nova	5	4																									0
Runeword149	Poisonous	1		tors	shld	helm	boot	belt						gpg						gethit-skill	Poison Nova	6	5																									0
Runeword150	Poisonous	1		tors	shld	helm	boot	belt						ggb						gethit-skill	Poison Nova	8	7																									0
Runeword151	Poisonous	1		tors	shld	helm	boot	belt						gcg	gcg					gethit-skill	Poison Nova	4	2																									0
Runeword152	Poisonous	1		tors	shld	helm	boot	belt						gfg	gfg					gethit-skill	Poison Nova	5	3																									0
Runeword153	Poisonous	1		tors	shld	helm	boot	belt						gsg	gsg					gethit-skill	Poison Nova	6	4																									0
Runeword154	Poisonous	1		tors	shld	helm	boot	belt						glg	glg					gethit-skill	Poison Nova	7	5																									0
Runeword155	Poisonous	1		tors	shld	helm	boot	belt						gpg	gpg					gethit-skill	Poison Nova	8	6																									0
Runeword156	Poisonous	1		tors	shld	helm	boot	belt						ggb	ggb					gethit-skill	Poison Nova	10	8																									0
Runeword157	Poisonous	1		tors	shld	helm								gcg	gcg	gcg				gethit-skill	Poison Nova	6	3																									0
Runeword158	Poisonous	1		tors	shld	helm								gfg	gfg	gfg				gethit-skill	Poison Nova	7	4																									0
Runeword159	Poisonous	1		tors	shld	helm								gsg	gsg	gsg				gethit-skill	Poison Nova	8	5																									0
Runeword160	Poisonous	1		tors	shld	helm								glg	glg	glg				gethit-skill	Poison Nova	9	6																									0
Runeword161	Poisonous	1		tors	shld	helm								gpg	gpg	gpg				gethit-skill	Poison Nova	10	7																									0
Runeword162	Poisonous	1		tors	shld	helm								ggb	ggb	ggb				gethit-skill	Poison Nova	12	9																									0
Runeword163	Poisonous	1		tors	shld	helm								gcg	gcg	gcg	gcg			gethit-skill	Poison Nova	8	4																									0
Runeword164	Poisonous	1		tors	shld	helm								gfg	gfg	gfg	gfg			gethit-skill	Poison Nova	9	5																									0
Runeword165	Poisonous	1		tors	shld	helm								gsg	gsg	gsg	gsg			gethit-skill	Poison Nova	10	6																									0
Runeword166	Poisonous	1		tors	shld	helm								glg	glg	glg	glg			gethit-skill	Poison Nova	11	7																									0
Runeword167	Poisonous	1		tors	shld	helm								gpg	gpg	gpg	gpg			gethit-skill	Poison Nova	12	8																									0
Runeword168	Poisonous	1		tors	shld	helm								ggb	ggb	ggb	ggb			gethit-skill	Poison Nova	14	10																									0
Runeword169	Poisonous	1		tors										gcg	gcg	gcg	gcg	gcg		gethit-skill	Poison Nova	10	5																									0
Runeword170	Poisonous	1		tors										gfg	gfg	gfg	gfg	gfg		gethit-skill	Poison Nova	11	6																									0
Runeword171	Poisonous	1		tors										gsg	gsg	gsg	gsg	gsg		gethit-skill	Poison Nova	12	7																									0
Runeword172	Poisonous	1		tors										glg	glg	glg	glg	glg		gethit-skill	Poison Nova	13	8																									0
Runeword173	Poisonous	1		tors										gpg	gpg	gpg	gpg	gpg		gethit-skill	Poison Nova	14	9																									0
Runeword174	Poisonous	1		tors										ggb	ggb	ggb	ggb	ggb		gethit-skill	Poison Nova	16	11																									0
Runeword175	Poisonous	1		tors										gcg	gcg	gcg	gcg	gcg	gcg	gethit-skill	Poison Nova	12	6																									0
Runeword176	Poisonous	1		tors										gfg	gfg	gfg	gfg	gfg	gfg	gethit-skill	Poison Nova	13	7																									0
Runeword177	Poisonous	1		tors										gsg	gsg	gsg	gsg	gsg	gsg	gethit-skill	Poison Nova	14	8																									0
Runeword178	Poisonous	1		tors										glg	glg	glg	glg	glg	glg	gethit-skill	Poison Nova	15	9																									0
Runeword179	Poisonous	1		tors										gpg	gpg	gpg	gpg	gpg	gpg	gethit-skill	Poison Nova	16	10																									0
Runeword180	Poisonous	1		tors										ggb	ggb	ggb	ggb	ggb	ggb	gethit-skill	Poison Nova	18	12																									0
Runeword181	Poisonous	1		weap	glov	misl								gcg						hit-skill	Poison Nova	2	1																									0
Runeword182	Poisonous	1		weap	glov	misl								gfg						hit-skill	Poison Nova	3	2																									0
Runeword183	Poisonous	1		weap	glov	misl								gsg						hit-skill	Poison Nova	4	3																									0
Runeword184	Poisonous	1		weap	glov	misl								glg						hit-skill	Poison Nova	5	4																									0
Runeword185	Poisonous	1		weap	glov	misl								gpg						hit-skill	Poison Nova	6	5																									0
Runeword186	Poisonous	1		weap	glov	misl								ggb						hit-skill	Poison Nova	8	7																									0
Runeword187	Poisonous	1		weap	glov									gcg	gcg					hit-skill	Poison Nova	4	2																									0
Runeword188	Poisonous	1		weap	glov									gfg	gfg					hit-skill	Poison Nova	5	3																									0
Runeword189	Poisonous	1		weap	glov									gsg	gsg					hit-skill	Poison Nova	6	4																									0
Runeword190	Poisonous	1		weap	glov									glg	glg					hit-skill	Poison Nova	7	5																									0
Runeword191	Poisonous	1		weap	glov									gpg	gpg					hit-skill	Poison Nova	8	6																									0
Runeword192	Poisonous	1		weap	glov									ggb	ggb					hit-skill	Poison Nova	10	8																									0
Runeword193	Poisonous	1		weap										gcg	gcg	gcg				hit-skill	Poison Nova	6	3																									0
Runeword194	Poisonous	1		weap										gfg	gfg	gfg				hit-skill	Poison Nova	7	4																									0
Runeword195	Poisonous	1		weap										gsg	gsg	gsg				hit-skill	Poison Nova	8	5																									0
Runeword196	Poisonous	1		weap										glg	glg	glg				hit-skill	Poison Nova	9	6																									0
Runeword197	Poisonous	1		weap										gpg	gpg	gpg				hit-skill	Poison Nova	10	7																									0
Runeword198	Poisonous	1		weap										ggb	ggb	ggb				hit-skill	Poison Nova	12	9																									0
Runeword199	Poisonous	1		weap										gcg	gcg	gcg	gcg			hit-skill	Poison Nova	8	4																									0
Runeword200	Poisonous	1		weap										gfg	gfg	gfg	gfg			hit-skill	Poison Nova	9	5																									0
Runeword201	Poisonous	1		weap										gsg	gsg	gsg	gsg			hit-skill	Poison Nova	10	6																									0
Runeword202	Poisonous	1		weap										glg	glg	glg	glg			hit-skill	Poison Nova	11	7																									0
Runeword203	Poisonous	1		weap										gpg	gpg	gpg	gpg			hit-skill	Poison Nova	12	8																									0
Runeword204	Poisonous	1		weap										ggb	ggb	ggb	ggb			hit-skill	Poison Nova	14	10																									0
Runeword205	Poisonous	1		weap										gcg	gcg	gcg	gcg	gcg		hit-skill	Poison Nova	10	5																									0
Runeword206	Poisonous	1		weap										gfg	gfg	gfg	gfg	gfg		hit-skill	Poison Nova	11	6																									0
Runeword207	Poisonous	1		weap										gsg	gsg	gsg	gsg	gsg		hit-skill	Poison Nova	12	7																									0
Runeword208	Poisonous	1		weap										glg	glg	glg	glg	glg		hit-skill	Poison Nova	13	8																									0
Runeword209	Poisonous	1		weap										gpg	gpg	gpg	gpg	gpg		hit-skill	Poison Nova	14	9																									0
Runeword210	Poisonous	1		weap										ggb	ggb	ggb	ggb	ggb		hit-skill	Poison Nova	16	11																									0
Runeword211	Poisonous	1		weap										gcg	gcg	gcg	gcg	gcg	gcg	hit-skill	Poison Nova	12	6																									0
Runeword212	Poisonous	1		weap										gfg	gfg	gfg	gfg	gfg	gfg	hit-skill	Poison Nova	13	7																									0
Runeword213	Poisonous	1		weap										gsg	gsg	gsg	gsg	gsg	gsg	hit-skill	Poison Nova	14	8																									0
Runeword214	Poisonous	1		weap										glg	glg	glg	glg	glg	glg	hit-skill	Poison Nova	15	9																									0
Runeword215	Poisonous	1		weap										gpg	gpg	gpg	gpg	gpg	gpg	hit-skill	Poison Nova	16	10																									0
Runeword216	Poisonous	1		weap										ggb	ggb	ggb	ggb	ggb	ggb	hit-skill	Poison Nova	18	12																									0
Runeword217	Deadly	1		tors	shld	helm	boot	belt						gcr						gethit-skill	Iron Maiden	2	1																									0
Runeword218	Deadly	1		tors	shld	helm	boot	belt						gfr						gethit-skill	Iron Maiden	3	2																									0
Runeword219	Deadly	1		tors	shld	helm	boot	belt						gsr						gethit-skill	Iron Maiden	4	3																									0
Runeword220	Deadly	1		tors	shld	helm	boot	belt						glr						gethit-skill	Iron Maiden	5	4																									0
Runeword221	Deadly	1		tors	shld	helm	boot	belt						gpr						gethit-skill	Iron Maiden	6	5																									0
Runeword222	Deadly	1		tors	shld	helm	boot	belt						grb						gethit-skill	Iron Maiden	8	7																									0
Runeword223	Deadly	1		tors	shld	helm	boot	belt						gcr	gcr					gethit-skill	Iron Maiden	4	2																									0
Runeword224	Deadly	1		tors	shld	helm	boot	belt						gfr	gfr					gethit-skill	Iron Maiden	5	3																									0
Runeword225	Deadly	1		tors	shld	helm	boot	belt						gsr	gsr					gethit-skill	Iron Maiden	6	4																									0
Runeword226	Deadly	1		tors	shld	helm	boot	belt						glr	glr					gethit-skill	Iron Maiden	7	5																									0
Runeword227	Deadly	1		tors	shld	helm	boot	belt						gpr	gpr					gethit-skill	Iron Maiden	8	6																									0
Runeword228	Deadly	1		tors	shld	helm	boot	belt						grb	grb					gethit-skill	Iron Maiden	10	8																									0
Runeword229	Deadly	1		tors	shld	helm								gcr	gcr	gcr				gethit-skill	Iron Maiden	6	3																									0
Runeword230	Deadly	1		tors	shld	helm								gfr	gfr	gfr				gethit-skill	Iron Maiden	7	4																									0
Runeword231	Deadly	1		tors	shld	helm								gsr	gsr	gsr				gethit-skill	Iron Maiden	8	5																									0
Runeword232	Deadly	1		tors	shld	helm								glr	glr	glr				gethit-skill	Iron Maiden	9	6																									0
Runeword233	Deadly	1		tors	shld	helm								gpr	gpr	gpr				gethit-skill	Iron Maiden	10	7																									0
Runeword234	Deadly	1		tors	shld	helm								grb	grb	grb				gethit-skill	Iron Maiden	12	9																									0
Runeword235	Deadly	1		tors	shld	helm								gcr	gcr	gcr	gcr			gethit-skill	Iron Maiden	8	4																									0
Runeword236	Deadly	1		tors	shld	helm								gfr	gfr	gfr	gfr			gethit-skill	Iron Maiden	9	5																									0
Runeword237	Deadly	1		tors	shld	helm								gsr	gsr	gsr	gsr			gethit-skill	Iron Maiden	10	6																									0
Runeword238	Deadly	1		tors	shld	helm								glr	glr	glr	glr			gethit-skill	Iron Maiden	11	7																									0
Runeword239	Deadly	1		tors	shld	helm								gpr	gpr	gpr	gpr			gethit-skill	Iron Maiden	12	8																									0
Runeword240	Deadly	1		tors	shld	helm								grb	grb	grb	grb			gethit-skill	Iron Maiden	14	10																									0
Runeword241	Deadly	1		tors										gcr	gcr	gcr	gcr	gcr		gethit-skill	Iron Maiden	10	5																									0
Runeword242	Deadly	1		tors										gfr	gfr	gfr	gfr	gfr		gethit-skill	Iron Maiden	11	6																									0
Runeword243	Deadly	1		tors										gsr	gsr	gsr	gsr	gsr		gethit-skill	Iron Maiden	12	7																									0
