state	id	group	remhit	nosend	transform	aura	curable	curse	active	immed	restrict	disguise	blue	attblue	damblue	armblue	rfblue	rlblue	rcblue	stambarblue	rpblue	attred	damred	armred	rfred	rlred	rcred	rpred	exp	plrstaydeath	monstaydeath	bossstaydeath	hide	shatter	udead	life	green	pgsv	nooverlays	noclear	bossinv	meleeonly	notondead	overlay1	overlay2	overlay3	overlay4	pgsvoverlay	castoverlay	removerlay	stat	setfunc	remfunc	missile	skill	itemtype	itemtrans	colorpri	colorshift	light-r	light-g	light-b	onsound	offsound	gfxtype	gfxclass	cltevent	clteventfunc	cltactivefunc	srvactivefunc	eol
progressive_damage	122																																					1										progressive_damage_1			progressive_damage	1	1																		0
progressive_steal	123																																					1										progressive_steal_1			progressive_steal	1	1																		0
progressive_other	124																																					1										progressive_other_1			progressive_other	1	1																		0
progressive_fire	125																																					1										progressive_fire_1			progressive_fire	1	1																		0
progressive_cold	126																																					1										progressive_cold_1			progressive_cold	1	1																		0
progressive_lightning	127																																					1										progressive_lightning_1			progressive_lightning	1	1																		0
shrine_armor	128															1																												shrine_armor	shrine_shimmer00						armorclass																				0
shrine_combat	129													1	1																													shrine_combat	shrine_shimmer00						tohit																				0
shrine_resist_lightning	130																	1																										shrine_resist_lightning	shrine_shimmer01						lightresist																				0
shrine_resist_fire	131																1																											shrine_resist_fire	shrine_shimmer00						fireresist																				0
shrine_resist_cold	132																		1																									shrine_resist_cold	shrine_shimmer01						coldresist																				0
shrine_resist_poison	133																				1																							shrine_resist_poison	shrine_shimmer01						poisonresist																				0
shrine_skill	134																																											shrine_skill	shrine_shimmer00							9	6																		0
shrine_mana_regen	135																																											shrine_mana_regen	shrine_shimmer01																										0
shrine_stamina	136																			1																								shrine_stamina	shrine_shimmer01						stamina																				0
shrine_experience	137																																											shrine_experience	shrine_shimmer00																										0
fenris_rage	138																																											direwolfcharged	direwolfcharged																										0
wolf	139	3			1						1	1		1																												1										14											druid_morph	druid_morph	1	430					0
bear	140	3			1						1	1			1	1																										1										14											druid_morph	druid_morph	1	431					0
bloodlust	141							1																																				bloodlust_state	bloodlust_state																										0
changeclass	142																																																			5																			0
attached	143								1																						1	1			1																	13	9																88	147	0
hurricane	144								1																																											7	4																90	145	0
armageddon	145																																																																					146	0
invis	146																																																			12	8																		0
barbs	147					1																																							spirit_of_barbs																										0
wolverine	148					1								1	1																														heart_of_wolverine						item_tohit_percent																				0
oaksage	149					1																																							oak_sage																										0
vine_beast	150								1																																											11																	89		0
cyclonearmor	151																																						1	1				cyclonearmor1front	cyclonearmor2front	cyclonearmor3front						8	5																		0
clawmastery	152																																																																						0
cloak_of_shadows	153		1													1																																															assassin_cloakofdarkness								0
recycled	154																														1	1	1		1																																				0
weaponblock	155																																																																						0
cloaked	156							1																1																				cloaked							skill_armor_percent																				0
quickness	157	2				1																																						quickness							attackrate																				0
bladeshield	158																																											bladeshield																											0
fade	159	2															1	1	1		1																							fade							poisonresist																				0
summonresist	160			1																																																																			0
oaksagecontrol	161					1																																																																	0
wolverinecontrol	162					1																																																																	0
barbscontrol	163					1																																																																	0
debugcontrol	164																																																																						0
itemset1	165																																																																						0
itemset2	166																																																																						0
itemset3	167																																																																						0
itemset4	168																																																																						0
itemset5	169																																																																						0
itemset6	170			1																																																																			0
runeword	171			1																																																																			0
restinpeace	172																														1	1			1								1									17		redemption									paladin_redeemed_soul								0
corpseexp	173																														1	1	1		1								1									18		corpseexplosion									necromancer_corpseexp_1								0
whirlwind	174																																											whirlwind																											0
fullsetgeneric	175																																											aura_fanatic																											0
monsterset	176	3			1							1																																					fire_cast_2																1	135					0
delerium	177	3			1							1																																					teleport	teleport															1	212					0
antidote	178																				1																																																		0
thawing	179																		1																																																				0
staminapot	180																			1																																																			0
passive_resistfire	181																																																																						0
passive_resistcold	182																																																																						0
passive_resistltng	183																																																																						0
morphcancel	184																																																																						0
slackeffect	185						1	1																	1	1	1	1																slackeffect					curse_hit		item_slow													object_barrel_explode							0
eshiftdebuff	186						1																																					eshiftoverlay					curse_hit		item_tohit_percent												impact_bluemotize_1	object_barrel_explode							0
coldembr	187																		1																									coldembraceover							coldresist												impact_bluemotize_1	object_barrel_explode						146	0
magictowerstate	188										1																																																												0
pested	189																																																																						0
behemothed	190	2				1																																						behestart							damageresist													object_barrel_explode							0
rottingmiss	191						1	1																																				flash							item_stupidity												paladin_holyshield								0
doubledtroubledkekw	192																																											charmoverlay														23	1	255	99	99		object_barrel_explode						146	0
unused1943	193																																																																						0
tyraelset	194																																											multigleam	halo																										0
unused195	195																																																																						0
unused196	196																																																																						0
unused197	197																																																																						0
unused198	198																																																																						0
unused199	199																																																																						0
paralyze	200						1	1																																																		100	105	255	255	255									0
eagleeye	201	2																																										quickness							attackrate																				0
elemmastery	202																																																																						0
lowerpois	203						1	1																	1	1	1	1																poisonsparks					curse_hit		poisonresist																				0
aerialshield	204	2														1																												frenzy							toblock																				0
timestop	205												1																																													106	74	255	255	255	impact_bluemotize_1								0
arrowofconfession	206															1																																			item_restinpeace																				0
divineaura	207																																											aura_of_divinity																			paladin_aura_sanctuary								0
sacredpiercer	208															1																																			item_pierce																				0
elemcry	209							1							1	1																												aura_elemcry							coldresist												barbarian_battlecry_state								0
finditem	210																																																		item_magicbonus																				0
strengthancients	211																																																																						0
cowballoon	212				1							1																			1	1	1		1						1																								1	391					0
ironclaws	213															1																																			skill_armor_percent																				0
shadearmor	214	2														1																												shade							item_armor_percent																				0
sthunderstorm	215																																											sthunderstormfront	sthunderstormback				sthunderstormcast																						0
commandmastery	216																																																																						0
unused217	217																																																																						0
unused218	218																																																																						0
unused219	219																																																																						0
horrificass	220																																																																						0
athenaed	221					1																																						athenapresence																			paladin_aura_purification								0
bearedgrowl	222					1			1																																			bearfire																			beared_cast								0
cragged	223																																																																						0
lpiercebuff	224																																																															object_barrel_explode							0
battlemage	225																																																																						0
specshield	226																																											spectralshieldover							normal_damage_reduction													object_barrel_explode						146	0
reflexes	227																																																																						0
redcolor	228																														1	1																										85	100	255	255	255									0
iceshocked	229					1				1																																		bluestaminafront	bluestaminaback																		object_shrine_evaporate								0
holyfirew	230					1																																						aura_holyfire_front	aura_holyfire_back																		paladin_aura_holyfire								0
holyfireh	231					1																																						aura_holyfire_front	aura_holyfire_back																		paladin_aura_holyfire								0
holyfiret	232					1																																						aura_holyfire_front	aura_holyfire_back																		paladin_aura_holyfire								0
holyfires	233					1																																						aura_holyfire_front	aura_holyfire_back																		paladin_aura_holyfire								0
holywindw	234					1																																						holyfreeze																			impact_bluemotize_1								0
holywindh	235					1																																						holyfreeze																			impact_bluemotize_1								0
holywindt	236					1																																						holyfreeze																			impact_bluemotize_1								0
holywinds	237					1																																						holyfreeze																			impact_bluemotize_1								0
holyshockw	238					1																																						holyshockfront	holyshockback						lightmaxdam												paladin_aura_holylight								0
holyshockh	239					1																																						holyshockfront	holyshockback						lightmaxdam												paladin_aura_holylight								0
holyshockt	240					1																																						holyshockfront	holyshockback						lightmaxdam												paladin_aura_holylight								0
holyshocks	241					1																																						holyshockfront	holyshockback						lightmaxdam												paladin_aura_holylight								0
damagebonus	242																																																																						0
baal_curse	243						1	1																1																				defense_curse							skill_armor_percent																				0
blackcolor	244																														1	1																										85	73	255	255	255									0
gold	245																														1	1																										85	102	255	255	255									0
copper	246																														1	1																										85	101	215	215	215									0
cancelcres	247					1																																						cancelcres																			paladin_aura_purification								0
poverty	248					1																																						poverty																			paladin_aura_sanctuary								0
cancelfres	249					1																																						cancelfres																			paladin_aura_purification								0
stoned	250						1																																										curse_hit									85	74	255	255	255	necromancer_decrepify								0
damagebonus3	251																																																																						0
sacrifice	252															1																																			normal_damage_reduction							85	100	255	255	255									0
passiveaura	253																																																																						0
