id	Name	Rare	Lvl	Req Lvl	Rarity	Stats	Item Type
40	of Burning	1	25 - 50	27	16	fire-min (8 - 15) fire-max (38 - 75) 	weap
41	of Incineration	1	34	39	16	fire-min (16 - 30) fire-max (76 - 150) 	mele
42	of Wildfire		50	51	16	fire-min (31 - 60) fire-max (151 - 300) 	mele
43	of Shock	1	4 - 25	3	16	ltng-min (1 - 1) ltng-max (5 - 16) 	weap amul ring boot
44	of Lightning	1	15 - 34	15	16	ltng-min (1 - 1) ltng-max (17 - 50) 	weap amul ring boot
45	of Thunder	1	25 - 50	27	16	ltng-min (1 - 1) ltng-max (51 - 100) 	weap
46	of Storms	1	34	39	16	ltng-min (1 - 1) ltng-max (101 - 200) 	mele
47	of Arcing		50	51	16	ltng-min (1 - 1) ltng-max (201 - 400) 	mele
48	of Blight	1	4 - 25	3	16	50 dmg-pois (103 - 103)  	weap circ amul ring
49	of Venom	1	15 - 34	15	16	75 dmg-pois (137 - 137)  	weap circ
50	of Pestilence	1	25 - 50	27	16	100 dmg-pois (205 - 205)  	weap circ
51	of Anthrax	1	34	39	16	125 dmg-pois (328 - 328)  	mele
52	of Toxin		50	51	16	150 dmg-pois (547 - 547)  	mele
53	of Worth	1	1 - 12	3	14	dmg-min (1 - 1)  20	weap amul ring circ tors   staf
54	of Measure	1	12 - 24	15	14	dmg-min (2 - 3)  40	weap amul ring circ    staf
55	of Excellence	1	24 - 48	27	14	dmg-min (4 - 6)  80	weap amul ring circ    staf
56	of Performance	1	48	39	14	dmg-min (7 - 12)  160	weap amul ring circ    staf
57	of Transcendence	1	76	51	14	dmg-min (13 - 20)  320	weap amul      staf
58	of Craftsmanship	1	1 - 24	1	18	dmg-max (1 - 2)  	weap circ amul ring helm shld  staf
59	of Quality	1	5 - 32	5	18	dmg-max (3 - 4)  	weap circ amul ring helm shld  staf
60	of Maiming	1	8 - 40	8	18	dmg-max (5 - 7)  	weap circ      staf
61	of Slaying	1	14 - 48	14	18	dmg-max (8 - 12)  	weap circ      staf
62	of Gore	1	22 - 56	22	18	dmg-max (13 - 20)  	weap circ      staf
63	of Carnage	1	30 - 64	30	18	dmg-max (21 - 30)  	weap       staf
64	of Slaughter	1	38	38	18	dmg-max (31 - 40)  	weap       staf
65	of Butchery	1	46	46	18	dmg-max (41 - 55)  	weap       staf
66	of Evisceration	1	54	54	18	dmg-max (56 - 80)  	weap       staf
67	of Remedy	1	7 - 25	5	18	res-pois-len (25 - 25)  	amul ring armo
68	of Amelioration	1	18	13	18	res-pois-len (50 - 50)  	amul ring armo
69	of Defiance	1	25	18	18	res-pois-len (75 - 75)  	amul helm tors shld
70	of Warmth	1	10	7	20	half-freeze (1 - 1)  	amul ring armo
71	of Balance	1	5	3	20	balance1 (10 - 10)  	armo
72	of Equilibrium	1	9	6	20	balance2 (17 - 17)  	tors belt shld
73	of Stability	1	18	13	20	balance3 (24 - 24)  	tors belt
74	of Pacing	1	2 - 37	1	20	move1 (10 - 10)  	boot circ
75	of Haste	1	22	16	20	move2 (20 - 20)  	boot circ
76	of Speed	1	37	29	20	move3 (30 - 30)  	boot circ
77	of Acceleration		51	43	20	move3 (40 - 40)  	boot
78	of Traveling		65	57	20	move3 (30 - 30) stamdrain (80 - 90) 	boot
79	of Regeneration	1	25	7	20	regen (5 - 10)  	armo scep staf wand amul ring
80	of Regrowth	1	36	12	20	regen (10 - 15)  	armo scep staf wand amul ring
81	of Revivification	1	65	30	20	regen (15 - 20)  	armo scep staf wand amul
82	of Vileness	1	9	6	18	noheal (1 - 1)  	mele
83	of Greed	1	15 - 50	12	20	gold% (10 - 20)  	amul circ boot glov ring
84	of Greed	1	27	24	20	gold% (21 - 40)  	amul circ boot glov ring
85	of Greed	1	35	32	20	gold% (41 - 60)  	amul circ boot
86	of Fortune	1	15 - 50	12	20	mag% (7 - 15)  	amul circ boot glov ring
87	of Fortune	1	27	24	20	mag% (16 - 30)  	amul circ boot glov ring
88	of Fortune	1	35	32	20	mag% (31 - 45)  	amul circ boot
89	of Riches	1	50	48	20	mag% (16 - 30) gold% (21 - 40) 	amul circ boot
90	of Ease	1	15	11	18	ease (-20 - -20)  	weap helm tors shld
91	of Simplicity	1	25	18	18	ease (-30 - -30)  	weap helm tors shld
92	of Alleviation	1	35	25	18	ease (-40 - -40)  	weap helm tors shld
93	of the Bear	1	8 - 50	6	18	knock (1 - 1)  	mele       staf
94	of Light	1	6 - 15	4	14	light (1 - 1) 2 att/lvl 	amul ring armo
95	of Radiance	1	15 - 17	11	14	light (3 - 3) 6 att/lvl 	amul ring helm glov
96	of the Sun	1	17 - 25	12	14	light (5 - 5) 10 att/lvl 	amul ring helm
97	of the Jackal	1	1 - 7	1	24	hp (1 - 5)  	amul ring armo staf wand
98	of the Fox	1	7 - 15	5	24	hp (6 - 10)  	amul ring armo staf wand
99	of the Wolf	1	15 - 20	11	24	hp (11 - 20)  	amul ring armo staf wand
100	of the Tiger	1	20 - 25	15	24	hp (21 - 30)  	amul ring armo staf wand
101	of the Mammoth	1	25	18	24	hp (31 - 40)  	amul ring armo staf wand
102	of the Colossus	1	30	22	24	hp (41 - 60)  	amul helm tors belt shld
103	of the Squid	1	40	30	24	hp (61 - 80)  	amul helm tors belt
104	of the Whale	1	50	37	24	hp (81 - 100)  	amul helm tors belt
105	of the Leech	1	6	4	22	lifesteal (4 - 6)  	weap amul ring circ glov
106	of the Locust	1	20	15	22	lifesteal (7 - 9)  	weap amul ring circ
107	of the Lamprey	1	55	43	22	lifesteal (10 - 12)  	mele
108	of the Bat	1	7	4	22	manasteal (4 - 6)  	weap amul ring circ glov
109	of the Wraith	1	21	16	22	manasteal (7 - 9)  	weap amul ring circ
110	of the Vampire	1	56	48	22	manasteal (10 - 12)  	mele
111	of Strength	1	1 - 10	1	18	str (1 - 3)  	amul ring armo mele
112	of Might	1	10 - 26	8	18	str (4 - 6)  	amul ring armo mele
113	of the Ox	1	26 - 42	19	18	str (7 - 10)  	amul ring armo mele
114	of the Giant	1	42 - 58	34	18	str (11 - 15)  	amul ring armo mele
115	of the Titan	1	58	50	18	str (16 - 20)  	amul helm tors belt mele ring
116	of Atlus	1	71	63	18	str (21 - 30)  	amul helm tors belt mele
117	of Atlus	1	71	63	18	str (31 - 40)  	tors
118	of Dexterity	1	1 - 10	1	18	dex (1 - 3)  	amul miss helm tors glov ring boot
119	of Skill	1	10 - 26	8	18	dex (4 - 6)  	amul miss helm tors glov ring boot
120	of Accuracy	1	26 - 42	19	18	dex (7 - 10)  	amul miss helm tors glov ring boot
121	of Precision	1	42 - 58	34	18	dex (11 - 15)  	amul miss helm tors glov ring boot
122	of Perfection	1	58	50	18	dex (16 - 20)  	amul miss helm tors glov ring boot
123	of Nirvana	1	71	63	18	dex (21 - 30)  	amul miss helm tors glov
124	of Nirvana	1	71	63	18	dex (31 - 40)  	tors
125	of Energy	1	1 - 10	1	12	enr (1 - 3)  	amul helm staf tors wand ring
126	of the Mind	1	10 - 26	8	12	enr (4 - 6)  	amul helm staf tors wand ring
127	of Brilliance	1	26 - 42	19	12	enr (7 - 10)  	amul helm staf tors wand ring
128	of Sorcery	1	42 - 58	34	12	enr (11 - 15)  	amul helm staf tors wand ring
129	of Wizardry	1	58	50	12	enr (16 - 20)  	amul helm staf tors wand ring
130	of Enlightenment	1	71	63	12	enr (21 - 30)  	amul circ staf tors wand
131	of Enlightenment	1	71	63	12	enr (31 - 40)  	tors
132	of Shielding	1	30 - 50	20	12	res-all (5 - 10) res-all-max (1 - 2) 	helm tors shld belt staf wand
133	of Shielding	1	50 - 70	35	12	res-all (10 - 15) res-all-max (2 - 3) 	helm tors shld belt staf wand
134	of Shielding	1	70	50	12	res-all (15 - 20) res-all-max (3 - 4) 	helm tors shld belt staf wand
135	of Shielding	1	90	65	12	res-all (20 - 25) res-all-max (4 - 5) 	helm tors shld  staf wand
136	of Self-Repair	1	3	1	18	3 rep-dur  	mele armo      thro
137	of Fast Repair	1	20	12	18	5 rep-dur  	mele armo      thro
138
139	of the Kraken	1	37	1	14	6 hp/lvl  	amul circ pelt phlm tors
140	of the Watcher	1	37	1	14	8 hp/lvl  	amul circ pelt phlm tors
141	of Memory	1	37	1	14	6 mana/lvl  	amul circ
142	of the Elephant	1	37	1	14	3 hp/lvl 3 mana/lvl 	amul circ
143	of the Mumakil	1	37	1	14	6 hp/lvl 6 mana/lvl 	amul circ
144	of Power	1	37	1	14	4 str/lvl  	amul circ pelt phlm tors
145	of Grace	1	37	1	14	4 dex/lvl  	amul circ
146	of Grace and Power	1	37	1	14	2 str/lvl 2 dex/lvl 	amul circ
147	of the Yeti	1	25	1	14	4 res-cold/lvl  	amul ring helm tors
148	of the Phoenix	1	25	1	14	4 res-fire/lvl  	amul ring helm tors
149	of the Efreeti	1	25	1	14	4 res-ltng/lvl  	amul ring helm tors
150	of the Cobra	1	25	1	14	4 res-pois/lvl  	amul ring helm tors
151	of the Elements	1	50	1	14	2 res-cold/lvl 2 res-fire/lvl 2 res-ltng/lvl	amul ring helm tors
152	of the Saint	1	15 - 18	12	16	dmg-demon (125 - 125) dmg-undead (125 - 125) 	weap       staf
153	of the Heavens	1	25 - 30	20	16	dmg-demon (150 - 150) dmg-undead (150 - 150) 	weap       staf
154	of the Arctic	1	90	75	14	freeze (1 - 1) nofreeze (1 - 1) 	weap       staf
155	of Fire Ball	1	12 - 36	10	2	Fire Ball hit-skill (5 - 5)  	weap       staf
156	of Fire Ball	1	24 - 48	20	2	Fire Ball hit-skill (5 - 10)  	weap       staf
157	of Fire Ball	1	36 - 60	30	2	Fire Ball hit-skill (10 - 15)  	weap       staf
158	of Fire Ball	1	48	40	2	Fire Ball hit-skill (15 - 20)  	mele       staf
159	of Fire Ball	1	60	50	2	Fire Ball hit-skill (20 - 40)  	mele       staf
160	of Fire Balls	1	12 - 36	10	2	Fireballs hit-skill (5 - 10)  	weap       staf
161	of Fire Balls	1	24 - 48	20	2	Fireballs hit-skill (10 - 15)  	weap       staf
162	of Fire Balls	1	36	30	2	Fireballs hit-skill (15 - 20)  	weap       staf
163	of Fire Bolts	1	12 - 36	10	2	Firebolts hit-skill (5 - 10)  	weap       staf
164	of Fire Bolts	1	24 - 48	20	2	Firebolts hit-skill (10 - 15)  	mele       staf
165	of Fire Bolts	1	36	30	2	Firebolts hit-skill (15 - 20)  	mele       staf
166	of Lightning	1	12 - 36	10	2	Lightning hit-skill (5 - 5)  	weap       staf
167	of Lightning	1	24 - 48	20	2	Lightning hit-skill (5 - 10)  	weap       staf
168	of Lightning	1	36 - 60	30	2	Lightning hit-skill (10 - 15)  	weap       staf
169	of Lightning	1	48	40	2	Lightning hit-skill (15 - 20)  	mele       staf
170	of Lightning	1	60	50	2	Lightning hit-skill (20 - 40)  	mele       staf
171	of Chain Lightning	1	12 - 36	10	2	Chain Lightning hit-skill (5 - 5)  	weap       staf
172	of Chain Lightning	1	24 - 48	20	2	Chain Lightning hit-skill (5 - 10)  	weap       staf
173	of Chain Lightning	1	36 - 60	30	2	Chain Lightning hit-skill (10 - 15)  	weap       staf
174	of Chain Lightning	1	48	40	2	Chain Lightning hit-skill (15 - 20)  	mele       staf
175	of Chain Lightning	1	60	50	2	Chain Lightning hit-skill (20 - 40)  	mele       staf
176	of Glacial Spike	1	12 - 36	10	2	Glacial Spike hit-skill (5 - 5)  	weap       staf
177	of Glacial Spike	1	24 - 48	20	2	Glacial Spike hit-skill (5 - 10)  	weap       staf
178	of Glacial Spike	1	36 - 60	30	2	Glacial Spike hit-skill (10 - 15)  	weap       staf
179	of Glacial Spike	1	48	40	2	Glacial Spike hit-skill (15 - 20)  	mele       staf
180	of Glacial Spike	1	60	50	2	Glacial Spike hit-skill (20 - 40)  	mele       staf
181	of Frozen Orb	1	12 - 36	10	2	ctcFrozen Orb hit-skill (5 - 5)  	weap       staf
182	of Frozen Orb	1	24 - 48	20	2	ctcFrozen Orb hit-skill (5 - 10)  	weap       staf
183	of Frozen Orb	1	36 - 60	30	2	ctcFrozen Orb hit-skill (10 - 15)  	weap       staf
184	of Frozen Orb	1	48	40	2	ctcFrozen Orb hit-skill (15 - 20)  	mele       staf
185	of Frozen Orb	1	60	50	2	ctcFrozen Orb hit-skill (20 - 40)  	mele       staf
186	of Icebolt	1	12 - 36	10	2	Ice Bolt hit-skill (5 - 5)  	weap       staf
187	of Icebolt	1	24 - 48	20	2	Ice Bolt hit-skill (5 - 10)  	weap       staf
188	of Icebolt	1	36 - 60	30	2	Ice Bolt hit-skill (10 - 15)  	weap       staf
189	of Icebolt	1	48	40	2	Ice Bolt hit-skill (15 - 20)  	mele       staf
190	of Icebolt	1	60	50	2	Ice Bolt hit-skill (20 - 40)  	mele       staf
191	of Immolation	1	12 - 36	10	2	Nova hit-skill (5 - 5)  	weap       staf
192	of Immolation	1	24 - 48	20	2	Nova hit-skill (5 - 10)  	weap       staf
193	of Immolation	1	36 - 60	30	2	Nova hit-skill (10 - 15)  	weap       staf
194	of Immolation	1	48	40	2	Nova hit-skill (15 - 20)  	mele       staf
195	of Immolation	1	60	50	2	Nova hit-skill (20 - 40)  	mele       staf
196	of Meteor	1	12 - 36	10	2	ctcMeteor hit-skill (5 - 5)  	weap       staf
197	of Meteor	1	24 - 48	20	2	ctcMeteor hit-skill (5 - 10)  	weap       staf
198	of Meteor	1	36 - 60	30	2	ctcMeteor hit-skill (10 - 15)  	weap       staf
199	of Meteor	1	48	40	2	ctcMeteor hit-skill (15 - 20)  	mele       staf
200	of Meteor	1	60	50	2	ctcMeteor hit-skill (20 - 40)  	mele       staf
201	of Blizzard	1	12 - 36	10	2	ctcBlizzard hit-skill (5 - 5)  	weap       staf
202	of Blizzard	1	24 - 48	20	2	ctcBlizzard hit-skill (5 - 10)  	weap       staf
203	of Blizzard	1	36 - 60	30	2	ctcBlizzard hit-skill (10 - 15)  	weap       staf
204	of Blizzard	1	48	40	2	ctcBlizzard hit-skill (15 - 20)  	mele       staf
205	of Blizzard	1	60	50	2	ctcBlizzard hit-skill (20 - 40)  	mele       staf
206	of Damage Amplification	1	12 - 36	10	2	Amplify Damage hit-skill (5 - 4)  	weap amul ring arrm boqm   staf
207	of Damage Amplification	1	24 - 48	20	2	Amplify Damage hit-skill (6 - 5)  	weap amul ring arrm boqm   staf
208	of Damage Amplification	1	36 - 60	30	2	Amplify Damage hit-skill (7 - 6)  	weap amul ring arrm boqm   staf
209	of Damage Amplification	1	48	40	2	Amplify Damage hit-skill (8 - 7)  	mele amul ring arrm boqm   staf
210	of Damage Amplification	1	60	50	2	Amplify Damage hit-skill (9 - 8)  	mele amul ring arrm boqm   staf
211	of Charged Shield	1	12 - 36	10	2	Charged Bolt gethit-skill (6 - 8)  	armo staf wand
212	of Charged Shield	1	24 - 48	20	2	Charged Bolt gethit-skill (7 - 15)  	armo staf wand
213	of Charged Shield	1	36 - 60	30	2	Charged Bolt gethit-skill (9 - 20)  	armo staf wand
214	of Charged Shield	1	48	40	2	Charged Bolt gethit-skill (10 - 25)  	armo staf wand
215	of Charged Shield	1	60	50	2	Charged Bolt gethit-skill (12 - 30)  	armo staf wand
216	of Frozen Armor	1	12 - 36	10	2	Frozen Armor gethit-skill (6 - 5)  	armo staf wand
217	of Frozen Armor	1	24 - 48	20	2	Frozen Armor gethit-skill (7 - 10)  	armo staf wand
218	of Frozen Armor	1	36 - 60	30	2	Frozen Armor gethit-skill (9 - 15)  	armo staf wand
219	of Frozen Armor	1	48	40	2	Frozen Armor gethit-skill (10 - 20)  	armo staf wand
220	of Frozen Armor	1	60	50	2	Frozen Armor gethit-skill (12 - 25)  	armo staf wand
221	of Static Field	1	12 - 36	10	2	Static Field gethit-skill (6 - 5)  	armo staf wand
222	of Static Field	1	24 - 48	20	2	Static Field gethit-skill (7 - 10)  	armo staf wand
223	of Static Field	1	36 - 60	30	2	Static Field gethit-skill (9 - 15)  	armo staf wand
224	of Static Field	1	48	40	2	Static Field gethit-skill (10 - 20)  	armo staf wand
225	of Static Field	1	60	50	2	Static Field gethit-skill (12 - 25)  	armo staf wand
226	of Frost Shield	1	12 - 36	10	2	Frost Nova gethit-skill (6 - 5)  	armo staf wand
227	of Frost Shield	1	24 - 48	20	2	Frost Nova gethit-skill (7 - 10)  	armo staf wand
228	of Frost Shield	1	36 - 60	30	2	Frost Nova gethit-skill (9 - 15)  	armo staf wand
229	of Frost Shield	1	48	40	2	Frost Nova gethit-skill (10 - 20)  	armo staf wand
230	of Frost Shield	1	60	50	2	Frost Nova gethit-skill (12 - 25)  	armo staf wand
231	of Nova	1	12 - 36	10	2	Nova gethit-skill (6 - 5)  	armo staf wand
232	of Nova	1	24 - 48	20	2	Nova gethit-skill (7 - 10)  	armo staf wand
233	of Nova	1	36 - 60	30	2	Nova gethit-skill (9 - 15)  	armo staf wand
234	of Nova	1	48	40	2	Nova gethit-skill (10 - 20)  	armo staf wand
235	of Nova	1	60	50	2	Nova gethit-skill (12 - 25)  	armo staf wand
236	of Fire Armor	1	12 - 36	10	2	Shiver Armor gethit-skill (6 - 5)  	armo staf wand
237	of Fire Armor	1	24 - 48	20	2	Shiver Armor gethit-skill (7 - 10)  	armo staf wand
238	of Fire Armor	1	36 - 60	30	2	Shiver Armor gethit-skill (9 - 15)  	armo staf wand
239	of Fire Armor	1	48	40	2	Shiver Armor gethit-skill (10 - 20)  	armo staf wand
240	of Fire Armor	1	60	50	2	Shiver Armor gethit-skill (12 - 25)  	armo staf wand
241	of Shiver Armor	1	12 - 36	10	2	Chilling Armor gethit-skill (6 - 5)  	armo staf wand
242	of Shiver Armor	1	24 - 48	20	2	Chilling Armor gethit-skill (7 - 10)  	armo staf wand
243	of Shiver Armor	1	36 - 60	30	2	Chilling Armor gethit-skill (9 - 15)  	armo staf wand
244	of Shiver Armor	1	48	40	2	Chilling Armor gethit-skill (10 - 20)  	armo staf wand
245	of Shiver Armor	1	60	50	2	Chilling Armor gethit-skill (12 - 25)  	armo staf wand
246	of Hydra Shield	1	12 - 36	10	2	ctcHydra gethit-skill (6 - 5)  	armo staf wand
247	of Hydra Shield	1	24 - 48	20	2	ctcHydra gethit-skill (7 - 10)  	armo staf wand
248	of Hydra Shield	1	36 - 60	30	2	ctcHydra gethit-skill (9 - 15)  	armo staf wand
249	of Hydra Shield	1	48	40	2	ctcHydra gethit-skill (10 - 20)  	armo staf wand
250	of Hydra Shield	1	60	50	2	ctcHydra gethit-skill (12 - 25)  	armo staf wand
251	of the Tank	1	60	48	16	red-dmg% (8 - 15) 16 thorns/lvl (0 - 0) ac% (50 - 200)	tors shld
252	of Mastery	1	50	30	16	dmg-ac (-10 - -10) swing2 (10 - 10) dmg% (75 - 75)	weap       staf
253	of Grand Mastery	1	60	45	16	dmg-ac (-15 - -15) swing2 (20 - 20) dmg% (100 - 100)	weap       staf
254	of the Rainbow	1	30	25	12	cold-max (50 - 75) fire-max (50 - 75) ltng-max (50 - 75)	weap amul ring glov    staf
255	of the Rainbow	1	40	30	12	cold-max (76 - 125) fire-max (76 - 125) ltng-max (76 - 125)	weap       staf
256	of the Rainbow	1	50	40	12	cold-max (126 - 175) fire-max (126 - 175) ltng-max (126 - 175)	mele       staf
257	of the Rainbow		60	50	12	cold-max (176 - 250) fire-max (176 - 250) ltng-max (176 - 250)	mele       staf
258	of Replenishment	1	75	40	14	regen (25 - 25) regen-stam (25 - 25) 	staf wand
259	of Replenishment	1	85	40	14	regen (25 - 25) regen-stam (25 - 25) 	amul ring belt
260	of Targeting	1	35	28	18	deadly (15 - 15)  	weap amul ring     staf
261	of Mauling	1	35	28	18	crush (10 - 10)  	weap amul ring     staf
262	of Wounding	1	35	28	18	openwounds (20 - 20)  	weap amul ring     staf
263	of the Psyche	1	40	25	16	regen-mana (10 - 15)  	amul ring scep staf wand
264	of Sorcery	1	60	35	16	regen-mana (20 - 30)  	amul ring scep staf wand
265	of Skill Master	1	32	24	2	Dopplezon oskill (1 - 8)  	amul ring helm tors shld belt boot amaz
266	of Skill Master	1	40	30	2	Multiple Shot oskill (1 - 4)  	glov miss      amaz
267	of Skill Master	1	56	42	2	Killer Scythe oskill (1 - 12)  	glov 2hsw      necr
268	of Skill Master	1	40	30	4	Dodge oskill (1 - 8)  	amul ring helm tors    amaz
269	of Skill Master	1	48	36	2	Slow Missiles oskill (1 - 8) Inner Sight oskill (1 - 8) 	amul ring helm tors shld belt boot amaz
270	of Skill Master	1	48	36	2	Freezing Arrow oskill (1 - 12)  	glov miss      amaz
271	of Skill Master	1	56	42	2	Exploding Arrow oskill (1 - 12)  	glov miss      amaz
272	of Skill Master	1	56	42	2	Guided Arrow oskill (1 - 12)  	glov miss      amaz
273	of Skill Master	1	56	42	2	Lightning Strike oskill (1 - 12)  	glov mele      amaz
274	of Skill Master	1	72	54	2	Strafe oskill (1 - 12)  	glov miss      amaz
275	of Skill Master	1	72	54	2	Pierce oskill (1 - 8)  	glov miss thro     amaz
276	of Skill Master	1	72	54	2	Valkyrie oskill (1 - 8)  	amul ring helm tors shld belt boot amaz
277	of Skill Master	1	32	24	4	Frozen Armor oskill (1 - 16)  	amul ring helm tors shld belt boot sorc
278	of Skill Master	1	48	36	1	Teleport oskill (1 - 4)  	amul ring helm tors staf   sorc
279	of Skill Master	1	40	30	4	Enchant oskill (1 - 4)  	amul ring armo     sorc
280	of Skill Master	1	72	54	1	Fire Mastery oskill (1 - 4)  	amul ring helm tors    sorc
281	of Skill Master	1	72	54	1	Lightning Mastery oskill (1 - 4)  	amul ring helm tors    sorc
282	of Skill Master	1	72	54	1	Cold Mastery oskill (1 - 4)  	amul ring helm tors    sorc
283	of Skill Master	1	48	36	1	Amplify Damage oskill (1 - 8)  	amul ring helm tors    necr
284	of Skill Master	1	40	30	2	Clay Golem oskill (1 - 12) Golem Mastery oskill (1 - 8) 	amul ring helm tors shld belt boot necr
285	of Skill Master	1	40	30	2	Dim Vision oskill (1 - 8)  	amul ring helm tors pole   necr
286	of Skill Master	1	40	30	2	Confuse oskill (1 - 4)  	amul ring helm tors    necr
287	of Skill Master	1	48	36	2	Raise Skeleton oskill (1 - 8) Skeleton Mastery oskill (1 - 8) 	amul ring helm tors shld belt boot necr
288	of Skill Master	1	48	36	2	BloodGolem oskill (1 - 12) Golem Mastery oskill (1 - 8) 	amul ring helm tors shld belt boot necr
289	of Skill Master	1	72	54	1	Decrepify oskill (1 - 4)  	amul ring helm tors    necr
290	of Skill Master	1	64	48	2	FireGolem oskill (1 - 12) Golem Mastery oskill (1 - 8) 	amul ring helm tors shld belt boot necr
291	of Skill Master	1	72	54	2	Raise Skeletal Mage oskill (1 - 8) Skeleton Mastery oskill (1 - 8) 	amul ring helm tors shld belt boot necr
292
293	of Skill Master	1	32	24	3	Blessed Aim oskill (1 - 12)  	amul ring weap glov    pala
294	of Skill Master	1	32	24	3	Sanctuary oskill (1 - 12)  	amul ring weap glov    pala
295	of Skill Master	1	40	30	3	Defiance oskill (1 - 16)  	amul ring helm tors shld belt boot pala
296	of Skill Master	1	48	36	5	Zeal oskill (1 - 4)  	glov mele      pala
297	of Skill Master	1	48	36	2	Cleansing oskill (1 - 16)  	amul ring helm tors shld belt boot pala
298	of Skill Master	1	48	36	2	Holy Fire oskill (1 - 16)  	amul ring helm tors shld belt boot pala
299	of Skill Master	1	56	42	2	Vengeance oskill (1 - 12)  	glov mele      pala
300	of Skill Master	1	56	42	2	Holy Freeze oskill (1 - 16)  	amul ring helm tors shld belt boot pala
301	of Skill Master	1	56	42	2	Vigor oskill (1 - 12)  	amul ring helm tors shld belt boot pala
302	of Skill Master	1	56	42	3	Might oskill (1 - 16)  	amul ring weap glov    pala
303	of Skill Master	1	64	48	2	Meditation oskill (1 - 16)  	amul ring helm tors shld belt boot pala
304	of Skill Master	1	64	48	2	Holy Shock oskill (1 - 16)  	amul ring helm tors shld belt boot pala
305	of Skill Master	1	72	54	2	Salvation oskill (1 - 12)  	amul ring helm tors shld belt boot pala
306	of Skill Master	1	72	54	1	Fanaticism oskill (1 - 12)  	amul ring weap glov    pala
307
308	of Skill Master	1	32	24	3	Sword Mastery oskill (1 - 4)  	glov mele      barb
309
310
311
312	of Skill Master	1	32	24	3	Throwing Mastery oskill (1 - 4)  	glov thro      barb
313
314	of Skill Master	1	40	30	2	Shout oskill (1 - 12)  	amul ring helm tors spea   barb
315	of Skill Master	1	56	42	2	Iron Skin oskill (1 - 4)  	amul ring helm tors    barb
316	of Skill Master	1	56	42	2	Battle Orders oskill (1 - 12)  	amul ring helm tors spea   barb
317	of Skill Master	1	72	54	2	Berserk oskill (1 - 12)  	glov mele      barb
318	of Skill Master	1	72	54	2	Whirlwind oskill (1 - 8)  	glov mele      barb
