id	Name	Rare	Lvl	Req Lvl	Rarity	Stats	Item Type
32	Bronze	1	1 - 8	1	22	att (10 - 20)  	weap ring circ amul glov   staf
33	Iron	1	4 - 12	3	22	att (21 - 40)  	weap ring circ     staf
34	Steel	1	8 - 17	6	22	att (41 - 60)  	weap ring circ     staf
35	Silver	1	12 - 22	9	22	att (61 - 80)  	weap ring circ     staf
36	Gold	1	17 - 27	12	22	att (81 - 100)  	weap ring circ     staf
37	Platinum	1	22 - 32	16	22	att (101 - 120)  	weap ring circ     staf
38	Meteoric	1	27	20	22	att (121 - 150)  	weap ring      staf
39	Strange	1	32	24	22	att (151 - 300)  	weap       staf
40	Weird	1	37	27	22	att (301 - 450)  	weap       staf
41	Sharp	1	5 - 27	3	35	att (10 - 20) dmg% (10 - 20) 	weap       staf
42	Fine	1	12 - 38	9	35	att (21 - 40) dmg% (21 - 30) 	weap       staf
43	Warrior's	1	19 - 47	13	35	att (41 - 60) dmg% (31 - 40) 	weap       staf
44	Soldier's	1	27 - 56	19	35	att (61 - 80) dmg% (41 - 50) 	weap       staf
45	Knight's	1	38 - 63	30	35	att (81 - 100) dmg% (51 - 65) 	weap       staf
46	Lord's	1	47 - 69	39	35	att (101 - 120) dmg% (66 - 80) 	weap       staf
47	King's	1	56	48	35	att (121 - 150) dmg% (81 - 100) 	weap       staf
48	Master's	1	63	48	35	att (151 - 250) dmg% (101 - 150) 	weap       staf
49	Grandmaster's	1	69	61	35	att (251 - 300) dmg% (151 - 200) 	weap       staf
50	Glimmering	1	1 - 10	1	14	light (1 - 1) 2 att/lvl 	armo staf mana wand ring amul
51	Glowing	1	6 - 15	4	14	light (2 - 2) 4 att/lvl 	armo staf mana wand ring amul
52
53
54
55
56
57
58	Felicitous	1	5	3	18	mag% (5 - 12)  	ring amul circ staf wand mana
59	Fortuitous	1	12	8	18	mag% (13 - 20)  	ring amul circ staf wand mana
60	Lizard's	1	3 - 14	2	20	mana (3 - 5)  	staf wand ring amul armo mana
61	Snake's	1	6 - 20	4	20	mana (5 - 10)  	staf wand ring amul armo mana
62	Serpent's	1	14 - 24	10	20	mana (11 - 20)  	staf wand ring amul armo mana
63	Drake's	1	20 - 30	15	20	mana (21 - 30)  	staf wand ring amul armo mana
64	Dragon's	1	24 - 37	18	20	mana (31 - 40)  	staf wand ring amul armo mana
65	Wyrm's	1	30	22	20	mana (41 - 60)  	staf wand ring amul armo mana
66	Great Wyrm's	1	37	29	20	mana (61 - 90)  	staf wand ring amul armo mana
67	Bahamut's		45	37	20	mana (91 - 120)  	staf wand ring amul armo mana
68	Shimmering	1	6 - 28	4	22	res-all (3 - 7)  	amul circ ring
69	Rainbow	1	18 - 39	13	22	res-all (8 - 11)  	amul circ ring
70	Scintillating	1	28	21	22	res-all (12 - 15)  	amul circ ring
71	Prismatic	1	39	31	22	res-all (16 - 20)  	amul circ
72	Chromatic		50	42	22	res-all (21 - 30)  	amul circ
73	Shimmering	1	6 - 28	4	28	res-all (3 - 14)  	shld
74	Rainbow	1	18 - 39	13	28	res-all (15 - 22)  	shld
75	Scintillating	1	28	21	28	res-all (23 - 30)  	shld
76	Prismatic	1	39	31	28	res-all (31 - 40)  	shld
77	Chromatic		50	42	28	res-all (41 - 60)  	shld
78	Azure	1	5 - 30	3	18	res-cold (5 - 10)  	amul circ ring armo
79	Lapis	1	12 - 45	9	18	res-cold (11 - 20)  	amul circ ring armo
80	Cobalt	1	18	13	18	res-cold (21 - 30)  	amul circ ring armo
81	Sapphire	1	25	18	18	res-cold (31 - 40)  	amul circ boot
82	Crimson	1	5 - 30	3	18	res-fire (5 - 10)  	amul circ ring armo
83	Russet	1	12 - 45	9	18	res-fire (11 - 20)  	amul circ ring armo
84	Garnet	1	18	13	18	res-fire (21 - 30)  	amul circ ring armo
85	Ruby	1	25	18	18	res-fire (31 - 40)  	amul circ boot
86	Tangerine	1	5 - 30	3	18	res-ltng (5 - 10)  	amul circ ring armo
87	Ocher	1	12 - 45	9	18	res-ltng (11 - 20)  	amul circ ring armo
88	Coral	1	18	13	18	res-ltng (21 - 30)  	amul circ ring armo
89	Amber	1	25	18	18	res-ltng (31 - 40)  	amul circ boot
90	Beryl	1	5 - 30	3	18	res-pois (5 - 10)  	amul circ ring armo
91	Viridian	1	12 - 45	9	18	res-pois (11 - 20)  	amul circ ring armo
92	Jade	1	18	13	18	res-pois (21 - 30)  	amul circ ring armo
93	Emerald	1	25	18	18	res-pois (31 - 40)  	amul circ boot
94	Triumphant	1	3 - 20	2	18	mana-kill (1 - 1)  	weap circ ring
95	Victorious	1	17 - 40	12	18	mana-kill (2 - 4)  	weap circ ring
96	Champion's	1	30	20	18	mana-kill (5 - 8)  	weap circ ring
97	Mechanist's	1	52	47	16	sock (2 - 2)  	glov belt boot
98	Mechanist's	1	52	47	16	sock (3 - 3)  	weap tors shld helm
99	Jeweler's		39	27	20	sock (3 - 3)  	weap tors shld helm
100	Jeweler's		50	37	20	sock (4 - 4)  	weap tors shld helm
101	Jeweler's		61	47	16	sock (5 - 5)  	weap tors
102	Jeweler's		72	57	12	sock (6 - 6)  	weap tors
103	Assamic	1	1 - 20	1	14	att-demon (25 - 50) dmg-demon (25 - 50) 	weap circ      staf
104	Arcadian	1	15 - 30	11	14	att-demon (51 - 100) dmg-demon (51 - 100) 	weap circ      staf
105	Unearthly	1	25 - 40	18	14	att-demon (101 - 150) dmg-demon (101 - 150) 	weap       staf
106	Astral	1	35	27	14	att-demon (151 - 250) dmg-demon (151 - 250) 	weap       staf
107	Elysian	1	45	37	14	att-demon (256 - 400) dmg-demon (256 - 400) 	weap       staf
108	Consecrated	1	1 - 20	1	14	att-undead (25 - 50) dmg-undead (25 - 50) 	weap circ      staf
109	Pure	1	15 - 30	11	14	att-undead (51 - 100) dmg-undead (51 - 100) 	weap       staf
110	Sacred	1	25 - 40	18	14	att-undead (101 - 150) dmg-undead (101 - 150) 	weap       staf
111	Hallowed	1	35	27	14	att-undead (151 - 250) dmg-undead (151 - 250) 	weap       staf
112	Divine	1	45	37	14	att-undead (256 - 400) dmg-undead (256 - 400) 	weap       staf
113	Fletcher's	1	20	15	17	0 skilltab (1 - 1)  	amul circ glov miss scrn
114	Bowyer's	1	40	30	17	0 skilltab (2 - 2)  	amul circ glov miss scrn
115	Archer's	1	60	45	17	0 skilltab (3 - 3)  	amul circ glov miss scrn
116	Acrobat's	1	20	15	17	1 skilltab (1 - 1)  	amul circ glov scrn
117	Gymnast's	1	40	30	17	1 skilltab (2 - 2)  	amul circ glov scrn
118	Athlete's	1	60	45	17	1 skilltab (3 - 3)  	amul circ glov scrn
119	Harpoonist's	1	20	15	17	2 skilltab (1 - 1)  	amul circ glov spea scrn
120	Spearmaiden's	1	40	30	17	2 skilltab (2 - 2)  	amul circ glov spea scrn
121	Lancer's	1	60	45	17	2 skilltab (3 - 3)  	amul circ glov spea scrn
122	Burning	1	20	15	17	3 skilltab (1 - 1)  	amul circ glov staf mana robe
123	Blazing	1	40	30	17	3 skilltab (2 - 2)  	amul circ glov staf mana robe
124	Volcanic	1	60	45	17	3 skilltab (3 - 3)  	amul circ glov staf mana robe
125	Sparking	1	20	15	17	4 skilltab (1 - 1)  	amul circ glov staf mana robe
126	Charged	1	40	30	17	4 skilltab (2 - 2)  	amul circ glov staf mana robe
127	Powered	1	60	45	17	4 skilltab (3 - 3)  	amul circ glov staf mana robe
128	Chilling	1	20	15	17	5 skilltab (1 - 1)  	amul circ glov staf mana robe
129	Freezing	1	40	30	17	5 skilltab (2 - 2)  	amul circ glov staf mana robe
130	Glacial	1	60	45	17	5 skilltab (3 - 3)  	amul circ glov staf mana robe
131	Hexing	1	20	15	17	6 skilltab (1 - 1)  	amul circ glov head wand
132	Blighting	1	40	30	17	6 skilltab (2 - 2)  	amul circ glov head wand
133	Accursed	1	60	45	17	6 skilltab (3 - 3)  	amul circ glov head wand
134	Fungal	1	20	15	17	7 skilltab (1 - 1)  	amul circ glov head wand knif
135	Noxious	1	40	30	17	7 skilltab (2 - 2)  	amul circ glov head wand knif
136	Venomous	1	60	45	17	7 skilltab (3 - 3)  	amul circ glov head wand knif
137	Graverobber's	1	20	15	17	8 skilltab (1 - 1)  	amul circ glov head wand
138	Vodoun	1	40	30	17	8 skilltab (2 - 2)  	amul circ glov head wand
139	Golemlord's	1	60	45	17	8 skilltab (3 - 3)  	amul circ glov head wand
140	Lion Branded	1	20	15	17	9 skilltab (1 - 1)  	amul circ glov shld scep
141	Hawk Branded	1	40	30	17	9 skilltab (2 - 2)  	amul circ glov shld scep
142	Rose Branded	1	60	45	17	9 skilltab (3 - 3)  	amul circ glov shld scep
143	Captain's	1	20	15	17	10 skilltab (1 - 1)  	amul circ glov shld scep
144	Commander's	1	40	30	17	10 skilltab (2 - 2)  	amul circ glov shld scep
145	Marshal's	1	60	45	17	10 skilltab (3 - 3)  	amul circ glov shld scep
146	Preserver's	1	20	15	17	11 skilltab (1 - 1)  	amul circ glov shld scep
147	Warder's	1	40	30	17	11 skilltab (2 - 2)  	amul circ glov shld scep
148	Guardian's	1	60	45	17	11 skilltab (3 - 3)  	amul circ glov shld scep
149	Expert's	1	20	15	17	12 skilltab (1 - 1)  	amul circ glov phlm mele   rod
150	Veteran's	1	40	30	17	12 skilltab (2 - 2)  	amul circ glov phlm mele   rod
151	Master's	1	60	45	17	12 skilltab (3 - 3)  	amul circ glov phlm mele   rod
152	Fanatic	1	20	15	17	13 skilltab (1 - 1)  	amul circ glov phlm mele taxe bjav rod
153	Raging	1	40	30	17	13 skilltab (2 - 2)  	amul circ glov phlm mele taxe bjav rod
154	Furious	1	60	45	17	13 skilltab (3 - 3)  	amul circ glov phlm mele taxe bjav rod
155	Sounding	1	20	15	17	14 skilltab (1 - 1)  	amul circ glov phlm mele taxe bjav rod
156	Resonant	1	40	30	17	14 skilltab (2 - 2)  	amul circ glov phlm mele taxe bjav rod
157	Echoing	1	60	45	17	14 skilltab (3 - 3)  	amul circ glov phlm mele taxe bjav rod
158	Trainer's	1	20	15	17	15 skilltab (1 - 1)  	amul circ glov club pelt
159	Caretaker's	1	40	30	17	15 skilltab (2 - 2)  	amul circ glov club pelt
160	Keeper's	1	60	45	17	15 skilltab (3 - 3)  	amul circ glov club pelt
161	Spiritual	1	20	15	17	16 skilltab (1 - 1)  	amul circ glov club pelt
162	Feral	1	40	30	17	16 skilltab (2 - 2)  	amul circ glov club pelt
163	Communal	1	60	45	17	16 skilltab (3 - 3)  	amul circ glov club pelt
164	Nature's	1	20	15	17	17 skilltab (1 - 1)  	amul circ glov club pelt
165	Terra's	1	40	30	17	17 skilltab (2 - 2)  	amul circ glov club pelt
166	Gaea's	1	60	45	17	17 skilltab (3 - 3)  	amul circ glov club pelt
167	Entrapping	1	20	15	17	18 skilltab (1 - 1)  	amul circ glov claw asnx tkni cloa
168	Trickster's	1	40	30	17	18 skilltab (2 - 2)  	amul circ glov claw asnx tkni cloa
169	Cunning	1	60	45	17	18 skilltab (3 - 3)  	amul circ glov claw asnx tkni cloa
170	Mentalist's	1	20	15	17	19 skilltab (1 - 1)  	amul circ glov claw asnx cloa
171	Psychic	1	40	30	17	19 skilltab (2 - 2)  	amul circ glov claw asnx cloa
172	Shadow	1	60	45	17	19 skilltab (3 - 3)  	amul circ glov claw asnx cloa
173	Shogukusha's	1	20	15	17	20 skilltab (1 - 1)  	amul circ glov claw asnx cloa
174	Sensei's	1	40	30	17	20 skilltab (2 - 2)  	amul circ glov claw asnx cloa
175	Kenshi's	1	60	45	17	20 skilltab (3 - 3)  	amul circ glov claw asnx cloa
176	Maiden's	1	36	30	16	ama (1 - 1)  	amul circ ring scrn
177	Maiden's	1	36	30	2	ama (1 - 1) 0 skilltab (1 - 2) 	amul circ ring scrn
178	Maiden's	1	36	30	2	ama (1 - 1) 1 skilltab (1 - 2) 	amul circ ring scrn
179	Maiden's	1	36	30	2	ama (1 - 1) 2 skilltab (1 - 2) 	amul circ ring scrn
180	Valkyrie's	1	90	67	15	ama (2 - 2)  	amul circ scrn
181	Valkyrie's	1	90	67	1	ama (2 - 2) 0 skilltab (1 - 2) 	amul circ scrn
182	Valkyrie's	1	90	67	1	ama (2 - 2) 1 skilltab (1 - 2) 	amul circ scrn
183	Valkyrie's	1	90	67	1	ama (2 - 2) 2 skilltab (1 - 2) 	amul circ scrn
184	Valkyrie's		90	67	14	ama (3 - 3)  	amul circ scrn
185	Angel's	1	36	30	16	sor (1 - 1)  	amul circ ring
186	Angel's	1	36	30	2	sor (1 - 1) 3 skilltab (1 - 2) 	amul circ ring
187	Angel's	1	36	30	2	sor (1 - 1) 4 skilltab (1 - 2) 	amul circ ring
188	Angel's	1	36	30	2	sor (1 - 1) 5 skilltab (1 - 2) 	amul circ ring
189	Arch-Angel's	1	90	67	15	sor (2 - 2)  	amul circ
190	Arch-Angel's	1	90	67	1	sor (2 - 2) 3 skilltab (1 - 2) 	amul circ
191	Arch-Angel's	1	90	67	1	sor (2 - 2) 4 skilltab (1 - 2) 	amul circ
192	Arch-Angel's	1	90	67	1	sor (2 - 2) 5 skilltab (1 - 2) 	amul circ
193	Arch-Angel's		90	67	14	sor (3 - 3)  	amul circ
194	Summoner's	1	36	30	16	nec (1 - 1)  	amul circ ring
195	Summoner's	1	36	30	2	nec (1 - 1) 6 skilltab (1 - 2) 	amul circ ring
196	Summoner's	1	36	30	2	nec (1 - 1) 7 skilltab (1 - 2) 	amul circ ring
197	Summoner's	1	36	30	2	nec (1 - 1) 8 skilltab (1 - 2) 	amul circ ring
198	Necromancer's	1	90	67	15	nec (2 - 2)  	amul circ
199	Necromancer's	1	90	67	1	nec (2 - 2) 6 skilltab (1 - 2) 	amul circ
200	Necromancer's	1	90	67	1	nec (2 - 2) 7 skilltab (1 - 2) 	amul circ
201	Necromancer's	1	90	67	1	nec (2 - 2) 8 skilltab (1 - 2) 	amul circ
202	Necromancer's		90	67	14	nec (3 - 3)  	amul circ
203	Monk's	1	36	30	16	pal (1 - 1)  	amul circ ring
204	Monk's	1	36	30	2	pal (1 - 1) 9 skilltab (1 - 2) 	amul circ ring
205	Monk's	1	36	30	2	pal (1 - 1) 10 skilltab (1 - 2) 	amul circ ring
206	Monk's	1	36	30	2	pal (1 - 1) 11 skilltab (1 - 2) 	amul circ ring
207	Priest's	1	90	67	15	pal (2 - 2)  	amul circ
208	Priest's	1	90	67	1	pal (2 - 2) 9 skilltab (1 - 2) 	amul circ
209	Priest's	1	90	67	1	pal (2 - 2) 10 skilltab (1 - 2) 	amul circ
210	Priest's	1	90	67	1	pal (2 - 2) 11 skilltab (1 - 2) 	amul circ
211	Priest's		90	67	14	pal (3 - 3)  	amul circ
212	Slayer's	1	36	30	16	bar (1 - 1)  	amul circ ring
213	Slayer's	1	36	30	2	bar (1 - 1) 12 skilltab (1 - 2) 	amul circ ring
214	Slayer's	1	36	30	2	bar (1 - 1) 13 skilltab (1 - 2) 	amul circ ring
215	Slayer's	1	36	30	2	bar (1 - 1) 14 skilltab (1 - 2) 	amul circ ring
216	Berserker's	1	90	67	15	bar (2 - 2)  	amul circ
217	Berserker's	1	90	67	1	bar (2 - 2) 12 skilltab (1 - 2) 	amul circ
218	Berserker's	1	90	67	1	bar (2 - 2) 13 skilltab (1 - 2) 	amul circ
219	Berserker's	1	90	67	1	bar (2 - 2) 14 skilltab (1 - 2) 	amul circ
220	Berserker's		90	67	14	bar (3 - 3)  	amul circ
221	Shaman's	1	36	30	16	dru (1 - 1)  	amul circ ring
222	Shaman's	1	36	30	2	dru (1 - 1) 15 skilltab (1 - 2) 	amul circ ring
223	Shaman's	1	36	30	2	dru (1 - 1) 16 skilltab (1 - 2) 	amul circ ring
224	Shaman's	1	36	30	2	dru (1 - 1) 17 skilltab (1 - 2) 	amul circ ring
225	Hierophant's	1	90	67	15	dru (2 - 2)  	amul circ
226	Hierophant's	1	90	67	1	dru (2 - 2) 15 skilltab (1 - 2) 	amul circ
227	Hierophant's	1	90	67	1	dru (2 - 2) 16 skilltab (1 - 2) 	amul circ
228	Hierophant's	1	90	67	1	dru (2 - 2) 17 skilltab (1 - 2) 	amul circ
229	Hierophant's		90	67	14	dru (3 - 3)  	amul circ
230	Magekiller's	1	36	30	16	ass (1 - 1)  	amul circ ring
231	Magekiller's	1	36	30	2	ass (1 - 1) 18 skilltab (1 - 2) 	amul circ ring
232	Magekiller's	1	36	30	2	ass (1 - 1) 19 skilltab (1 - 2) 	amul circ ring
233	Magekiller's	1	36	30	2	ass (1 - 1) 20 skilltab (1 - 2) 	amul circ ring
234	Witch-hunter's	1	90	67	15	ass (2 - 2)  	amul circ
235	Witch-hunter's	1	90	67	1	ass (2 - 2) 18 skilltab (1 - 2) 	amul circ
236	Witch-hunter's	1	90	67	1	ass (2 - 2) 19 skilltab (1 - 2) 	amul circ
237	Witch-hunter's	1	90	67	1	ass (2 - 2) 20 skilltab (1 - 2) 	amul circ
238	Witch-hunter's		90	67	14	ass (3 - 3)  	amul circ
239	Maiden's	1	30	22	22	ama (1 - 1)  	miss spea
240	Valkyrie's	1	50	42	18	ama (2 - 2)  	miss spea
241	Angel's	1	30	22	22	sor (1 - 1)  	staf mana
242	Arch-Angel's	1	50	42	18	sor (2 - 2)  	staf mana
243	Summoner's	1	30	22	22	nec (1 - 1)  	head wand knif npol
244	Necromancer's	1	50	42	18	nec (2 - 2)  	head wand knif npol
245	Monk's	1	30	22	22	pal (1 - 1)  	shld scep
246	Priest's	1	50	42	18	pal (2 - 2)  	shld scep
247	Slayer's	1	30	22	22	bar (1 - 1)  	phlm taxe bjav mele    rod
248	Berserker's	1	50	42	18	bar (2 - 2)  	phlm taxe bjav mele    rod
249	Shaman's	1	30	22	22	dru (1 - 1)  	club pelt
250	Hierophant's	1	50	42	18	dru (2 - 2)  	club pelt
251	Magekiller's	1	30	22	22	ass (1 - 1)  	claw tkni asnx
252	Witch-hunter's	1	50	42	18	ass (2 - 2)  	claw tkni asnx
253	Snowflake	1	15 - 30	18	20	cold-len (25 - 25) cold-min (11 - 22) cold-max (22 - 45)	weap circ
254	Snowflake	1	25 - 45	28	20	cold-len (25 - 25) cold-min (23 - 45) cold-max (46 - 90)	weap circ
255	Shivering	1	30 - 60	33	20	cold-len (50 - 50) cold-min (46 - 65) cold-max (91 - 130)	weap
256	Shivering	1	35	38	20	cold-len (50 - 50) cold-min (66 - 90) cold-max (131 - 180)	weap
257	Boreal	1	45	48	20	cold-len (75 - 75) cold-min (91 - 120) cold-max (181 - 240)	weap
258	Hibernal		60	63	20	cold-len (100 - 100) cold-min (121 - 150) cold-max (241 - 300)	weap
259	Ember	1	15 - 30	18	20	fire-min (15 - 30) fire-max (30 - 60) 	weap circ
260	Smoldering	1	25 - 45	28	20	fire-min (31 - 60) fire-max (61 - 120) 	weap
261	Smoldering	1	30 - 60	33	20	fire-min (61 - 85) fire-max (121 - 180) 	weap
262	Smoking	1	35	38	20	fire-min (86 - 120) fire-max (181 - 240) 	weap
263	Flaming	1	45	48	20	fire-min (121 - 160) fire-max (241 - 300) 	weap
264	Scorching		60	63	20	fire-min (161 - 200) fire-max (301 - 350) 	weap
265	Static	1	15 - 30	18	20	ltng-min (1 - 1) ltng-max (45 - 90) 	weap circ
266	Static	1	25 - 45	28	20	ltng-min (1 - 1) ltng-max (91 - 180) 	weap circ
267	Glowing	1	30 - 60	33	20	ltng-min (1 - 1) ltng-max (181 - 260) 	weap
268	Buzzing	1	35	38	20	ltng-min (1 - 1) ltng-max (261 - 360) 	weap
269	Arcing	1	45	48	20	ltng-min (1 - 1) ltng-max (361 - 480) 	weap
270	Shocking		60	63	20	ltng-min (1 - 1) ltng-max (481 - 600) 	weap
271	Septic	1	15 - 30	18	20	50 dmg-pois (308 - 308)  	weap circ
272	Septic	1	25 - 45	28	20	75 dmg-pois (410 - 410)  	weap circ
273	Envenomed	1	30 - 60	33	20	100 dmg-pois (461 - 461)  	weap
274	Corosive	1	35	38	20	125 dmg-pois (492 - 492)  	weap
275	Toxic	1	45	48	20	150 dmg-pois (547 - 547)  	weap
276	Pestilent		60	63	20	175 dmg-pois (586 - 586)  	weap
277	Elusive	1	9 - 15	6	18	ac-miss (20 - 40)  	shld staf wand mana
278	Evasive	1	9 - 15	6	18	ac-hth (20 - 40)  	tors staf wand mana
279	Infernal	1	90	60	16	abs-cold% (10 - 15)  	shld tors
280	Chilling	1	90	60	16	abs-fire% (10 - 15)  	shld tors
281	Static	1	90	60	16	abs-ltng% (10 - 15)  	shld tors
282	Bright	1	16 - 45	12	18	hp% (5 - 8)  	staf wand mana tors belt
283	Solar	1	27	23	18	hp% (9 - 12)  	staf wand mana tors belt
284	Vivid	1	38	34	18	hp% (13 - 16)  	staf wand mana tors belt
285	Omniscient	1	16 - 45	12	18	mana% (5 - 8)  	ring amul staf wand mana
286	Sage	1	27	23	18	mana% (9 - 12)  	ring amul staf wand mana
287	Shrewd	1	38	34	18	mana% (13 - 16)  	ring amul staf wand mana
288	Dazzling	1	29	25	18	regen-mana (25 - 25)  	staf wand mana helm ring amul
289	Fascinating	1	50	50	18	regen-mana (50 - 50)  	staf wand mana helm ring amul
290	Mighty	1	11 - 30	10	18	str (5 - 5)  	weap armo ring amul
291	Energizing	1	18 - 45	16	18	str (6 - 10)  	weap armo ring amul
292	Strengthening	1	23	20	18	str (11 - 15)  	weap armo ring amul
293	Empowering	1	26	24	18	str (16 - 25)  	weap armo
294	Titan's	1	45	38	18	str (26 - 30)  	weap armo
295	Brisk	1	18 - 38	18	20	move1 (10 - 20)  	boot
296	Swift	1	38	25	20	move2 (20 - 30)  	boot
297	ArchMage's		75	66	20	mana (30 - 30) mana% (30 - 30) cast3 (30 - 30)	staf mana wand
298	Knowledgeable	1	35	30	20	allskills (1 - 1)  	weap ring amul armo    glov
299	Precise	1	10 - 20	12	14	att-undead (60 - 60) att-demon (60 - 60) 	weap       staf
300	Exacting	1	20 - 30	20	14	att-undead (120 - 120) att-demon (120 - 120) 	weap       staf
301	Blinding		80	60	18	swing3 (100 - 100)  	mele       staf
302	Heavy	1	20	1	18	ac% (75 - 75) ease (10 - 10) 	tors shld
303	Heavy	1	40	1	18	ac% (150 - 150) ease (20 - 20) 	tors shld
304	Heavy	1	60	1	18	ac% (200 - 200) ease (30 - 30) 	tors shld
305	Heavy	1	20	1	18	dmg% (75 - 75) ease (10 - 10) 	mele       staf
306	Heavy	1	40	1	18	dmg% (150 - 150) ease (20 - 20) 	mele       staf
307	Heavy	1	60	1	18	dmg% (200 - 200) ease (30 - 30) 	mele       staf
308	Colorful		20 - 40	30	16	dmg-cold (10 - 20) dmg-fire (10 - 20) dmg-ltng (10 - 20)	weap glov ring amul
309	Colorful		30 - 50	35	16	dmg-cold (20 - 40) dmg-fire (20 - 40) dmg-ltng (20 - 40)	weap glov ring amul
310	Colorful		40 - 60	40	16	dmg-cold (40 - 60) dmg-fire (40 - 60) dmg-ltng (40 - 60)	weap glov ring amul
311	Colorful		50	45	16	dmg-cold (60 - 80) dmg-fire (60 - 80) dmg-ltng (60 - 80)	weap glov ring amul
312	Colorful		60	50	16	dmg-cold (80 - 120) dmg-fire (80 - 120) dmg-ltng (80 - 120)	weap glov ring amul
313	Horrific	1	25	1	16	red-dmg% (6 - 10)  	tors shld
314	Horrific	1	50	1	16	red-dmg% (11 - 15)  	tors shld
315	Horrific		75	1	16	red-dmg% (16 - 20)  	tors shld
316	Soulless	1	25	1	16	red-dmg (6 - 10)  	tors shld
317	Soulless	1	50	1	16	red-dmg (11 - 15)  	tors shld
318	Soulless		75	1	16	red-dmg (16 - 20)  	tors shld
319	Heartless	1	25	1	16	red-mag (6 - 10)  	tors shld
320	Heartless	1	50	1	16	red-mag (11 - 15)  	tors shld
321	Heartless		75	1	16	red-mag (16 - 20)  	tors shld
322	Miocene	1	1 - 36	1	18	4 ac/lvl  	shld glov belt boot
323	Oligocene	1	8 - 43	7	18	8 ac/lvl  	shld glov belt boot
324	Oligocene	1	15 - 50	7	18	12 ac/lvl  	shld glov belt boot
325	Eocene	1	22 - 57	15	18	16 ac/lvl  	tors
326	Eocene	1	29	15	18	20 ac/lvl  	tors
327	Paleocene	1	36	22	18	24 ac/lvl  	tors
328	Paleocene	1	43	22	18	28 ac/lvl  	tors
329	Loud	1	1 - 30	1	18	4 dmg%/lvl  	weap       staf
330	Loud	1	10 - 40	8	18	8 dmg%/lvl  	weap       staf
331	Calling	1	20 - 50	16	18	12 dmg%/lvl  	weap       staf
332	Yelling	1	30	24	18	16 dmg%/lvl  	weap       staf
333	Shouting	1	40	32	18	20 dmg%/lvl  	weap       staf
334	Screaming	1	50	40	18	24 dmg%/lvl  	weap       staf
335	Robineye	1	1 - 35	1	16	4 att/lvl  	weap       staf
336	Sparroweye	1	10 - 50	7	16	6 att/lvl  	weap       staf
337	Falconeye	1	20	15	16	8 att/lvl  	weap       staf
338	Hawkeye	1	35	26	16	12 att/lvl  	weap       staf
339	Eagleeye	1	50	37	16	16 att/lvl  	weap       staf
340	Visionary	1	25	18	16	2 att%/lvl  	miss helm
341	Knave's	1	1 - 35	1	18	4 dmg/lvl 2 att/lvl 	weap       staf
342	Jack's	1	10 - 50	7	18	8 dmg/lvl 4 att/lvl 	weap       staf
343	Jester's	1	20	15	18	12 dmg/lvl 6 att/lvl 	weap       staf
344	Joker's	1	35	26	18	16 dmg/lvl 8 att/lvl 	weap       staf
